key	text	tooltip
#Loc;1;text/db/agent_actions.loc		
agent_actions_localised_action_description_att_agent_action_spy_hinder_province_corruption	[[col:yellow]]Increases corruption in the target province.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_dignitary_hinder_settlement_compromise_security	[[col:yellow]]Reduces the security attributes of the target settlement's province.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_dignitary_hinder_province_discourage_populace	Discourage Populace	true
agent_actions_localised_action_name_att_agent_action_spy_hinder_province_corruption	Corruption	true
agent_actions_localised_action_description_att_agent_action_champion_hinder_army_harass_army	[[col:yellow]]Inflicts minor casualties on multiple units in the target army.[[/col]]	true
agent_actions_localised_action_name_cha_agent_action_bargain_supplies	Bargain for Supplies	true
agent_actions_localised_action_description_att_agent_action_champion_hinder_army_assault_unit	[[col:yellow]]Inflicts damage upon a specific unit in the target army.[[/col]]	true
agent_actions_localised_action_description_cha_agent_action_bargain_supplies	[[col:yellow]]Increases replenishment rate for armies in the local region and enables replenishment in enemy territory.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_spy_passive_ability_infiltrate	[[col:yellow]]Renders the agent invisible on the campaign map unless discovered by rival forces.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_champion_hinder_army_harass_army	Harass Army	true
agent_actions_localised_action_description_att_agent_action_spy_hinder_army_misdirect_army	[[col:yellow]]Reduces the campaign movement range of the target army.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_spy_hinder_army_ruin_provisions	Ruin Provisions	true
agent_actions_localised_action_description_att_agent_action_spy_hinder_settlement_ruin_stores	[[col:yellow]]Reduces food production and increases squalor in the target settlement.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_spy_passive_ability_infiltrate	Infiltrate	true
agent_actions_localised_action_name_att_agent_action_spy_hinder_army_misdirect_army	Misdirect Army	true
agent_actions_localised_action_description_cha_agent_action_extort	[[col:yellow]]Compels the target agent to join your cause.[[/col]]	true
agent_actions_localised_action_name_cha_agent_action_extort	Extort	true
agent_actions_localised_action_name_att_agent_action_dignitary_hinder_army_compromise_command	Compromise Command	true
agent_actions_localised_action_name_att_agent_action_champion_passive_ability_military_supply	Military Supply	true
agent_actions_localised_action_description_att_agent_action_champion_hinder_character_assault	[[col:yellow]]Kills the target character.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_champion_passive_ability_military_supply	[[col:yellow]]Increases replenishment rate for armies in the local region and enables replenishment in enemy territory.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_champion_assist_army_military_training	Military Training	true
agent_actions_localised_action_description_att_agent_action_dignitary_hinder_army_compromise_command	[[col:yellow]]Reduces the attributes of the target commander.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_champion_assist_army_military_training	[[col:yellow]]Grants experience to units serving in the parent army.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_spy_hinder_army_ruin_provisions	[[col:yellow]]Increases rate of fatigue for all units in the target army.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_champion_hinder_character_trap	[[col:yellow]]Stops the target agent.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_dignitary_hinder_army_encourage_mutiny	Encourage Mutiny	true
agent_actions_localised_action_name_att_agent_action_spy_hinder_character_assassinate	Assassinate	true
agent_actions_localised_action_description_att_agent_action_spy_hinder_settlement_misdirect_workforce	[[col:yellow]]Increases construction times in the target settlement.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_spy_hinder_settlement_exploit_corruption	Exploit Corruption	true
agent_actions_localised_action_description_att_agent_action_dignitary_hinder_army_encourage_mutiny	[[col:yellow]]Decreases integrity of the target army.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_champion_hinder_character_trap	Trap	true
agent_actions_localised_action_description_att_agent_action_dignitary_passive_ability_spread_religion	[[col:yellow]]Converts the local province to the agent's religion.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_spy_hinder_character_assassinate	[[col:yellow]]Kills the target character.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_dignitary_hinder_settlement_compromise_security	Compromise Security	true
agent_actions_localised_action_description_att_agent_action_spy_hinder_settlement_exploit_corruption	[[col:yellow]]Acquires a proportion of the target province's wealth lost to corruption.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_dignitary_hinder_settlement_encourage_dissent	Encourage Dissent	true
agent_actions_localised_action_description_cha_agent_action_sabotage_building	[[col:yellow]]Inflicts major damage upon a specific building in the target settlement.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_champion_assist_province_call_to_arms	Call to Arms	true
agent_actions_localised_action_name_att_agent_action_dignitary_hinder_settlement_preach_intolerance	Preach Intolerance	true
agent_actions_localised_action_description_cha_agent_action_sabotage_walls	[[col:yellow]]Creates one or more breaches in the target settlement's walls.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_dignitary_hinder_character_betray	[[col:yellow]]Kills the target character.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_dignitary_hinder_settlement_preach_intolerance	[[col:yellow]]Increases religious unhappiness in the target settlement's province.[[/col]]	true
agent_actions_localised_action_name_cha_agent_action_sabotage_walls	Sabotage Walls	true
agent_actions_localised_action_description_att_agent_action_champion_hinder_settlement_sabotage_gates	[[col:yellow]]Creates one or more breaches in the target settlement's walls.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_dignitary_hinder_army_preach_doom	[[col:yellow]]Decreases battle morale of all units in the target army.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_dignitary_hinder_province_discourage_populace	[[col:yellow]]Decreases public order in the local province.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_spy_hinder_character_deceive	Deceive	true
agent_actions_localised_action_description_cha_agent_action_assassinate	[[col:yellow]]Kills the target character.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_champion_hinder_army_assault_unit	Assault Unit	true
