key	text	tooltip
#Loc;1;text/db/aide_de_camp_speeches.loc		
aide_de_camp_speeches_text_adc_attila_enemy_tower_destroyed	The enemy's tower has been destroyed!	true
aide_de_camp_speeches_text_adc_attila_captured_enemy_walls	We have breached the walls!	true
aide_de_camp_speeches_text_adc_attila_barricades_under_attack	The barricades are under attack!	true
aide_de_camp_speeches_text_adc_attila_enemy_settlement_badly_damaged	Their settlement is almost a ruin!	true
aide_de_camp_speeches_text_adc_attila_own_settlement_badly_damaged	Our city has been badly destroyed by the enemy.	true
aide_de_camp_speeches_text_adc_attila_enemy_gates_destroyed	The enemy's gates have been destroyed!	true
aide_de_camp_speeches_text_adc_attila_own_unit_rally	Our men have rallied! 	true
aide_de_camp_speeches_text_adc_attila_own_ship_lost	We have lost a ship!	true
aide_de_camp_speeches_text_adc_attila_land_battle_won	Praise the gods! Your victory is moments away!	true
aide_de_camp_speeches_text_adc_attila_own_unit_lost	An entire unit has perished!	true
aide_de_camp_speeches_text_adc_attila_outnumbering_enemy_unit	The enemy tremble before our superior numbers!	true
aide_de_camp_speeches_text_adc_attila_own_settlement_ruined	The city lies close to ruin!	true
aide_de_camp_speeches_text_adc_attila_capturing_victory_point	We are capturing a victory point!	true
aide_de_camp_speeches_text_adc_attila_own_hidden_unit_spotted	Our hidden units have been discovered! 	true
aide_de_camp_speeches_text_adc_attila_own_ship_being_boarded	One of our ships is being boarded!	true
aide_de_camp_speeches_text_adc_attila_defending_walls	The enemy is at the walls!	true
aide_de_camp_speeches_text_adc_attila_enemy_routing	See! They flee before our might!	true
aide_de_camp_speeches_text_adc_attila_enemy_settlement_ruined	Their city has been devastated by the siege!	true
aide_de_camp_speeches_text_adc_attila_winning_battle	The battle is turning in our favour!	true
aide_de_camp_speeches_text_adc_attila_enemy_gates_captured	We have captured the gates!	true
aide_de_camp_speeches_text_adc_attila_losing_battle	The battle is no longer in our favour!	true
aide_de_camp_speeches_text_adc_attila_enemy_general_injured	The enemy general has sustained a terrible injury, but he will live!	true
aide_de_camp_speeches_text_adc_attila_own_general_attacked	Our general is under attack!	true
aide_de_camp_speeches_text_adc_attila_enemy_general_killed	The enemy general is dead!	true
aide_de_camp_speeches_text_adc_attila_unit_berserk	Our unit has gone berserk!	true
aide_de_camp_speeches_text_adc_attila_enemy_spotted	The enemy approaches!	true
aide_de_camp_speeches_text_adc_attila_unit_morale_wavering	The men are wavering!	true
aide_de_camp_speeches_text_adc_attila_enemy_point_captured	We have seized an enemy victory point!	true
aide_de_camp_speeches_text_adc_attila_naval_ammo_replenished	The ship has replenished its ammunition!	true
aide_de_camp_speeches_text_adc_attila_own_fort_about_to_be_destroyed	The enemy is about to capture the fort!	true
aide_de_camp_speeches_text_adc_attila_own_settlement_on_fire	Our settlement is burning!	true
aide_de_camp_speeches_text_adc_attila_walls_breached	The walls are breached!	true
aide_de_camp_speeches_text_adc_attila_enemy_fort_about_to_be_captured	Within moments this fort will fall to us!	true
aide_de_camp_speeches_text_adc_attila_allies_routing	Our ally has fled! We are abandoned!	true
aide_de_camp_speeches_text_adc_attila_own_tower_destroyed	A tower has been destroyed!	true
aide_de_camp_speeches_text_adc_attila_enemy_settlement_on_fire	Their settlement is on fire!	true
aide_de_camp_speeches_text_adc_attila_own_point_captured	We have lost a victory point!	true
aide_de_camp_speeches_text_adc_attila_own_gates_destroyed	Our gates are utterly destroyed!	true
aide_de_camp_speeches_text_adc_attila_land_enemy_reinforcements	The enemy has reinforcements!	true
aide_de_camp_speeches_text_adc_attila_own_general_killed	Our general has fallen! 	true
aide_de_camp_speeches_text_adc_attila_naval_out_of_ammo	A ship has spent its ammunition!	true
aide_de_camp_speeches_text_adc_attila_land_tactical_withdrawal	We should consider a tactical withdrawal!	true
aide_de_camp_speeches_text_adc_attila_own_reinforcements	Our reinforcements have arrived!	true
aide_de_camp_speeches_text_adc_attila_land_battle_lost	All hope is lost!	true
aide_de_camp_speeches_text_adc_attila_own_ship_on_fire	One of our ships is on fire!	true
aide_de_camp_speeches_text_adc_attila_enemy_hidden_unit_spotted	We have discovered the enemy's hidden units!	true
aide_de_camp_speeches_text_adc_attila_naval_battle_lost	The waves claim us! Hope has faded!	true
aide_de_camp_speeches_text_adc_attila_naval_enemy_reinforcements	Look, on the horizon! Reinforcements!	true
aide_de_camp_speeches_text_adc_attila_naval_battle_won	The ocean favours us! Victory is upon us!	true
aide_de_camp_speeches_text_adc_attila_land_out_of_ammo	One of our units has used all its ammunition!	true
aide_de_camp_speeches_text_adc_attila_own_allied_general_injured	Our ally's general has sustained a terrible injury, but he will live!	true
aide_de_camp_speeches_text_adc_attila_naval_tactical_withdrawal	Oars astern! We should withdraw for now!	true
aide_de_camp_speeches_text_adc_attila_target_building_destroyed	The enemy's  walls crumble before our might!	true
aide_de_camp_speeches_text_adc_attila_own_gate_captured	The enemy have captured the gates!	true
aide_de_camp_speeches_text_adc_attila_own_allied_general_killed	Our ally's general has fallen! 	true
aide_de_camp_speeches_text_adc_attila_heavily_outnumbered	We are heavily outnumbered!	true
aide_de_camp_speeches_text_adc_attila_own_general_injured	Our general has sustained a terrible injury, but he will live!	true
aide_de_camp_speeches_text_adc_attila_enemy_unit_rally	The enemy have rallied their units!	true
aide_de_camp_speeches_text_adc_attila_surprised_by_hidden_enemy	It's an ambush!	true
aide_de_camp_speeches_text_adc_attila_unit_morale_broken	The men are broken and running for their lives!	true
aide_de_camp_speeches_text_adc_attila_own_ally_destroyed	Black day! Our ally has been routed!	true
aide_de_camp_speeches_text_adc_attila_enemy_barricades_destroyed	We have destroyed an enemy barricade!	true
aide_de_camp_speeches_text_adc_attila_own_ally_attacked	The enemy is attacking our ally!	true
aide_de_camp_speeches_text_adc_attila_siege_equipment_destroyed	The enemy has destroyed our siege equipment!	true
aide_de_camp_speeches_text_adc_attila_unit_morale_routing	Our men run from the enemy! This is shameful!	true
aide_de_camp_speeches_text_adc_attila_own_barricades_destroyed	The enemy has destroyed a barricade!	true
