key	text	tooltip
#Loc;1;text/db/battlefield_buildings_names.loc		
battlefield_buildings_names_onscreen_name_building	Building	true
battlefield_buildings_names_onscreen_name_arrow_tower	Arrow Tower	true
battlefield_buildings_names_local_effects_description_scorpio_tower	Fires bolts on nearby enemies	true
battlefield_buildings_names_onscreen_name_fort_tower	Fort Tower	true
battlefield_buildings_names_onscreen_name_gate_oil	Boiling Oil Gatehouse	true
battlefield_buildings_names_local_effects_description_gate	Allows passage to and from the settlement	true
battlefield_buildings_names_onscreen_name_watchtower	Watchtower	true
battlefield_buildings_names_onscreen_name_barricade	Barricade	true
battlefield_buildings_names_onscreen_name_fort_wall	Fort Wall	true
battlefield_buildings_names_local_effects_description_gate_oil	Pours boiling oil onto nearby enemies	true
battlefield_buildings_names_local_effects_description_barricade	Stops units from passing until it is destroyed.	true
battlefield_buildings_names_onscreen_name_bridge	Bridge	true
battlefield_buildings_names_onscreen_name_house	House	true
battlefield_buildings_names_local_effects_description_watchtower	Fires on nearby enemies	true
battlefield_buildings_names_onscreen_name_ruin	Ruin	true
battlefield_buildings_names_onscreen_name_scorpio_tower	Scorpion Tower	true
battlefield_buildings_names_onscreen_name_gate	Gatehouse	true
battlefield_buildings_names_local_effects_description_fort_tower	Fires on nearby enemies	true
battlefield_buildings_names_local_effects_description_arrow_tower	Fires arrows on nearby enemies	true
