key	text	tooltip
#Loc;1;text/db/building_culture_variants.loc		
building_culture_variants_name_mk_bld_mookingdoms_military_garrison_4	Ribats	true
building_culture_variants_name_mk_bld_nomkingdoms_military_garrison_4	City Fort	true
building_culture_variants_name_mk_bld_nomkingdoms_military_garrison_2	Militia Quarters	true
building_culture_variants_name_mk_bld_mookingdoms_military_garrison_1	Town Barracks	true
building_culture_variants_name_mk_bld_nomkingdoms_military_garrison_3	Beylik Garrison Quarters	true
building_culture_variants_name_mk_bld_mookingdoms_military_garrison_2	Militia Quarters	true
building_culture_variants_name_mk_bld_mookingdoms_military_garrison_3	Amirate Garrison Quarters	true
building_culture_variants_name_mk_bld_nomkingdoms_military_garrison_1	Town Barracks	true
building_culture_variants_name_mk_bld_easkingdoms_agriculture_sheep_2	Sheep Herd	true
building_culture_variants_name_mk_bld_easkingdoms_agriculture_sheep_3	Yarn Hut	true
building_culture_variants_name_mk_bld_afrkingdoms_agriculture_goats_4	Goat Farm	true
building_culture_variants_name_mk_bld_afrkingdoms_agriculture_goats_3	Goat Pens	true
building_culture_variants_name_mk_bld_afrkingdoms_agriculture_goats_2	Goat Herd	true
building_culture_variants_name_mk_bld_easkingdoms_agriculture_sheep_4	Sheep Farm	true
building_culture_variants_name_mk_bld_ibekingdoms_military_barracks_2	Household's Barracks	true
building_culture_variants_name_mk_bld_ibekingdoms_military_barracks_3	Royal Barracks	true
building_culture_variants_name_att_bld_all_resources_port_generic_1mk_fact_rebels_italians	Jetty	true
building_culture_variants_name_mk_bld_ibekingdoms_military_barracks_1	Training Grounds	true
building_culture_variants_name_att_bld_barbmigs_community_storage_2	Storage Wagons	true
building_culture_variants_name_att_bld_barbmigs_community_storage_3	Storage Pit	true
building_culture_variants_name_att_bld_barbmigs_community_storage_4	Subterranean Caches	true
building_culture_variants_name_att_bld_religion_catholic_major_monestary_3mk_fact_teutonicorder	Catholic Monastery	true
building_culture_variants_name_bel_bld_camp_camp_2	Standing Camp	true
building_culture_variants_name_bel_bld_camp_camp_3	Military Camp	true
building_culture_variants_name_att_bld_all_resources_port_trade_3mk_fact_zagwe	Port	true
building_culture_variants_name_bel_bld_camp_camp_1	Marching Camp	true
building_culture_variants_name_bel_bld_camp_camp_4	Military Town	true
building_culture_variants_name_att_bld_religion_zoroastrian_major_burial_4	Astudan	true
building_culture_variants_name_att_bld_religion_zoroastrian_major_burial_3	Ossuary	true
building_culture_variants_name_att_bld_religion_zoroastrian_major_burial_2	Tower of Silence	true
building_culture_variants_name_att_bld_religion_zoroastrian_major_burial_1	Burial Platform	true
building_culture_variants_name_mk_bld_mookingdoms_industry_minor_4	Carpet Maker	true
building_culture_variants_name_bel_bld_all_industry_major_generic_1	Workshops	true
building_culture_variants_name_att_bld_religion_catholic_minor_monastery_1mk_fact_separatists_hungary	Catholic Priory	true
building_culture_variants_name_att_bld_religion_catholic_minor_monastery_2mk_fact_separatists_hungary	Catholic Monastery	true
building_culture_variants_name_att_bld_religion_catholic_minor_monastery_3mk_fact_separatists_hungary	Catholic Abbey	true
building_culture_variants_name_mk_bld_mookingdoms_industry_minor_1	Artisan	true
building_culture_variants_name_mk_bld_mookingdoms_industry_minor_2	Threadmaker	true
