key	text	tooltip
#Loc;1;text/db/building_sets.loc		
building_sets_onscreen_name_att_building_set_civic	Civic	true
building_sets_onscreen_name_att_building_set_water	Sanitation	true
building_sets_onscreen_name_att_building_set_newhorde_hunnic	No Display	true
building_sets_onscreen_name_rom_building_set_capital	Capital	true
building_sets_onscreen_name_rom_building_set_zadruga	Zadruga 	true
building_sets_onscreen_name_rom_building_set_industry	Industry	true
building_sets_onscreen_name_att_building_set_industry	Industry	true
building_sets_onscreen_name_att_building_set_resource	Resource	true
building_sets_onscreen_name_att_building_set_hospital	Hospital	true
building_sets_onscreen_name_att_building_set_military	Military	true
building_sets_onscreen_name_rom_building_set_military	Military	true
building_sets_onscreen_name_mk_building_set_agriculture_sheep	Agriculture	true
building_sets_onscreen_name_rom_building_set_religion	Religion	true
building_sets_onscreen_name_att_building_set_religion	Religion	true
building_sets_onscreen_name_att_building_set_city	Settlement	true
building_sets_onscreen_name_att_building_set_port	Port	true
building_sets_onscreen_name_rom_building_set_port	Port	true
building_sets_onscreen_name_att_building_set_newhorde_barbarian	No Display	true
building_sets_onscreen_name_rom_building_set_city_major	City	true
building_sets_onscreen_name_rom_building_set_city_minor	City	true
building_sets_onscreen_name_rom_building_set_gold	Gold	true
building_sets_onscreen_name_att_building_set_agriculture	Farming	true
building_sets_onscreen_name_rom_building_set_city_centre	City	true
building_sets_onscreen_name_rom_building_set_sanitation	Sanitation	true
building_sets_onscreen_name_rom_building_set_agriculture	Agriculture	true
building_sets_onscreen_name_att_building_set_legendary	Legendary	true
