key	text	tooltip
#Loc;1;text/db/campaign_effect_scopes.loc		
campaign_effect_scopes_localised_text_faction_to_province_own	(all provinces)	true
campaign_effect_scopes_localised_text_force_to_province_enemy	(enemy province)	true
campaign_effect_scopes_localised_text_force_to_force_own_factionwide_horde	(all hordes)	true
campaign_effect_scopes_localised_text_force_to_province_own	(local province)	true
campaign_effect_scopes_localised_text_character_to_force_regionwide	(forces in local region)	true
campaign_effect_scopes_localised_text_character_to_force_own_character_when_spouse_commanding	(husband when commanding)	true
campaign_effect_scopes_localised_text_agent_to_agent_action_hinder_province	\\nDeploy: Foreign province	true
campaign_effect_scopes_localised_text_agent_to_agent_action_passive	\\nConstant local effect	true
campaign_effect_scopes_localised_text_agent_to_agent_action_hinder_settlement	\\nTarget: Foreign settlement	true
campaign_effect_scopes_localised_text_region_to_region_neighbouring	(adjacent regions)	true
campaign_effect_scopes_localised_text_building_to_faction_own	(factionwide)	true
campaign_effect_scopes_localised_text_province_to_regions_own_in_adjacent_province	(provided in all adjacent provinces)	true
campaign_effect_scopes_localised_text_general_to_sea_region_own_provincewide_when_governor	(governed province)	true
campaign_effect_scopes_localised_text_region_to_province_own_edict	(local provincial edicts)	true
campaign_effect_scopes_localised_text_faction_to_force_own	(all forces)	true
campaign_effect_scopes_localised_text_agent_to_agent_action_assist_province	\\nDeploy: Own province	true
campaign_effect_scopes_localised_text_agent_to_agent_action_hinder_character	\\nTarget: Any foreign character	true
campaign_effect_scopes_localised_text_faction_to_faction_own	(factionwide)	true
campaign_effect_scopes_localised_text_general_to_force_own	(commanded force)	true
campaign_effect_scopes_localised_text_character_to_province_edict_own	(local provincial edicts)	true
campaign_effect_scopes_localised_text_character_to_province_own_factionwide	(all provinces)	true
campaign_effect_scopes_localised_text_general_to_province_own_when_governor	(governed province)	true
campaign_effect_scopes_localised_text_province_to_province_own_factionwide	(factionwide)	true
campaign_effect_scopes_localised_text_general_to_force_when_governing	(local province)	true
campaign_effect_scopes_localised_text_character_to_region_own	(local region)	true
campaign_effect_scopes_localised_text_character_to_region_own_character_when_spouse_governing	(husband when governing)	true
campaign_effect_scopes_localised_text_general_to_character_when_commanding_army_own	(when general)	true
campaign_effect_scopes_localised_text_building_to_forces_factionwide	(factionwide)	true
campaign_effect_scopes_localised_text_province_to_sea_region_own_factionwide	(factionwide)	true
campaign_effect_scopes_localised_text_force_to_region_enemy	(enemy settlement)	true
campaign_effect_scopes_localised_text_province_to_navy_factionwide	(all fleets)	true
campaign_effect_scopes_localised_text_province_to_force_enemy	(local enemy armies)	true
campaign_effect_scopes_localised_text_navy_to_sea_region_own	(local sea region)	true
campaign_effect_scopes_localised_text_general_to_character_when_governing_own	(when governor)	true
campaign_effect_scopes_localised_text_province_to_force_factionwide	(all armies and fleets)	true
campaign_effect_scopes_localised_text_agent_to_parent_army_own_horde	(parent horde)	true
campaign_effect_scopes_localised_text_force_to_sea_region_own	(local sea region)	true
campaign_effect_scopes_localised_text_faction_to_region_own	(all regions)	true
campaign_effect_scopes_localised_text_province_to_force_any	(local armies)	true
campaign_effect_scopes_localised_text_province_to_army_factionwide	(all armies)	true
campaign_effect_scopes_localised_text_province_to_character_when_commanding_own_factionwide	(all armies and fleets)	true
campaign_effect_scopes_localised_text_force_to_force_own_factionwide	(all forces)	true
