key	text	tooltip
#Loc;1;text/db/campaign_localised_strings.loc		
campaign_localised_strings_string_unit_exchange_commanders_invalid	Forces cannot exchange commanders.	true
campaign_localised_strings_string_public_order_rebellion_next_turn	At the current rate, there will be a rebellion next turn!	true
campaign_localised_strings_string_cha_faction_wales	Wales	true
campaign_localised_strings_string_military_force_morale_bonus_value_politics	Politics	true
campaign_localised_strings_string_force_not_in_correct_stance_not_enough_ap	This force is currently not in settle stance and doesn't have enough action points to settle.	true
campaign_localised_strings_string_military_force_growth_tax	Tax	true
campaign_localised_strings_string_politics_character_cannot_become_governor_wounded	This character cannot be assigned governor whilst wounded.	true
campaign_localised_strings_string_events_attrition_summary_location	Province:	true
campaign_localised_strings_string_MPC_cannot_construct_not_your_turn	[[col:red]]You cannot construct buildings during other factions' turns.[[/col]]	true
campaign_localised_strings_string_politics_character_regent	Regent	true
campaign_localised_strings_string_end_turn_warning_public_order_low	This province has dangerously low public order:	true
campaign_localised_strings_string_province_fertility_factor_buildings	Faction or buildings	true
campaign_localised_strings_string_military_history_battles_victory_decisive	Decisive victory against:	true
campaign_localised_strings_string_politics_assign_governor	Left-click to assign your character this office.	true
campaign_localised_strings_string_cha_mission_pope_attacked_1	Return the Pope to Roma. (A character with the Pope ancillary must be present in the region of Roma.)	true
campaign_localised_strings_string_recruit_assassin_tooltip	Recruit Assassin||Skilled in the art of killing, assassins can eliminate hostile generals and agents. Their skills can also be applied to the training of units and the harassment of enemy armies.	true
campaign_localised_strings_string_details_panel_skills_cannot_select	This character cannot learn this skill:	true
campaign_localised_strings_string_raise_navy_capped	Cannot raise a fleet.||You have insufficient imperium.	true
campaign_localised_strings_string_raise_legacy_capped	Cannot reinstate legacy.||You have insufficient imperium.	true
campaign_localised_strings_string_end_turn_warning_not_researching	You are not currently researching any technologies.	true
campaign_localised_strings_string_military_force_growth_technologies	Technologies	true
campaign_localised_strings_string_development_points_tooltip_hordes_insufficent_development_points_number_expedition	You need %n population surplus.||The expedition will grow over time, but a combination of raiding and settling, along with construction of the appropriate buildings, will help increase that rate of growth.	true
campaign_localised_strings_string_province_fertility_factor_climate	Climate	true
campaign_localised_strings_string_development_points_tooltip_hordes_growth	As the horde grows, its population can be used to make it stronger or to spawn new hordes.	true
campaign_localised_strings_string_imperium_01_description	Your power is of little consequence to the world... yet!	true
campaign_localised_strings_string_military_force_morale_bonus_value_foreign_territory	Hostile Territory	true
campaign_localised_strings_string_imperium_02_description	You have established yourself as a worthy power.	true
campaign_localised_strings_string_character_type_wife	Wife	true
campaign_localised_strings_string_imperium_03_description	Word of your achievements has travelled far.	true
campaign_localised_strings_string_imperium_04_description	Your accomplishments are great.	true
campaign_localised_strings_string_imperium_05_description	Your power is both feared and coveted.	true
campaign_localised_strings_string_imperium_06_description	The world trembles before you.	true
campaign_localised_strings_string_imperium_07_description	Your power is supreme.	true
campaign_localised_strings_string_public_order_food_tooltip	Food	true
campaign_localised_strings_string_military_history_battles	Battles fought:	true
campaign_localised_strings_string_building_restriction_bel_bld_all_resources_olives_4	To unlock this building you must control all 4 regions containing olive and have constructed the olives resource building in all of them.	true
campaign_localised_strings_string_politics_power_support_popular_description	Dominion is a measure of your influence over your faction; your power over the people. It is determined by the total influence of your family members versus that of non-family members.\\n\\nCombined with control, it defines your family's overall power.	true
campaign_localised_strings_string_politics_cannot_assign_age	This character has not come of age and cannot become governor yet.	true
campaign_localised_strings_string_military_force_morale_unit_transfer	Unit Transfer	true
campaign_localised_strings_string_recruitment_hire_from_horde	Recruit from Horde	true
campaign_localised_strings_string_public_order_taxes_tooltip	High taxes do not please people. Low taxes do.	true
campaign_localised_strings_string_public_order_other_tooltip	Your response to dilemmas and events affects how people view your leadership.	true
campaign_localised_strings_string_province_contested	Contested province.	true
campaign_localised_strings_string_politics_ministerial_position_required_rank	Required rank:	true
campaign_localised_strings_string_details_panel_skills_cannot_no_skill_points	They have no skill points.	true
campaign_localised_strings_string_unit_upgrade_multiple_units	Left-click to upgrade all currently selected units.	true
campaign_localised_strings_string_raise_force_reinstate_cannot_no_legacies	[[col:red]]You have no military legacies to reinstate.[[/col]]	true
campaign_localised_strings_string_politics_power_support_political_current	Current control:	true
campaign_localised_strings_string_att_eos_religious_mission_build_att_rel_semitic_paganism	Convert to or construct 4 Semitic pagan religious buildings without building any other religious buildings.	true
campaign_localised_strings_string_public_order_other	Other	true
campaign_localised_strings_string_public_order_taxes	Taxes	true
campaign_localised_strings_string_politics_action_impossible_target_retainer_rank_too_high	[[col:red]]Characters may only engage retainers of lower rank than themselves.[[/col]]	true
campaign_localised_strings_string_cha_faction_saxon_kingdom	Kingdom of Saxony	true
campaign_localised_strings_string_unit_details_rank	Rank:	true
campaign_localised_strings_string_military_history_battles_defeat_decisive	Decisive defeat by:	true
campaign_localised_strings_string_raise_force_navy_no_surplus	Cannot raise a fleet.||You do not have enough population surplus.	true
campaign_localised_strings_string_zeal_desc	Security against zealous agent actions.	true
campaign_localised_strings_string_military_force_morale_faction_leader_died	Turbulence	true
campaign_localised_strings_string_raise_army_besieged	Cannot raise an army.||This settlement is under siege.	true
campaign_localised_strings_string_public_order_food	Food	true
campaign_localised_strings_string_politics_action_impossible_target_underage	[[col:red]]Characters who have not yet come of age may not be involved in political actions.[[/col]]	true
campaign_localised_strings_string_cannot_migrate_no_armies	Your people cannot migrate without an army.	true
campaign_localised_strings_string_politics_character_status_scheming	Scheming	true
campaign_localised_strings_string_politics_character_status_deceased	Deceased	true
campaign_localised_strings_string_events_attrition_summary_men_lost	Men lost:	true
campaign_localised_strings_string_military_force_growth_core	Buildings & Food	true
campaign_localised_strings_string_public_order_deteriorating	Public order is deteriorating. 	true
campaign_localised_strings_string_unit_upgrade_single_unit	Left-click to upgrade the currently selected unit with:	true
campaign_localised_strings_string_character_mentor_of	This character is a mentor of: 	true
campaign_localised_strings_string_politics_action_impossible_target_candidate	[[col:red]]You cannot take political action against candidates.[[/col]]	true
campaign_localised_strings_string_building_restriction_bel_bld_all_resources_marble_4	To unlock this building you must control all 4 regions containing marble and have constructed the marble resource building in all of them.	true
campaign_localised_strings_string_details_panel_ancillary_wife_empty	This character has no wife. Your characters may receive marriage proposals from other parties, or you can arrange marriages for characters from other parties by engaging in faction politics.	true
campaign_localised_strings_string_politics_character_status_wounded	Wounded	true
campaign_localised_strings_string_public_order_breakdown_rebellion	Rebels Left	true
campaign_localised_strings_string_military_history_battles_victory_phyrric	Costly victory against:	true
campaign_localised_strings_string_military_force_morale_lost_battle	Battle Lost	true
campaign_localised_strings_string_politics_event_assassination_wife_success	His wife was successfully assassinated!	true
campaign_localised_strings_string_religion_factor_province	Local traditions	true
campaign_localised_strings_string_end_turn_warning_siege_no_equipment	You are besieging a settlement with no assault equipment:	true
campaign_localised_strings_string_other_nobles_candidates_description	Candidates are characters who are not yet active faction members.||In the absence of other available characters, candidates may be called upon to assume command of forces or assume governorships.\\n\\n[[col:yellow]]Their influence does not affect faction politics and their loyalty will only change once they become active.[[/col]]	true
campaign_localised_strings_string_details_panel_skills_select	This character may learn an additional skill.\\nLeft-click a skill to learn it.	true
campaign_localised_strings_string_politics_character_not_politician	[[col:red]]Only statesmen may become governors.[[/col]]	true
campaign_localised_strings_string_info_panel_effect_summary_general	Commander's effects	true
campaign_localised_strings_string_recruitment_unavailable_incorrect_stance	Cannot recruit in this stance.	true
campaign_localised_strings_string_public_order_breakdown_rebellion_tooltip	Rebellion	true
campaign_localised_strings_string_politics_action_possible	[[col:green]]This political action will be resolved at the start of the next turn.[[/col]]	true
