key	text	tooltip
#Loc;1;text/db/campaign_map_tooltip_texts.loc		
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_transfer_units	Right-click to transfer	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_non_player_major_settlement_port_unoccupied_self	A port settlement	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_non_player_minor_settlement_port_unoccupied_self	A port settlement	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_sea_region	Replenishment and recruitment: 	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_player_army_cannot_embed_agent_accompanied	This army is being accompanied by another agent.\\n\\nArmies can only accomodate a single agent.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_player_navy_self	Your fleet \\n\\nCan fight naval battles, provide escort for transports, blockade and capture enemy coastal settlements.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_player_army_self	[[rgba:255:255:0:255]]Your army led by: %S[[/rgba:255:255:0:255]]||Can capture and defend settlements or engage other armies.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_hostile_sea_region	Replenishment and recruitment: 	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_inspect_must_break_siege	Left-click to select.\\nMust break siege first.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_no_replenishment	[[col:red]]Fleets cannot replenish in foreign or hostile waters![[/col]]	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_warning_no_access	[[col:red]]Trespassing may have diplomatic repercussions![[/col]]	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_non_player_sea_trade_route_self	A naval trade route	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_attack_settlement_siege_left_clk_select	Right-click to attack\\nLeft-click to select	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_warning_settlement_under_blockade	[[col:red]]The settlement is under blockade.[[/col]]	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_player_trade_route_self	Your trade route	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_garrison_port	Right-click to garrison	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_select_must_break_siege	Left-click to select.\\nMust break siege first.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_hostile_sea_region_self	None (hostile sea region)	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_act_against_character_left_clk_select	Right-click to act\\nLeft-click to select	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_disembark_at_coast	Right-click to disembark at the closest landing site.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_player_navy_escort_self	Your fleet and the escorted tranports	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_inspect_right_clk_move_to_coast	Left-click to inspect.\\nRight click to move to the closest landing site.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_sea_region_self	Sea region	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_non_player_major_settlement_self	A major settlement	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_non_player_minor_settlement_self	A settlement	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_warning_diplomatic_impact_attack	[[col:red]]Attacking foreign assets is an act of war![[/col]]	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_must_break_siege	Must break siege first.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_non_player_admiral	A fleet, led by: %S	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_non_player_general	An army, led by: %S	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_player_general_on_sea	Your transports, led by: %S	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_enemy_general	Enemy army, led by: %S	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_enemy_admiral	Enemy fleet, led by: %S	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_act_against_character	Right-click to act	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_player_agent	Your %S	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_select	Left-click to select	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_garrison_port_left_clk_select	Right-click to garrison the port\\nLeft-click to select	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_warning_diplomatic_impact_action	[[col:red]]Action against foreign assets may have diplomatic repercussions![[/col]]	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_enemy_agent	Enemy %S	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_inspect_right_declare_war	Right-click to declare war\\nLeft-click to inspect	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_attack_settlement_siege	Right-click to attack	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_warning_already_besieged	This settlement is already besieged.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_act_against_army	Right-click to act	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_player_minor_settlement_port_occupied_self	Your port settlement	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_enemy_sea_trade_route_self	Enemy naval trade-route\\n\\nUse a fleet to raid its goods.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_player_agent_self	Your %S||Good for disrupting enemy armies and settlements, or to eliminate their agents.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_act_against_settlement_left_clk_select	Right-click to act\\nLeft-click to select	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_attack_navy_left_clk_select_inspection	Right-click to attack\\nLeft-click to inspect	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_attack_port_settlement_left_clk_select	Right-click to attack\\nLeft-click to select	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_warning_already_blockaded	This settlement is already blockaded.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_player_navy_transport_self	Your transports \\n\\nVulnerable to fleets. Can disembark onto land or directly attack coastal settlements at ports.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_enemy_navy_self	Enemy navy\\n\\nThreat to your transports. Use one of your fleets to eliminate this threat.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_enemy_army_self	Enemy army\\n\\nUse one of your armies to eliminate this threat.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_select_inspection	Left-click to inspect	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_warning_agent_cannot_act_own_settlement	Agents cannot act against their own settlements.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_player_major_settlement_port_occupied_self	Your major port settlement	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_warning_cannot_move_stance	[[col:red]]You cannot move in your current stance![[/col]]	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_non_player_minor_settlement	A minor settlement	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_enemy_region_self	Enemy region\\n\\nCapture the settlement to claim it for yourself.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_attack_port_settlement	Right-click to attack	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_act_against_character_left_clk_select_inspection	Right-click to act\\nLeft-click to inspect	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_enemy_general_on_sea	Enemy transports, led by: %S	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_act_against_settlement	Right-click to act	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_enemy_agent_self	Enemy agent\\n\\nUse one of your agents to eliminate this threat.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_act_against_army_left_clk_select	Right-click to act\\nLeft-click to select	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_enemy_major_settlement_port_occupied_self	Enemy port settlement\\n\\nUse one of your fleets to blockade and capture it.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_contested_sea_region_self	Ports only (contested sea region)	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_enemy_navy_transport_self	Enemy transports\\n\\nCan land on your beaches. Use one of your fleets to eliminate this threat.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_attack_army_left_clk_select_inspection	Right-click to attack\\nLeft-click to inspect	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_cannot_garrison_already_garrisoned	Settlement is already being garrisoned	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_attack_port_settlement_siege_left_clk_select_inspection	Right-click to attack\\nLeft-click to inspect	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_warning_already_besieged_non_enemy	This settlement is already besieged.\\n[[col:red]]Attacking foreign assets is an act of war![[/col]]	true
campaign_map_tooltip_texts_tooltip_text_att_tltip_left_clk_select_right_clk_resettle	Left-click to select.\\nRight click to resettle.	true
campaign_map_tooltip_texts_tooltip_text_att_tltip_left_clk_select_right_clk_colonise	Left-click to select.\\nRight click to colonise.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_select_right_clk_move_to_coast	Left-click to select.\\nRight-click to move to the closest landing site.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_embark	Right-click to embark	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_non_player_province_capital	A provincial capital	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_enemy_minor_settlement_port_occupied_self	Enemy port settlement\\n\\nUse one of your fleets to capture it.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_contested_sea_region	Replenishment and recruitment: 	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_player_minor_settlement	Your minor settlement	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_enemy_navy_escort_self	Enemy navy escorting transports\\n\\nThreat to your transports. Use one of your fleets to eliminate this threat.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_garrison_settlement	Right-click to garrison	true
campaign_map_tooltip_texts_tooltip_text_rome_2_tltip_left_clk_select_right_clk_disembark_at_coast	Left-click to select.\\nRight click to disembark.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_enemy_trade_route_self	Enemy trade-route\\n\\nUse an army to raid its goods.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_non_player_major_settlement_port_occupied_self	A port settlement	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_transfer_units_left_clk_select_army	Right-click to transfer\\nLeft-click to select	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_attack_army_left_clk_select	Right-click to attack\\nLeft-click to select	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_non_player_navy_transport_self	A transport fleet	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_attack_port_settlement_siege_left_clk_select	Right-click to attack\\nLeft-click to select	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_enemy_major_settlement_port_unoccupied_self	Enemy port settlement\\n\\nUse one of your fleets to blockade and capture it.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_enemy_minor_settlement_port_unoccupied_self	Enemy port settlement\\n\\nUse one of your fleets to capture it.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_province	Province: %S	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_non_player_general_on_sea	Transports, led by: %S	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_attack_navy	Right-click to attack	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_get_escorted_left_clk_select	Right-click to accompany\\nLeft-click to select	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_select_warning_port_occupied	Left-click to select.\\nThe port is already occupied.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_enemy_major_settlement_self	Enemy major settlement\\n\\nUse one of your armies to lay siege and capture it.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_enemy_minor_settlement_self	Enemy settlement\\n\\nUse one of your armies to capture it.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_non_player_minor_settlement_port_occupied_self	A port settlement	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_act_against_army_left_clk_select_inspection	Right-click to act\\nLeft-click to inspect	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_attack_port_settlement_siege	Right-click to attack	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_abandoned_minor_region	An abandoned minor settlement	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_attack_port_settlement_left_clk_select_inspection	Right-click to attack the port\\nLeft-click to inspect	true
campaign_map_tooltip_texts_tooltip_text_rome_2_tltip_left_ck_inspect_right_clk_disembark_at_coast	Left-click to inspect.\\nRight click to disembark and attack.	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_main_player_province_capital	Your provincial capital	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_attack_army	Right-click to attack	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_garrison_settlement_left_clk_select	Right-click to garrison the settlement\\nLeft-click to select	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_abandoned_major_region	An abandoned provincial capital	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_attack_settlement_siege_left_clk_select_inspection	Right-click to attack\\nLeft-click to inspect	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_move	Right-click to move	true
campaign_map_tooltip_texts_tooltip_text_att_tltip_main_abandoned_minor_settlement	Ruins of a minor settlement	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_get_escorted	Right-click to accompany fleet	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_left_clk_inscpect_must_break_blockade	Left-click to inspect.\\nMust break blockade first.	true
campaign_map_tooltip_texts_tooltip_text_att_tltip_main_abandoned_major_settlement	Ruins of a major settlement	true
campaign_map_tooltip_texts_tooltip_text_rome2_tltip_right_clk_transfer_units_left_clk_select_navy	Right-click to transfer\\nLeft-click to select	true
