key	text	tooltip
#Loc;1;text/db/campaign_payload_ui_details.loc		
campaign_payload_ui_details_description_bel_pope_2	Trait Gained: Fidei Defensor 	true
campaign_payload_ui_details_description_bel_pope_1	Trait Gained: Defender of Harmony	true
campaign_payload_ui_details_description_dummy_payload_viking_take_land_northumbria	Recieve a Northumbrian region.	true
campaign_payload_ui_details_description_dummy_pope_ancillary	The Pope joins Charlemagne's court.	true
campaign_payload_ui_details_description_bel_antonina_gems_1	Reputation Damage	true
campaign_payload_ui_details_description_att_eos_marib_dam_repair_2	Some minor repairs might just be enough to stop the dam from bursting...	true
campaign_payload_ui_details_description_att_eos_marib_dam_repair_3	Extensive repair work will likely prevent all but a small amount of damage.	true
campaign_payload_ui_details_description_att_eos_marib_dam_repair_1	Leaving the dam to its fate costs no money, but the damage is likely to be serious... It may even burst!	true
campaign_payload_ui_details_description_att_eos_marib_dam_repair_4	Fully repairing the dam will keep it in good working order and keep the farmers happy.	true
campaign_payload_ui_details_description_dummy_ybor_level_A_choice_1	Prised from the cold grasp of a rival king.	true
campaign_payload_ui_details_description_dummy_ybor_level_A_choice_2	Said by the priesthood to confer wisdom and the protection of Godan.	true
campaign_payload_ui_details_description_cha_carloman_succession_1_war	War will soon be declared between you.	true
campaign_payload_ui_details_description_dummy_venedi_1_repeat	We can pay the Huns a large tribute, this should guarantee our safety.	true
campaign_payload_ui_details_description_dummy_venedi_2_repeat	Delivering the Huns substantial amounts of food should guarantee our safety.	true
campaign_payload_ui_details_description_dummy_venedi_3_repeat	Refusing to give the Huns anything will undoubtedly stoke their anger.	true
campaign_payload_ui_details_description_dummy_payload_joyeuse	Charlemagne receives his legendary sword "Joyeuse"!	true
campaign_payload_ui_details_description_att_mission_accepted_dummy	Mission Issued	true
campaign_payload_ui_details_description_att_mission_rejected_dummy	Mission Rejected	true
campaign_payload_ui_details_description_adopt	Character adopted: %2%	true
campaign_payload_ui_details_description_dummy_ollam_ri_picti_choice_1	The black mirror of its surface reflects mankind’s every secret.	true
campaign_payload_ui_details_description_dummy_ollam_ri_picti_choice_2	The primordial trees promise life to the brave and death to the unwary.	true
campaign_payload_ui_details_description_dummy_payload_unforeseen_consequences	There may be unforeseen consequences...	true
