key	text	tooltip
#Loc;1;text/db/capture_point_types.loc		
capture_point_types_onscreen_name_capture_point_tower_only	Tower	true
capture_point_types_onscreen_name_victory_point_plaza	Victory Point - Courtyard	true
capture_point_types_onscreen_name_victory_point_statue_helios	Victory Point - Statue of Helios	true
capture_point_types_onscreen_name_victory_point_statue_hera	Victory Point - Statue of Hera	true
capture_point_types_onscreen_name_capture_point_plaza	Capture Point - Plaza	true
capture_point_types_onscreen_name_victory_point_agora	Victory Point - Agora	true
capture_point_types_onscreen_name_victory_point_lighthouse	Victory Point - Lighthouse	true
capture_point_types_onscreen_name_victory_point_forum	Victory Point - Forum	true
capture_point_types_onscreen_name_victory_point_baths	Victory Point - Thermal Baths	true
capture_point_types_onscreen_name_victory_point_docks	Victory Point - Docks	true
capture_point_types_onscreen_name_victory_point_arena	Victory Point - Arena	true
capture_point_types_onscreen_name_victory_point_stone_circle	Victory Point - Stone Circle	true
capture_point_types_onscreen_name_victory_point_park	Victory Point - Gardens	true
capture_point_types_onscreen_name_victory_point_ziggurat	Victory Point - Ziggurat	true
capture_point_types_onscreen_name_victory_point_aqueduct	Victory Point - Aqueduct	true
capture_point_types_onscreen_name_victory_point_barracks	Victory Point - Barracks	true
capture_point_types_onscreen_name_victory_point_coliseum	Victory Point - Coliseum	true
capture_point_types_onscreen_name_victory_point_bridge	Victory Point - Bridge	true
capture_point_types_onscreen_name_victory_point_statue_poseidon	Victory Point - Statue of Poseidon	true
capture_point_types_onscreen_name_victory_point_archery	Victory Point - Archery Range	true
capture_point_types_onscreen_name_victory_point_statue_augustus	Victory Point - Statue of Augustus	true
capture_point_types_onscreen_name_capture_point_gate_and_towers	Capture Point - Gate and Tower(s)	true
capture_point_types_onscreen_name_capture_point_towers	Towers	true
capture_point_types_onscreen_name_victory_point_market	Victory Point - Market	true
capture_point_types_onscreen_name_victory_point_circus	Victory Point - Circus Maximus	true
capture_point_types_onscreen_name_victory_point_theatre	Victory Point - Theatre	true
capture_point_types_onscreen_name_victory_point_palace	Victory Point - Palace	true
capture_point_types_onscreen_name_victory_point_chieftain	Victory Point - Chieftain House	true
capture_point_types_onscreen_name_a_default_capture_point	Victory Point	true
capture_point_types_onscreen_name_capture_point_gate_only	Capture Point - Gate	true
capture_point_types_onscreen_name_victory_point_great_oak	Victory Point - Great Oak	true
capture_point_types_onscreen_name_victory_point_stables	Victory Point - Stables	true
capture_point_types_onscreen_name_victory_point_obelisk	Victory Point - Obelisk	true
capture_point_types_onscreen_name_victory_point_shrine	Victory Point - Shrine	true
capture_point_types_onscreen_name_victory_point_acropolis	Victory Point - Acropolis	true
capture_point_types_onscreen_name_victory_point_temple	Victory Point - Temple	true
