key	text	tooltip
#Loc;1;text/db/character_trait_levels.loc		
character_trait_levels_onscreen_name_att_trait_general_personality_all_arse_1	Curious	true
character_trait_levels_onscreen_name_att_trait_general_personality_all_arse_3	Anything Goes	true
character_trait_levels_onscreen_name_att_trait_general_personality_all_arse_2	Proud	true
character_trait_levels_onscreen_name_att_trait_general_military_all_high_casualties_2	Bloody	true
character_trait_levels_onscreen_name_att_trait_general_military_all_high_casualties_3	Take No Prisoners!	true
character_trait_levels_onscreen_name_att_trait_general_military_all_high_casualties_1	A Bit of Claret	true
character_trait_levels_colour_text_att_trait_general_government_all_authoritarian_2	"My hands are tied. Rules are rules."	true
character_trait_levels_colour_text_att_trait_general_government_all_authoritarian_3	Merciful government is an oxymoron.	true
character_trait_levels_colour_text_att_trait_general_government_all_authoritarian_1	Government is a firm, loving father to the people.	true
character_trait_levels_colour_text_att_trait_general_military_army_all_ambusher_bad_1	Despite his best efforts, this man's ambushes never work as planned.	true
character_trait_levels_colour_text_att_trait_general_military_army_all_ambusher_bad_2	This man might as well put up a sign saying "ambush ahead".	true
character_trait_levels_colour_text_att_trait_general_military_army_all_ambusher_bad_3	This man couldn't organise a piss-up in a tavern, let alone a surprise attack. 	true
character_trait_levels_colour_text_att_trait_general_physical_all_innate_handsome_1	"I see you looking. And yes, I work out."	true
character_trait_levels_colour_text_att_trait_general_military_army_all_siege_defender_bad_2	His defence skills are legendary, but not in a good way.	true
character_trait_levels_colour_text_att_trait_general_military_army_all_siege_defender_bad_3	Woe betide any city left in the care of this man! 	true
character_trait_levels_colour_text_att_trait_general_military_army_all_siege_defender_bad_1	This man has lost more than one city but has, sadly, escaped with his life.	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_power_5	"Power to the Oars" V	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_power_4	"Power to the Oars" IV	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_power_1	"Power to the Oars" I	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_power_3	"Power to the Oars" III	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_power_2	"Power to the Oars" II	true
character_trait_levels_onscreen_name_att_trait_all_personality_all_sober_1	Sober	true
character_trait_levels_onscreen_name_att_trait_all_personality_all_sober_2	Abstemious	true
character_trait_levels_onscreen_name_att_trait_all_personality_all_sober_3	Painfully Teetotal	true
character_trait_levels_onscreen_name_att_trait_general_personality_all_dishonest_2	Dishonest	true
character_trait_levels_onscreen_name_att_trait_general_personality_all_dishonest_3	Great Deceiver	true
character_trait_levels_onscreen_name_att_trait_general_personality_all_dishonest_1	Untrustworthy	true
character_trait_levels_onscreen_name_att_trait_spy_actions_all_investigator_3	Cutthroat	true
character_trait_levels_onscreen_name_att_trait_spy_actions_all_investigator_2	Blackmailer	true
character_trait_levels_onscreen_name_att_trait_spy_actions_all_investigator_1	Investigator	true
character_trait_levels_onscreen_name_att_trait_general_government_all_admin_good_3	Expert Administrator	true
character_trait_levels_onscreen_name_att_trait_general_government_all_admin_good_2	Good Administrator	true
character_trait_levels_onscreen_name_att_trait_general_government_all_admin_good_1	Administrator	true
character_trait_levels_colour_text_att_trait_general_physical_all_eunuch_1	This man is ideal if you want the flowers of marriage, but not the fruits.	true
character_trait_levels_colour_text_att_trait_general_personality_roman_unpatriotic_1	Many disapprove of this man's foreign tastes.	true
character_trait_levels_colour_text_att_trait_general_personality_roman_unpatriotic_2	This man delights in un-Christian things. Appalling chap.	true
character_trait_levels_colour_text_att_trait_general_personality_roman_unpatriotic_3	This man'th affected lithp ith howwid. And he callth himthelf a Wohman… Weahlly!	true
character_trait_levels_onscreen_name_att_trait_all_personality_all_easily_trapped_1	Easily Trapped	true
character_trait_levels_onscreen_name_att_trait_all_personality_all_innate_uncompromising_1	Uncompromising	true
character_trait_levels_colour_text_att_trait_general_ability_all_inspire_4	In battle this man inspires his warriors to acts of insane heroism.	true
character_trait_levels_colour_text_att_trait_general_ability_all_inspire_5	In battle this man inspires his warriors to acts of insane heroism.	true
character_trait_levels_colour_text_att_trait_general_ability_all_inspire_1	In battle this man inspires his warriors to acts of insane heroism.	true
character_trait_levels_colour_text_att_trait_general_ability_all_inspire_2	In battle this man inspires his warriors to acts of insane heroism.	true
character_trait_levels_colour_text_att_trait_general_ability_all_inspire_3	In battle this man inspires his warriors to acts of insane heroism.	true
character_trait_levels_onscreen_name_cha_trait_pope_1	The Pope	true
character_trait_levels_colour_text_att_trait_general_military_navy_all_defender_sea_good_3	The sea-gods blessed this man with tactical wit.	true
character_trait_levels_colour_text_att_trait_general_military_navy_all_defender_sea_good_2	This man usually wins when defending at sea.	true
character_trait_levels_colour_text_att_trait_general_military_navy_all_defender_sea_good_1	This man understands defence at sea.	true
character_trait_levels_colour_text_att_trait_general_personality_all_mad_3	"I'm a little soup pot, short and stout…"	true
