key	text	tooltip
#Loc;1;text/db/diplomacy_strings.loc		
diplomacy_strings_string_barb_hun_offer_request_peace_01	I have listened to the ancestors. They speak of nothing but peace…	true
diplomacy_strings_string_barb_hun_offer_request_peace_03	Our rivals circle like carrion crows, and we fight on to give them meat. We should have peace.	true
diplomacy_strings_string_barb_hun_offer_request_peace_02	Strength has been shown by the living and the dead. Now it is time to set aside war…	true
diplomacy_strings_string_barb_hun_offer_request_peace_05	How much blood must we spill before we find wisdom?	true
diplomacy_strings_string_barb_hun_offer_request_trade_02	We both would surely benefit if we agreed to open trade. Well?	true
diplomacy_strings_string_barb_hun_offer_request_peace_04	Our gods think this war is wasteful. Shall we have peace? 	true
diplomacy_strings_string_barb_hun_offer_request_trade_03	We have fine goods and you have much that we want in return. So, are we to have trade?	true
diplomacy_strings_string_barb_hun_offer_request_peace_06	Do we fight until both of us are on our knees?	true
diplomacy_strings_string_barb_hun_offer_request_trade_01	A river of goods and coin between our lands would surely see all prosper?	true
diplomacy_strings_string_eastern_acknowledge_cancel_military_access_03	We march our armies on other roads from this day on.	true
diplomacy_strings_string_eastern_acknowledge_cancel_military_access_02	My honourable master will leash in his mighty armies.	true
diplomacy_strings_string_eastern_acknowledge_cancel_military_access_01	Ah, this is unfortunate, but we will agree. Our armies will no longer enter your domains.	true
diplomacy_strings_string_rome_christian_cancel_military_access_01	Our borders are closed to your armies. The Emperor does not sleep well when foreigners march in our lands.	true
diplomacy_strings_string_barb_christian_generic_reject_08	God will not allow this. For all its merits, it is not enough to calm his wrath.	true
diplomacy_strings_string_barb_christian_generic_reject_09	To accept these terms would risk the wrath of both God and my people. I cannot act on this. 	true
diplomacy_strings_string_barb_christian_generic_reject_02	My people cannot accept such an thing. The Lord would rightly curse us!	true
diplomacy_strings_string_barb_christian_generic_reject_01	No, no, no. The Lord would send a red plague upon us all if I agreed to such a thing. 	true
diplomacy_strings_string_barb_christian_reject_demand_single_payment_02	Conscience would not let me rest easily if I gave you money and, in the doing, took honour.	true
diplomacy_strings_string_rome_reject_attack_faction_01	Such an attack might be prudent, but I do not believe the consuls will make troops available.	true
diplomacy_strings_string_rome_reject_attack_faction_03	Our Legions have their orders. Sadly for you their orders do not include acting on your orders.	true
diplomacy_strings_string_rome_reject_attack_faction_02	The people see little need to expend swords and coin from the purse on ill-judged adventures.	true
diplomacy_strings_string_barbarian_reject_angry_demand_single_payment_01	The only gold I will give you is the piss from my slaves, and I begrudge you even that!	true
