key	text	tooltip
#Loc;1;text/db/effects.loc		
effects_description_att_effect_morale_against_nomads	Morale: %+n when fighting Nomadic factions	true
effects_description_att_effect_damage_against_nomads	Melee Damage: %+n when fighting Nomadic factions	true
effects_description_att_effect_attack_against_nomads	Melee Attack: %+n when fighting Nomadic factions	true
effects_description_mk_effect_force_army_battle_cannon_missile_rate	Missile attack rate: %+n for cannon units	true
effects_description_att_effect_force_navy_battle_support_ship_missile_damage	Missile damage: %+n% for missile ships	true
effects_description_att_effect_imported_food	Imported Food: %+n food from active trade routes	true
effects_description_att_effect_agent_action_outcome_target_army_replenishment_increase_dummy	Replenishment rate: %+n%	true
effects_description_att_effect_economy_gdp_mod_commerce_land_horde	Wealth: %+n% from commerce	true
effects_description_att_effect_edict_eastern_enlightenment_sanitation	Sanitation: %+n	true
effects_description_att_effect_force_navy_battle_unit_morale_blockade	Morale: %+n versus blockading fleets	true
effects_description_att_effect_force_unit_stat_missile_damage	Missile damage: %+n%	true
effects_description_att_effect_agent_action_outcome_local_province_recruitment_points	Recruitment capacity: %+n	true
effects_description_att_effect_force_army_campaign_military_morale_add_when_fortified	Integrity: %+n when fortified	true
effects_description_mk_effect_force_army_campaign_experience_militia	Unit experience %+n experience for militia units	true
effects_description_att_effect_unit_training_morale_infantry	Morale training: %+n for infantry recruits	true
effects_description_mk_effect_force_army_campaign_upkeep_cost_nobles	Upkeep cost: %+n% for noble units	true
effects_description_att_effect_agent_action_outcome_target_gather_intelligence_dummy	Information items discovered: %+n	true
effects_description_att_mission_issued_dummy	Mission Issued!	true
effects_description_att_effect_agent_field_line_of_sight_mod	Line of sight: %+n%	true
effects_description_att_faction_trait_venedi_growth	Growth: %+n	true
effects_description_att_effect_force_army_battle_unit_morale_during_ambushes	Morale: %+n during ambushes	true
effects_description_mk_faction_trait_serbia_4	Factionalism: %+n integrity when in own or allied territory	true
effects_description_att_effect_force_army_campaign_military_morale_add_when_settled	Integrity: %+n when encamped	true
effects_description_mk_faction_trait_serbia_1	Legal Codification and Reforms: +1 public order from political reform & -10% corruption	true
effects_description_mk_faction_trait_serbia_2	Autonomy of the Zupas: %+n% construction cost and no upkeep for garrison buildings	true
effects_description_mk_faction_trait_serbia_3	Serbian Shock Tactics: %+n% charge bonus & +3% speed for cavalry units	true
effects_description_mk_faction_trait_castile_3_range	Jinete Tactics: %+n% range for skirmish cavalry units	true
effects_description_mk_faction_trait_norway_1	Northern Thalassocracy: %+n% campaign movement range for navies & can migrate	true
effects_description_mk_faction_trait_norway_3	The Gestir: %+n agent recruit experience for spies & maximum amount of active Spies increased by +1	true
effects_description_mk_faction_trait_norway_2	Leidang: %+n navy recruitment capacity & ports provide larger garrisons	true
effects_description_mk_faction_trait_norway_4	Contested Seat: %+n% personal influence cost for political actions	true
effects_description_att_effect_general_religious_roman_unrest	Public order: Up to %+n bonus from presence of Roman paganism	true
effects_description_mk_effect_force_army_battle_unit_morale_militia	Morale: %+n for militia units	true
effects_description_mk_faction_trait_castile_2_ibadi	Iberian Crusaders: %+n morale when fighting Ibadi factions	true
effects_description_att_effect_general_local_mod_construction_costs	Construction cost: %+n%	true
effects_description_cha_effect_agent_action_sabotage_building_enable	Enables: [[col:yellow]]Sabotage Building[[/col]]	true
effects_description_cha_effect_religion_osmosis_islam	Religious osmosis: %+n Islam	true
effects_description_att_effect_religion_osmosis_arian	Religious osmosis: %+n Arian Christianity	true
effects_description_mk_faction_trait_milan_1	Milanese Arms Manufacturing: %+n% upkeep cost for noble units	true
effects_description_att_effect_force_navy_campaign_recruitment_points	Navy recruitment capacity: %+n	true
effects_description_mk_faction_trait_milan_2	Peace of Konstanz: -25% construction cost of civic and industrial buildings & +10% wealth from industry	true
effects_description_mk_faction_trait_milan_3	Querasima Torture: +2 spy recruit experience & +10% success chance for spy actions	true
effects_description_mk_faction_trait_milan_4	Della Torre Rivals: %+n loyalty	true
effects_description_mk_faction_trait_marinids_2_range	Zenata Lineage: %+n% range for skirmish cavalry units	true
effects_description_att_effect_agent_action_enable_champion_hinder_character_assault	Enables: [[col:yellow]]Assault[[/col]]	true
effects_description_att_effect_agent_action_buff_champion_hinder_settlement_sabotage_building_damage	Sabotage Building action: %+n% damage caused	true
effects_description_att_effect_edict_catholic_ecumenical_matters_corruption	Corruption: %+n%	true
effects_description_att_effect_edict_arian_docrines_arius_religious_conversion_mod	Doctrines of Arius edict: %+n Arian Christian religious influence	true
effects_description_att_effect_agent_action_buff_spy_hinder_army_ruin_provisions_fatigue_resistance	Ruin Provisions action: %+n% fatigue rate	true
effects_description_att_effect_plague_outbreak_mod_besieger	Disease: Doubles the chance of outbreak	true
effects_description_mk_faction_trait_papacy_4	Nepotismo Romano: %+n% corruption	true
effects_description_mk_faction_trait_papacy_3	Holy See and Papal Cathedra: %+n diplomatic relations with other Catholic factions	true
effects_description_mk_faction_trait_papacy_2	Mendicant Orders: +2 agent recruit experience for priests & maximum amount of active Priests increased by +1	true
effects_description_mk_faction_trait_papacy_1	Jubilee: Up to +4 public order bonus from presence of Catholic Christianity and -10% construction cost	true
effects_description_att_effect_agent_recruitment_cost_mod_spy	Agent recruitment cost: %+n% for spies	true
effects_description_att_effect_unit_equipment_weapon_bronze	Weaponsmithing I: %+n% melee damage for all unit recruits	true
effects_description_mk_effect_force_army_campaign_upkeep_cost_professionals	Upkeep cost: %+n% for professional units	true
