key	text	tooltip
#Loc;1;text/db/event_feed_events.loc		
event_feed_events_event_title_diplomacy_war_declared	War Declared	true
event_feed_events_event_title_diplomacy_war_coordination_target_not_available	War Co-ordination Target Lost	true
event_feed_events_event_title_faction_succession_heir_comes_of_age	Ascent to the Throne	true
event_feed_events_event_title_faction_famine	Famine	true
event_feed_events_event_title_provinces_plague_spreads_force_to_force	Plague Spreads from Force to Force	true
event_feed_events_event_title_diplomacy_treaty_broken_trade_dissolved	Trade Agreement Dissolved	true
event_feed_events_event_title_faction_religion_change	Religious Change	true
event_feed_events_event_title_provinces_edict_issued	Edict Issued	true
event_feed_events_event_title_military_army_founded	Army Founded	true
event_feed_events_event_title_horde_unrest_imminent_rebellion	Uprising Imminent	true
event_feed_events_event_title_character_rank_gained	Rank Gained	true
event_feed_events_event_title_conquest_blockade_established	Blockade Established	true
event_feed_events_event_title_faction_civil_war_force	Civil War Erupts	true
event_feed_events_event_title_conquest_battle	Battle	true
event_feed_events_event_title_diplomacy_trespassing	Trespassing!	true
event_feed_events_event_title_conquest_sea_region_controlled	Sea Region Controlled	true
event_feed_events_event_title_character_dies_battle	Killed in Battle	true
event_feed_events_event_title_faction_civil_war_ends	Civil War Crushed	true
event_feed_events_event_title_character_dies_hostile	Killed by the Enemy	true
event_feed_events_event_title_character_dies_infant_mortality	Infant Mortality	true
event_feed_events_event_title_military_navy_founded	Navy Founded	true
event_feed_events_event_title_provinces_food_shortage_ends	Food Shortage Resolved	true
event_feed_events_event_title_provinces_building_constructed	Building Constructed	true
event_feed_events_event_title_character_dies_natural	Natural Causes	true
event_feed_events_event_title_military_path_blocked	Path Blocked	true
event_feed_events_event_title_faction_imperium_level_increase	Imperium	true
event_feed_events_event_title_faction_event_incident	Incident	true
event_feed_events_event_title_character_trait_gained	Trait Gained	true
event_feed_events_event_title_faction_resource_gained	Resource Gained	true
event_feed_events_event_title_conquest_siege_lifted	Siege Lifted	true
event_feed_events_event_title_diplomacy_faction_encountered	Faction Encointered	true
event_feed_events_event_title_diplomacy_treaty_broken_client_state	Tributary State Secedes	true
event_feed_events_event_title_diplomacy_war_coordination_ally_mobilisation_vs_force	Ally Moves Against Enemy Force	true
event_feed_events_event_title_provinces_building_demolished	Building Demolished	true
event_feed_events_event_title_character_loyalty_low	Waning Loyalty	true
event_feed_events_event_title_world_climate_change	Climate Change	true
event_feed_events_event_title_provinces_slums	Slums	true
event_feed_events_event_title_military_ambusher_discovered	Ambusher Discovered	true
event_feed_events_event_title_agent_action_vs_army	Agent vs. Army	true
event_feed_events_event_title_provinces_settlement_abandoned	Settlement Abandoned	true
event_feed_events_event_title_agent_recruited	Agent Recruited	true
event_feed_events_event_title_provinces_food_shortage	Food Shortage	true
event_feed_events_event_title_provinces_unseasonal_conditions	Unseasonal Conditions	true
event_feed_events_event_title_diplomacy_treaty_broken_military_alliance_manipulated	Military Alliance Undermined	true
event_feed_events_event_title_faction_technology_researched	Development	true
event_feed_events_event_title_diplomacy_treaty_broken_soft_military_access	Military Access Agreement Broken	true
event_feed_events_event_title_conquest_settlement_surrender_warning	Surrender Imminent	true
event_feed_events_event_title_military_navy_destroyed	Navy Destroyed	true
event_feed_events_event_title_faction_horde_begins	The Horde	true
event_feed_events_event_title_military_army_withdraws	Army Withdraws	true
event_feed_events_event_title_agent_discovered_yours	Agent Discovered	true
event_feed_events_event_title_conquest_settlement_captured	Settlement Occupied	true
event_feed_events_event_title_military_navy_withdraws	Navy Withdraws	true
event_feed_events_event_title_conquest_enemy_raid_trade_route	Trade Route Raided!	true
event_feed_events_event_title_military_army_destroyed	Army Destroyed	true
event_feed_events_event_title_character_dies_executed	Political Assassination	true
event_feed_events_event_title_faction_political_party_power_change	Balance of Power	true
event_feed_events_event_title_faction_resource_lost	Resource Lost	true
event_feed_events_event_title_provinces_development_points_available	Population Surplus	true
event_feed_events_event_title_provinces_plague_starts	Plague Starts	true
event_feed_events_event_title_diplomacy_treaty_broken_trade	Trade Agreement Broken	true
event_feed_events_event_title_military_army_raised	Army Raised	true
event_feed_events_event_title_military_navy_disbanded	Navy Disbanded	true
event_feed_events_event_title_faction_heir_nominated	Heir Nominated	true
event_feed_events_event_title_conquest_enemy_raid_settlement	Settlement Raided!	true
event_feed_events_event_title_diplomacy_treaty_broken_vassal	Puppet State Secedes	true
event_feed_events_event_title_character_trait_lost	Trait Lost	true
event_feed_events_event_title_conquest_sea_region_contested	Sea Region Contested	true
event_feed_events_event_title_diplomacy_war_coordination_ally_mobilisation_vs_region	Ally Moves Against Enemy Territory	true
event_feed_events_event_title_conquest_settlement_capital_captured	Capital Captured	true
event_feed_events_event_title_diplomacy_treaty_broken_defensive_alliance_manipulated	Defensive Alliance Undermined	true
event_feed_events_event_title_faction_event_mission_issued	Mission Issued	true
event_feed_events_event_title_diplomacy_treaty_broken_non_aggression_pact_manipulated	Non-aggression Pact Undermined	true
event_feed_events_event_title_diplomacy_treaty_negotiated_defensive_alliance	Defensive Alliance Established	true
event_feed_events_event_title_faction_campaign_lost	Campaign Lost	true
event_feed_events_event_title_faction_event_mission_aborted	Mission Aborted	true
event_feed_events_event_title_faction_event_mission_success	Mission Success	true
event_feed_events_event_title_faction_event_mission_failed	Mission Failed	true
