key	text	tooltip
#Loc;1;text/db/event_feed_summary_events.loc		
event_feed_summary_events_title_horde_food_shortage	Food Shortages	true
event_feed_summary_events_title_conquest_province_contested	Provinces Contested	true
event_feed_summary_events_title_provinces_settlement_looted	Settlements Looted	true
event_feed_summary_events_title_provinces_food_shortage_ends	Food Shortages Ended	true
event_feed_summary_events_title_military_attrition	Attrition Casualties	true
event_feed_summary_events_title_diplomacy_faction_encountered	Factions Encountered	true
event_feed_summary_events_title_provinces_settlement_razed	Settlements Razed	true
event_feed_summary_events_title_provinces_settlement_sacked	Settlements Sacked	true
event_feed_summary_events_title_character_rank_gained	Rank Gained	true
event_feed_summary_events_title_agent_action_vs_settlement	Agent Activity vs. Settlements	true
event_feed_summary_events_title_diplomacy_trespassing	Trespasses	true
event_feed_summary_events_title_provinces_unrest_rebellion	Rebellions	true
event_feed_summary_events_title_horde_development_points_available	Population Surplus	true
event_feed_summary_events_title_character_dies_battle	Deaths: Battle	true
event_feed_summary_events_title_conquest_sea_region_contested	Sea Regions Contested	true
event_feed_summary_events_title_character_ancillary_gained	Household Gained	true
event_feed_summary_events_title_character_trait_lost	Traits Lost	true
event_feed_summary_events_title_provinces_unrest_imminent_rebellion	Imminent Rebellions	true
event_feed_summary_events_title_faction_civil_war_province	Civil War: Rebellions	true
event_feed_summary_events_title_faction_civil_war_character	Civil War: Defections	true
event_feed_summary_events_title_agent_action_vs_army	Agent Activity vs. Armies	true
event_feed_summary_events_title_conquest_settlement_captured	Territorial Disputes	true
event_feed_summary_events_title_faction_resource_lost	Resources Lost	true
event_feed_summary_events_title_diplomacy_faction_destroyed	Factions Destroyed	true
event_feed_summary_events_title_character_trait_gained	Traits Gained	true
event_feed_summary_events_title_agent_action_vs_character	Agent Activity vs. Agents	true
event_feed_summary_events_title_faction_resource_gained	Resources Gained	true
event_feed_summary_events_title_character_dies_hostile	Deaths: Hostile Activity	true
event_feed_summary_events_title_provinces_building_constructed	Buildings Constructed	true
event_feed_summary_events_title_character_dies_natural	Deaths: Natural Causes	true
event_feed_summary_events_title_character_ancillary_lost	Household Lost	true
event_feed_summary_events_title_conquest_sea_region_controlled	Sea Regions Controlled	true
event_feed_summary_events_title_character_ready_for_duty	Ready for Duty	true
event_feed_summary_events_title_horde_unrest_imminent_rebellion	Imminent Mutinies	true
event_feed_summary_events_title_conquest_battle	Battle Reports	true
event_feed_summary_events_title_faction_civil_war_force	Civil War: Mutinies	true
event_feed_summary_events_title_conquest_province_secured	Provinces Secured	true
event_feed_summary_events_title_diplomacy_faction_emerges	Factions Emerged	true
event_feed_summary_events_title_conquest_enemy_raid_settlement	Regional Raiding	true
event_feed_summary_events_title_military_navy_rank_gained	Naval Traditions	true
event_feed_summary_events_title_military_unit_recruited	Units Recruited	true
event_feed_summary_events_title_military_army_rank_gained	Military Traditions	true
event_feed_summary_events_title_provinces_food_shortage	Food Shortages	true
event_feed_summary_events_title_provinces_unseasonal_conditions	Unseasonal Conditions	true
event_feed_summary_events_title_provinces_development_points_available	Population Surplus	true
event_feed_summary_events_title_horde_food_shortage_ends	Food Shortages Ended	true
event_feed_summary_events_title_conquest_enemy_raid_trade_route	Trade Route Raiding	true
event_feed_summary_events_title_character_dies_suspicious	Deaths: Suspicious	true
