key	text	tooltip
#Loc;1;text/db/faction_groups.loc		
faction_groups_name_localised_att_fact_group_slavs	Italia	true
faction_groups_name_localised_att_fact_group_celts	Gallia et Frisia	true
faction_groups_name_localised_att_fact_group_norse	Germania	true
faction_groups_description_localised_att_fact_group_nomadic	Nomads from central Asia have begun major incursions into southeastern Europe. Without settled homes or kings to lead them, they are masters of horsemanship and survival on the road, learning these skills from an early age. As word of the unparalleled accuracy of their mounted archers, and the ferocious speed of their strategic manoeuvres, spreads across the land, so too does fear of their coming. For many settled peoples, these nomadic riders bring only death and the end of days in their wake.	true
faction_groups_name_localised_att_fact_group_roman	Ruthenia et Balticum	true
faction_groups_description_localised_att_fact_group_eastern	Built from the ashes of the Parthian Empire by its conqueror, Ardashir I, the Sassanid Empire has revived Iranian culture in Persia after an extended period of Hellenisation. However, as its expansion pushes against the eastern fringes of Roman territory, either subjugation by or war with Rome seems inevitable. Sassanid armies, however, excel in siege conditions - either when besieging enemy cities or when defending their own, and with heavy cataphract cavalry as their backbone, the Sassanids are a formidable battlefield opponent.	true
faction_groups_name_localised_att_fact_group_germania	Germania	true
faction_groups_name_localised_att_fact_group_arabia	Sinus Arabicus	true
faction_groups_name_localised_att_fact_group_eastern	Magna Persia	true
faction_groups_name_localised_att_fact_group_france	Gallia et Frisia	true
faction_groups_description_localised_att_fact_group_barbarian	The Germanic tribes were the first of many people from beyond the frontiers to settle within Roman territory. Although many have become federates of the Roman Empire in return for their land, they remain fierce warriors who value their independence highly. As Roman control in the northwest of its Empire begins to falter, these great tribal confederations are ready and eager to exploit any opportunity for expansion that is presented to them.	true
faction_groups_name_localised_att_fact_group_italia	Italia	true
faction_groups_name_localised_att_fact_group_northsea	Mare Germanicum	true
faction_groups_description_localised_att_fact_group_france	On the fringes of civilisation, at the very edge of Roman Britannia, the Celtic peoples live and fight in defence of their ancient way of life. The Picts and Caledonians, occupying the northernmost extremities of Britannia, have clashed with the Roman Empire, frustrating their attempts to annex the entire island. The Ebdanians, meanwhile, separated from Imperial ambition by the Irish Sea, have built strong tribal ties and a unique variation in Celtic culture. Now that the Western Roman Empire is ailing, there is opportunity for the Celtic tribes to unite, put their strength and determination to the test and seize the British Isles. The Celts existed long before the Romans came, and will exist long after they have left!	true
faction_groups_name_localised_att_fact_group_nomadic	Pontus-Caspia	true
faction_groups_description_localised_att_fact_group_northsea	On the fringes of civilisation, at the very edge of Roman Britannia, the Celtic peoples live and fight in defence of their ancient way of life. The Picts and Caledonians, occupying the northernmost extremities of Britannia, have clashed with the Roman Empire, frustrating their attempts to annex the entire island. The Ebdanians, meanwhile, separated from Imperial ambition by the Irish Sea, have built strong tribal ties and a unique variation in Celtic culture. Now that the Western Roman Empire is ailing, there is opportunity for the Celtic tribes to unite, put their strength and determination to the test and seize the British Isles. The Celts existed long before the Romans came, and will exist long after they have left!	true
faction_groups_description_localised_att_fact_group_italia	PLACEHOLDER	true
faction_groups_description_localised_att_fact_group_germania	Hailing from the far north, the Nordic tribes are bold people who revel in battle, pillage and destruction. Their homelands are fertile, yet unforgivingly harsh; forty days during winter no sun moves across them, and for forty days of summer it circles the horizon without setting. Nordic men are said to be amongst the tallest in the world, both in body and spirit, and to fight with the cruelty and ferocity of wild beasts.	true
faction_groups_description_localised_att_fact_group_arabia	A far cry from the civilised society of Constantinople, and just on the periphery of the Persian kings, are the proud and resolute desert kingdoms of Arabia and Africa. Tucked into the very corners of the known world, Aksum and Himyar feud constantly yet become staggeringly wealthy from the Silk Road trade that passes through their lands. Further north, on the edge of the Sassanid Empire, the Lakhmids live a defiantly Arabian existence at al-Hira, just a stone’s throw from Ctesiphon. The Tanukhids - a nomadic people - roam the Levant and, like their Lakhmid cousins, are fiercely independent and proud of their way of life. The two world superpowers - Rome and Persia - watch with interest, and treat when necessary, but the desert kingdoms answer to no one. Shifting and beguiling like the very sands of the desert, they will do what they must to secure the future of their people.	true
faction_groups_description_localised_att_fact_group_barbarian_m	Though many factors influence the great migrations currently occurring across Europe, chief amongst them is the Hunnic incursions from the steppes. Whether seeking the riches of established empires or fleeing the nomadic invaders, hundreds of thousands of people have been uprooted and now seek new lands and new lives away from the Roman Empire's borderlands. Weaker tribes will be trampled into extinction, but the strong will thrive in foreign lands, laying the foundations of kingdoms and cultures that will last millennia.  	true
faction_groups_name_localised_att_fact_group_iberiamoors	Hispania et Africa	true
faction_groups_description_localised_att_fact_group_sand	A far cry from the civilised society of Constantinople, and just on the periphery of the Persian kings, are the proud and resolute desert kingdoms of Arabia and Africa. Tucked into the very corners of the known world, Aksum and Himyar feud constantly yet become staggeringly wealthy from the Silk Road trade that passes through their lands. Further north, on the edge of the Sassanid Empire, the Lakhmids live a defiantly Arabian existence at al-Hira, just a stone’s throw from Ctesiphon. The Tanukhids - a nomadic people - roam the Levant and, like their Lakhmid cousins, are fiercely independent and proud of their way of life. The two world superpowers - Rome and Persia - watch with interest, and treat when necessary, but the desert kingdoms answer to no one. Shifting and beguiling like the very sands of the desert, they will do what they must to secure the future of their people.	true
faction_groups_description_localised_att_fact_group_roman	At its greatest extent, the Roman Empire stretched from Mesopotamia to the coasts of the Atlantic. However, now it is divided, and the East and West Roman Empires are mere shadows of their former - united - glory, as internal disputes, usurpers and would-be invaders on all sides threaten to tear them apart completely. Roman ambition however, should never be underestimated. The very same ambition that shaped the Eternal City’s birth and rise to domination is now the only thing standing between it and annihilation.   	true
faction_groups_name_localised_att_fact_group_sand	Sinus Arabicus	true
faction_groups_description_localised_att_fact_group_slavs	PLACEHOLDER	true
faction_groups_description_localised_att_fact_group_celts	On the fringes of civilisation, at the very edge of Roman Britannia, the Celtic peoples live and fight in defence of their ancient way of life. The Picts and Caledonians, occupying the northernmost extremities of Britannia, have clashed with the Roman Empire, frustrating their attempts to annex the entire island. The Ebdanians, meanwhile, separated from Imperial ambition by the Irish Sea, have built strong tribal ties and a unique variation in Celtic culture. Now that the Western Roman Empire is ailing, there is opportunity for the Celtic tribes to unite, put their strength and determination to the test and seize the British Isles. The Celts existed long before the Romans came, and will exist long after they have left!	true
faction_groups_description_localised_att_fact_group_norse	Hailing from the far north, the Nordic tribes are bold people who revel in battle, pillage and destruction. Their homelands are fertile, yet unforgivingly harsh; forty days during winter no sun moves across them, and for forty days of summer it circles the horizon without setting. Nordic men are said to be amongst the tallest in the world, both in body and spirit, and to fight with the cruelty and ferocity of wild beasts.	true
faction_groups_name_localised_att_fact_group_barbarian	Haemus et Carpathia	true
faction_groups_name_localised_att_fact_group_barbarian_m	Terra Sancta et Asia	true
