key	text	tooltip
#Loc;1;text/db/ministerial_positions_strings.loc		
ministerial_positions_strings_on_screen_att_minister_string_barbarian_1_retainer	Tysyatski	true
ministerial_positions_strings_on_screen_att_minister_string_eastern_2_master_supplies	Muhtasib	true
ministerial_positions_strings_on_screen_att_minister_string_sands_negus_negast_aksum	Negus Negast	true
ministerial_positions_strings_on_screen_att_minister_string_eastern_3_master_infantry	Mustaufi	true
ministerial_positions_strings_on_screen_cha_minister_royal_companion	Royal Companion	true
ministerial_positions_strings_on_screen_att_minister_string_barbarian_3_judge	Tiun	true
ministerial_positions_strings_on_screen_cha_minister_royal_protector	Royal Protector	true
ministerial_positions_strings_on_screen_att_minister_string_nomadic_great_kan	Khan	true
ministerial_positions_strings_on_screen_cha_minister_marshal_court	Marshal of the Court	true
ministerial_positions_strings_on_screen_mk_minister_byz_4_logothetes	Logothetes	true
ministerial_positions_strings_on_screen_cha_minister_courtier	Courtier	true
ministerial_positions_strings_on_screen_cha_minister_retainer	Retainer	true
ministerial_positions_strings_on_screen_att_minister_string_barbarian_2_noble	Posadnik	true
ministerial_positions_strings_on_screen_att_minister_string_barbarian_6_high_judge	Voevoda	true
ministerial_positions_strings_on_screen_att_minister_string_sands_lord_of_jews_himyar	Lord of the Jews	true
ministerial_positions_strings_on_screen_cha_minister_noble	Noble	true
ministerial_positions_strings_on_screen_cha_minister_missi_dominici	Missi Dominici	true
ministerial_positions_strings_on_screen_att_minister_string_nomadic_5_venerable_elder	Cherbi	true
ministerial_positions_strings_on_screen_att_minister_string_nomadic_2_grand_despoiler	Darughachi	true
ministerial_positions_strings_on_screen_cha_minister_comes	Comes	true
ministerial_positions_strings_on_screen_cha_minister_vizier	Vizier	true
ministerial_positions_strings_on_screen_att_minister_string_roman_supreme_commander	Chancellor	true
ministerial_positions_strings_on_screen_placeholder	[Placeholder]	true
ministerial_positions_strings_on_screen_att_minister_string_roman_master_foot	Baron of the Exchequer	true
ministerial_positions_strings_on_screen_att_minister_string_nomadic_4_noble_companion	Bey	true
ministerial_positions_strings_on_screen_bel_minister_string_generic	Leader	true
ministerial_positions_strings_on_screen_cha_minister_marshal	Marshal	true
ministerial_positions_strings_on_screen_mk_minister_byz_3_protostrator	Protostrator	true
ministerial_positions_strings_on_screen_cha_leader_duke	Duke	true
ministerial_positions_strings_on_screen_cha_leader_emir	Emir	true
ministerial_positions_strings_on_screen_att_minister_string_sands_king_or_arabs	King of All Arabs	true
ministerial_positions_strings_on_screen_att_minister_string_barbarian_4_tribal_chief	Namestnik	true
ministerial_positions_strings_on_screen_cha_minister_earldoman	Earldorman	true
ministerial_positions_strings_on_screen_cha_leader_king	King	true
ministerial_positions_strings_on_screen_att_minister_string_roman_master_soldiers	Castellan	true
ministerial_positions_strings_on_screen_cha_leader_wali	Wali	true
ministerial_positions_strings_on_screen_att_minister_string_eastern_5_master_guard	Arid al-Jaysh	true
ministerial_positions_strings_on_screen_att_minister_string_eastern_4_master_horse	Amir	true
ministerial_positions_strings_on_screen_att_minister_string_roman_emperor	King	true
ministerial_positions_strings_on_screen_att_minister_string_eastern_6_supreme_commander	Wazir	true
ministerial_positions_strings_on_screen_cha_minister_magistrate	Magistrate	true
ministerial_positions_strings_on_screen_cha_minister_seneschal	Seneschal	true
ministerial_positions_strings_on_screen_mk_minister_byz_6_megas_domestikos	Megas Domestikos	true
ministerial_positions_strings_on_screen_cha_minister_chief_justice_court	Chief Justice of the Highest Court	true
ministerial_positions_strings_on_screen_mk_minister_byz_2_kephale	Kephale	true
ministerial_positions_strings_on_screen_cha_minister_master_court	Master of the Court	true
ministerial_positions_strings_on_screen_cha_minister_master_horse	Master of the Horses	true
ministerial_positions_strings_on_screen_cha_minister_chamberlain	Chamberlain	true
ministerial_positions_strings_on_screen_cha_leader_pope	Pope	true
ministerial_positions_strings_on_screen_cha_minister_gastald_lom	Gastald	true
ministerial_positions_strings_on_screen_att_minister_string_nomadic_1_dread_rider	Bagatur	true
ministerial_positions_strings_on_screen_att_minister_string_eastern_king_of_kings	Sultan	true
ministerial_positions_strings_on_screen_att_minister_string_roman_master_offices	Constable	true
ministerial_positions_strings_on_screen_mk_minister_string_roman_emperor	Basileus	true
ministerial_positions_strings_on_screen_cha_minister_count_palace	Count of the Palace	true
ministerial_positions_strings_on_screen_att_minister_string_roman_master_horse	Marshal	true
ministerial_positions_strings_on_screen_att_minister_string_barbarian_high_king	Velikiy Knyaz	true
ministerial_positions_strings_on_screen_cha_leader_kagan	Kagan	true
ministerial_positions_strings_on_screen_mk_minister_byz_1_megas_stratopedarches	Megas Stratopedarches	true
ministerial_positions_strings_on_screen_att_minister_string_roman_commander_chief	Protovestiarios	true
ministerial_positions_strings_on_screen_att_minister_string_nomadic_6_kan	Chingsang	true
ministerial_positions_strings_on_screen_cha_minister_marshal_army	Marshal of the Army	true
ministerial_positions_strings_on_screen_cha_leader_dux	Dux	true
ministerial_positions_strings_on_screen_att_minister_string_eastern_1_castellan	Qadi	true
ministerial_positions_strings_on_screen_att_minister_string_roman_military_count	Provost	true
ministerial_positions_strings_on_screen_att_minister_string_barbarian_5_warlord	Dvorskii	true
ministerial_positions_strings_on_screen_att_minister_string_nomadic_3_glorious_subjugator	Tarqan	true
