key	text	tooltip
#Loc;1;text/db/mission_text.loc		
mission_text_text_bel_objective_expedition_3_main_heading	Chapter III: An Empire Ascends	true
mission_text_text_mis_activity_blockade_port	Blockade the following port settlement: 	true
mission_text_text_payload_treasury	Treasury: 	true
mission_text_text_mis_event_issuer_europeans	Issuing faction: 	true
mission_text_text_mis_activity_research_n_civil_techs	Research %n civil technologies.	true
mission_text_text_att_objective_culture_nomadic_1_1_heading	Horse Lords	true
mission_text_text_att_objective_culture_nomadic_2_1_heading	Nomad Kingdoms	true
mission_text_text_att_objective_culture_nomadic_3_1_heading	Subjugation of the Weak	true
mission_text_text_att_objective_culture_nomadic_4_1_heading	Nomad Kingdoms	true
mission_text_text_att_objective_culture_nomadic_5_1_heading	Subjugation of the Weak	true
mission_text_text_att_objective_culture_nomadic_1_2_heading	Subjugation of the Weak	true
mission_text_text_att_objective_culture_nomadic_2_2_heading	The Way of the Bow	true
mission_text_text_att_objective_culture_nomadic_3_2_heading	Horse Lords	true
mission_text_text_att_objective_culture_nomadic_4_2_heading	The Way of the Bow	true
mission_text_text_att_objective_culture_nomadic_5_2_heading	Horse Lords	true
mission_text_text_att_objective_culture_nomadic_1_3_heading	Auxiliary Power	true
mission_text_text_att_objective_culture_nomadic_2_3_heading	My Horde Burns	true
mission_text_text_objective_sands_4_main_heading	Rise from the Sands	true
mission_text_text_mis_activity_control_n_provinces_client_1_of_many	Maintain control of at least one of the following provinces, either by direct ownership or through tributary states and military allies: 	true
mission_text_text_mis_outcome_fail	Mission Failed!	true
mission_text_text_mis_building_in_provinces	Construct in the following provinces the building chain type:	true
mission_text_text_bel_objective_expedition_2_main_heading	Chapter II: The Stolen Throne	true
mission_text_text_mis_activity_sabotage_force_invade	Use an agent against the following invading army: 	true
mission_text_text_objective_sands_5_main_heading	Fit for an Empire	true
mission_text_text_mis_activity_control_n_ports_nooption_including_n	Control the following %n port settlements either by direct ownership or through military allies: 	true
mission_text_text_bel_objective_expedition_1_main_heading	Chapter I: A Man to Reclaim	true
mission_text_text_mis_construct_n_buildings	Construct %n buildings: 	true
mission_text_text_mis_activity_have_n_confederated_factions	Have %n factions join your confederation.	true
mission_text_text_cha_objective_faction_cha_avars_1_1_heading	[[col:dark_r]]Military: [[/col]]Ptuj Them in Their Place	true
mission_text_text_cha_objective_faction_cha_avars_2_1_heading	[[col:dark_r]]Military: [[/col]]Bavarian Rhapsody	true
mission_text_text_cha_objective_faction_cha_avars_3_1_heading	[[col:dark_r]]Military: [[/col]]La Boheme	true
mission_text_text_cha_objective_faction_cha_avars_4_1_heading	[[col:dark_r]]Military: [[/col]]One Ring to Rule	true
mission_text_text_cha_objective_faction_cha_avars_5_1_heading	[[col:dark_r]]Military: [[/col]]Vulgar Bulgars	true
mission_text_text_cha_objective_faction_cha_avars_1_2_heading	[[col:dark_r]]Military: [[/col]]Back in the Saddle	true
mission_text_text_cha_objective_faction_cha_avars_2_2_heading	[[col:dark_r]]Military: [[/col]]Back in the Saddle	true
mission_text_text_cha_objective_faction_cha_avars_3_2_heading	[[col:dark_r]]Military: [[/col]]Back in the Saddle	true
mission_text_text_cha_objective_faction_cha_avars_4_2_heading	[[col:dark_r]]Military: [[/col]]Back in the Saddle	true
mission_text_text_cha_objective_faction_cha_avars_5_2_heading	[[col:dark_r]]Military: [[/col]]Back in the Saddle	true
mission_text_text_cha_objective_faction_cha_avars_1_3_heading	[[col:yellow]]Religious: [[/col]]Tengri in the Bed	true
mission_text_text_cha_objective_faction_cha_avars_2_3_heading	[[col:yellow]]Religious: [[/col]]Tengri in the Bed	true
mission_text_text_cha_objective_faction_cha_avars_3_3_heading	[[col:yellow]]Religious: [[/col]]Tengri in the Bed	true
mission_text_text_cha_objective_faction_cha_avars_4_3_heading	[[col:yellow]]Religious: [[/col]]Tengri in the Bed	true
mission_text_text_cha_objective_faction_cha_avars_5_3_heading	[[col:yellow]]Religious: [[/col]]Tengri in the Bed	true
mission_text_text_cha_objective_faction_cha_avars_1_4_heading	[[col:yellow]]Religious: [[/col]]Something to Orkhon	true
mission_text_text_cha_objective_faction_cha_avars_2_4_heading	[[col:yellow]]Religious: [[/col]]Something to Orkhon	true
mission_text_text_cha_objective_faction_cha_avars_3_4_heading	[[col:yellow]]Religious: [[/col]]Something to Orkhon	true
mission_text_text_cha_objective_faction_cha_avars_4_4_heading	[[col:yellow]]Religious: [[/col]]Something to Orkhon	true
mission_text_text_cha_objective_faction_cha_avars_5_4_heading	[[col:yellow]]Religious: [[/col]]Something to Orkhon	true
mission_text_text_cha_objective_faction_cha_avars_1_5_heading	[[col:blue]]Civic: [[/col]]Grave Secrets	true
mission_text_text_cha_objective_faction_cha_avars_2_5_heading	[[col:blue]]Civic: [[/col]]Grave Secrets	true
mission_text_text_cha_objective_faction_cha_avars_3_5_heading	[[col:blue]]Civic: [[/col]]Grave Secrets	true
mission_text_text_cha_objective_faction_cha_avars_4_5_heading	[[col:blue]]Civic: [[/col]]Grave Secrets	true
mission_text_text_cha_objective_faction_cha_avars_5_5_heading	[[col:blue]]Civic: [[/col]]Grave Secrets	true
