key	text	tooltip
#Loc;1;text/db/naval_units.loc		
naval_units_onscreen_name_cha_castle_dromon	Placeholder Castle Dromon	true
naval_units_onscreen_name_att_lib_heavy_mis_sco_wr	Placeholder Liburnian Ballista Marauder	true
naval_units_onscreen_name_att_lib_heavy_mel_ft_ger	Placeholder Towered Liburnian Warship	true
naval_units_onscreen_name_cha_kuyl	Placeholder Kuyl	true
naval_units_onscreen_name_att_dro_light_mel_fs_nor	Placeholder Greek Fire Dromonarion	true
naval_units_onscreen_name_mk_oar_dromon_small_t1_naft_mus	Harraqa Shini	true
naval_units_onscreen_name_mk_sail_dhow_large_t3_gun	Gun Sambuq	true
naval_units_onscreen_name_cha_coracle	Placeholder Coracle	true
naval_units_onscreen_name_cha_long_fhada_mis	Placeholder Long Fhada	true
naval_units_onscreen_name_att_dro_light_mel_fs_eas	Placeholder Greek Fire Dromonarion	true
naval_units_onscreen_name_mk_oar_longship_large_t1	Drekkar	true
naval_units_onscreen_name_att_dro_heavy_mel_fs_eas	Placeholder Greek Fire Dromon	true
naval_units_onscreen_name_att_dro_heavy_mel_ft_eas	Placeholder Castled Dromon Warship	true
naval_units_onscreen_name_mk_sail_dhow_large_t2_tra	Transport Baghlah	true
naval_units_onscreen_name_mk_sail_dhow_large_t1_tra	Transport Baghlah	true
naval_units_onscreen_name_mk_sail_dhow_large_t2_art	Artillery Baghlah	true
naval_units_onscreen_name_mk_sail_dhow_large_t3_art	Bombardment Baghlah	true
naval_units_onscreen_name_mk_sail_dhow_large_t1_art	Artillery Baghlah	true
naval_units_onscreen_name_att_dro_light_mel_fs_cel	Placeholder Fire Ship	true
naval_units_onscreen_name_att_dro_light_mel_fs_ger	Placeholder Greek Fire Dromonarion	true
naval_units_onscreen_name_mk_sail_nave_small_t1_tra	Light Transport Nave	true
naval_units_onscreen_name_mk_sail_nave_small_t1_art	Light Artillery Nave	true
naval_units_onscreen_name_cha_dromonian_galley_mis	Placeholder Dromonian Galley	true
naval_units_onscreen_name_cha_longship_mis	Placeholder Longship	true
naval_units_onscreen_name_cha_kondura	Placeholder Kondura	true
naval_units_onscreen_name_cha_dromont	Placeholder Dromont	true
naval_units_onscreen_name_cha_sae_wylfing_mis	Placeholder Sae Wylfing	true
naval_units_onscreen_name_mk_sail_dhow_large_t1_med	Markab	true
naval_units_onscreen_name_cha_longboat_mis	Placeholder Longboat	true
naval_units_onscreen_name_att_dro_light_mis_sco_er	Placeholder Dromonarion Ballista Skirmisher	true
naval_units_onscreen_name_mk_sail_dhow_small_t3_gun	Gun Jalbut	true
naval_units_onscreen_name_mk_sail_nave_large_t1_tra	Transport Nave	true
naval_units_onscreen_name_mk_sail_nave_large_t1_art	Artillery Nave	true
naval_units_onscreen_name_mk_sail_dhow_small_t1_tra	Transport Dhow	true
naval_units_onscreen_name_mk_oar_dromon_large_t1_siphon_byz	Siphon Chelandion	true
naval_units_onscreen_name_mk_oar_longship_small_t3	Jekte Langskips	true
naval_units_onscreen_name_mk_oar_longship_small_t1	Skeid	true
naval_units_onscreen_name_cha_currach	Placeholder Currach	true
naval_units_onscreen_name_att_lib_light_spike_ram_eas	Assault Liburnian	true
naval_units_onscreen_name_att_dro_light_mis_sco_van	Placeholder Dromonarion Ballista Skirmisher	true
naval_units_onscreen_name_mk_oar_ballinger_small_t1	Ballinger	true
naval_units_onscreen_name_mk_oar_galea_small_t2_byz	Galeai	true
naval_units_onscreen_name_att_lib_light_spike_ram_cel	Assault Currach	true
naval_units_onscreen_name_mk_sail_caravel_small_t3	Caravela	true
naval_units_onscreen_name_att_lib_light_spike_ram_ger	Assault Liburnian	true
naval_units_onscreen_name_cha_castle_dromont	Placeholder Castle Dromont	true
naval_units_onscreen_name_att_dro_heavy_dbl_art_eas	Placeholder Battery Dromon 	true
naval_units_onscreen_name_att_cor_light_rom	Placeholder Corbita Minor	true
naval_units_onscreen_name_mk_oar_dromon_small_t1_mus	Light Shini	true
naval_units_onscreen_name_att_lib_heavy_mel_ft_alan	Placeholder Towered Liburnian Warship	true
naval_units_onscreen_name_mk_oar_dromon_small_t1_ita	Galea Leggera	true
naval_units_onscreen_name_cha_sagena	Placeholder Sagena	true
naval_units_onscreen_name_att_lib_heavy_dbl_art_rom	Placeholder Barrage Liburnian	true
naval_units_onscreen_name_mk_oar_galea_small_t2_mus	Shabbak	true
naval_units_onscreen_name_mk_oar_galea_small_t2_ita	Galea Leggera	true
naval_units_onscreen_name_mk_oar_galea_small_t2_naft_mus	Harraqa Shini	true
naval_units_onscreen_name_mk_sail_cog_small_t3_gun	Gun Cog	true
naval_units_onscreen_name_mk_oar_dromon_small_t1_byz	Dromonarion	true
naval_units_onscreen_name_mk_sail_cog_small_t1_art	Artillery Cog	true
naval_units_onscreen_name_mk_sail_cog_small_t1_tra	Transport Cog	true
naval_units_onscreen_name_att_lib_light_spike_ram_wr	Assault Liburnian	true
naval_units_onscreen_name_mk_oar_galea_large_t2_cat	Galera	true
naval_units_onscreen_name_mk_oar_galea_large_t1_cat	Galera	true
naval_units_onscreen_name_att_lib_light_spike_ram_nor	Assault Liburnian	true
naval_units_onscreen_name_mk_sail_carrack_large_t3	Carrack	true
naval_units_onscreen_name_mk_oar_dromon_large_t1_tra	Tarrida Transport	true
naval_units_onscreen_name_mk_sail_fireship	Fireship	true
naval_units_onscreen_name_mk_oar_dromon_large_t1_mus	Shini	true
naval_units_onscreen_name_att_lib_light_dbl_art_rom	Placeholder Battery Liburnian	true
naval_units_onscreen_name_mk_oar_galea_large_t2_byz	Katergon	true
naval_units_onscreen_name_att_cor_heavy_rom	Placeholder Corbita Major	true
naval_units_onscreen_name_att_dro_heavy_mis_sco_ger	Placeholder Dromon Ballista Marauder	true
naval_units_onscreen_name_mk_oar_dromon_large_t1_byz	Chelandion	true
naval_units_onscreen_name_att_lib_light_dbl_art_slav	Placeholder Battery Kondura	true
naval_units_onscreen_name_att_lib_light_dbl_art_alan	Placeholder Battery Liburnian	true
naval_units_onscreen_name_mk_oar_galea_large_t2_ita	Galea Sottil	true
naval_units_onscreen_name_mk_oar_galea_large_t1_ita	Galea Sottil	true
naval_units_onscreen_name_mk_sail_roundship_large_t1	Roundship	true
naval_units_onscreen_name_mk_sail_cog_large_t3_gun	Gun Large Cog	true
naval_units_onscreen_name_mk_oar_galea_large_t3_gun	Gun Galley	true
naval_units_onscreen_name_mk_oar_galea_large_t2_mus	Shini	true
naval_units_onscreen_name_mk_oar_galea_large_t2_tur	Kadirga	true
naval_units_onscreen_name_att_lib_light_dbl_art_cel	Placeholder Battery Currach	true
naval_units_onscreen_name_att_lib_light_dbl_art_ger	Placeholder Battery Liburnian	true
naval_units_onscreen_name_att_dro_heavy_mis_sco_eas	Placeholder Dromon Ballista Marauder	true
naval_units_onscreen_name_mk_oar_galea_large_t3_art	Cannon Galley	true
naval_units_onscreen_name_mk_oar_galea_large_t2_art	Artillery Galley	true
naval_units_onscreen_name_mk_oar_galea_large_t1_art	Artillery Galley	true
naval_units_onscreen_name_mk_sail_cog_large_t3_art	Bombardment Large Cog	true
naval_units_onscreen_name_mk_sail_cog_large_t2_art	Artillery Large Cog	true
naval_units_onscreen_name_mk_sail_cog_large_t2_tra	Transport Hulk	true
naval_units_onscreen_name_cha_dromon	Placeholder Dromon	true
naval_units_onscreen_name_att_dro_light_mel_fs_alan	Placeholder Greek Fire Dromonarion	true
naval_units_onscreen_name_att_dro_heavy_mis_sco_alan	Placeholder Dromon Ballista Marauder	true
naval_units_onscreen_name_att_lon_heavy_tra_ger	Knarr Transport	true
naval_units_onscreen_name_att_dro_light_mis_dbl_sco_van	Placeholder Dromonarion Double Ballista Skirmisher	true
naval_units_onscreen_name_att_lon_heavy_tra_cel	Heavy Transport Boat	true
naval_units_onscreen_name_att_dro_light_mis_eas	Placeholder Dromonarion Skirmisher	true
naval_units_onscreen_name_cha_saegna_mis	Placeholder Sagena	true
naval_units_onscreen_name_mk_oar_galea_large_t3_gun_byz	Gun Katergon	true
naval_units_onscreen_name_mk_sail_carrack_large_t3_tra	Transport Carrack	true
naval_units_onscreen_name_att_lon_light_mel_nor	Placeholder Snekkja Longship	true
naval_units_onscreen_name_att_lib_light_mel_rom	Placeholder Liburnian Galley	true
naval_units_onscreen_name_att_lon_light_tra_alan	Placeholder Byrding Transport	true
naval_units_onscreen_name_att_lib_heavy_art_van	Placeholder Bombard Liburnian	true
naval_units_onscreen_name_att_dro_heavy_art_eas	Placeholder Artillery Dromon 	true
naval_units_onscreen_name_mk_oar_galea_large_t3_art_byz	Cannon Katergon	true
naval_units_onscreen_name_mk_oar_galea_large_t2_art_byz	Artillery Katergon	true
naval_units_onscreen_name_att_lon_light_mis_cel	Placeholder Coracle	true
naval_units_onscreen_name_att_dro_light_mis_ger	Placeholder Dromonarion Skirmisher	true
naval_units_onscreen_name_att_lon_light_mis_ger	Placeholder Skeid Longship	true
naval_units_onscreen_name_mk_oar_dromon_large_t1_tra_ita	Usciere Transport	true
naval_units_onscreen_name_mk_oar_dromon_large_t1_art_eur	Artillery Dromond	true
naval_units_onscreen_name_mk_oar_dromon_large_t1_art_mus	Artillery Shini	true
naval_units_onscreen_name_mk_sail_mtepe_small_t1	Mtepe	true
naval_units_onscreen_name_att_lib_light_ram_nor	Strike Liburnian	true
naval_units_onscreen_name_att_lon_heavy_mel_alan	Placeholder Drekkar Dragonship	true
naval_units_onscreen_name_mk_sail_roundship_large_t1_tra	Transport Roundship	true
naval_units_onscreen_name_mk_sail_roundship_large_t1_art	Artillery Roundship	true
naval_units_onscreen_name_mk_oar_galea_large_t2_art_ita	Artillery Galea	true
naval_units_onscreen_name_mk_oar_galea_large_t3_art_ita	Cannon Galea	true
naval_units_onscreen_name_mk_oar_galea_large_t1_art_ita	Artillery Galea	true
naval_units_onscreen_name_mk_oar_galea_large_t2_art_mus	Artillery Shini	true
naval_units_onscreen_name_mk_oar_galea_large_t3_art_tur	Cannon Kadirga	true
naval_units_onscreen_name_mk_oar_galea_large_t2_art_tur	Artillery Kadirga	true
naval_units_onscreen_name_mk_oar_galea_large_t3_art_mus	Cannon Shini	true
naval_units_onscreen_name_att_lib_light_ram_eas	Strike Liburnian	true
naval_units_onscreen_name_att_lon_light_mel_ger	Placeholder Snekkja Longship	true
naval_units_onscreen_name_att_lon_light_mel_cel	Placeholder Irish Galley	true
naval_units_onscreen_name_att_lon_heavy_tra_nor	Placeholder Knarr Transport	true
naval_units_onscreen_name_att_lib_heavy_art_rom	Placeholder Bombard Liburnian	true
naval_units_onscreen_name_att_lon_heavy_tra_alan	Knarr Transport	true
naval_units_onscreen_name_mk_oar_dromon_large_t1_art_byz	Artillery Chelandion	true
naval_units_onscreen_name_mk_oar_dromon_large_t1_tra_byz	Hippagogos Transport	true
naval_units_onscreen_name_att_lib_light_mel_eas	Placeholder Liburnian Galley	true
naval_units_onscreen_name_att_lib_light_ram_ger	Strike Liburnian	true
naval_units_onscreen_name_att_dro_light_mel_eas	Placeholder Dromonarion Galley	true
naval_units_onscreen_name_att_lib_light_ram_cel	Strike Currach	true
naval_units_onscreen_name_mk_oar_galea_large_t2	Galley	true
naval_units_onscreen_name_mk_oar_galea_large_t1	Galley	true
naval_units_onscreen_name_mk_oar_galea_large_t3_gun_tur	Gun Kadirga	true
naval_units_onscreen_name_mk_oar_galea_large_t3_gun_mus	Gun Shini	true
naval_units_onscreen_name_att_lon_light_tra_hun	Placeholder Corbita Minor	true
naval_units_onscreen_name_att_lon_light_mel_alan	Placeholder Snekkja Longship	true
naval_units_onscreen_name_att_lon_light_mel_slav	Placeholder Sagena	true
naval_units_onscreen_name_mk_sail_cog_large_t2	Large Cog	true
naval_units_onscreen_name_mk_oar_galea_large_t3_gun_ita	Gun Galea Sottil	true
naval_units_onscreen_name_att_lib_light_mis_rom	Placeholder Liburnian Skirmisher	true
naval_units_onscreen_name_att_lon_light_mis_nor	Placeholder Skeid Longship	true
naval_units_onscreen_name_att_lib_light_ram_alan	Strike Liburnian	true
naval_units_onscreen_name_att_lib_light_ram_slav	Strike Kondura	true
naval_units_onscreen_name_att_lon_heavy_tra_hun	Placeholder Corbita Major	true
naval_units_onscreen_name_att_lon_light_mis_alan	Placeholder Skeid Longship	true
naval_units_onscreen_name_att_lon_light_mis_slav	Placeholder Sagena	true
naval_units_onscreen_name_mk_oar_dromon_small_t1	Light Galley	true
naval_units_onscreen_name_att_dro_heavy_mel_eas	Placeholder Dromon Warship	true
naval_units_onscreen_name_att_lib_light_art_rom	Placeholder Artillery Liburnian	true
naval_units_onscreen_name_att_lon_light_tra_nor	Placeholder Byrding Transport	true
naval_units_onscreen_name_att_lib_light_art_nor	Placeholder Artillery Liburnian	true
naval_units_onscreen_name_att_lib_light_art_alan	Placeholder Artillery Liburnian	true
naval_units_onscreen_name_att_lib_light_art_slav	Placeholder Artillery Kondura	true
naval_units_onscreen_name_att_lon_heavy_mel_ger	Placeholder Drekkar Dragonship	true
naval_units_onscreen_name_att_lon_heavy_mel_cel	Placeholder Long Fhada	true
naval_units_onscreen_name_cha_dragonship	Placeholder Dragonship	true
naval_units_onscreen_name_cha_dromon_mis	Placeholder Dromon	true
naval_units_onscreen_name_att_lib_heavy_mis_alan	Placeholder Liburnian Marauder	true
