key	text	tooltip
#Loc;1;text/db/old_fertility_levels.loc		
fertility_levels_localised_name_main_attila4	Good	true
fertility_levels_localised_name_main_attila5	Bountiful	true
fertility_levels_localised_name_main_attila6	Rich	true
fertility_levels_localised_name_main_attila0	Infertile	true
fertility_levels_localised_name_main_attila1	Meagre	true
fertility_levels_localised_name_main_attila2	Poor	true
fertility_levels_localised_name_main_attila3	Average	true
fertility_levels_localised_name_pro_attila5	Rich	true
fertility_levels_localised_name_pro_attila4	Good	true
fertility_levels_localised_name_pro_attila1	Meagre	true
fertility_levels_localised_name_pro_attila0	Infertile	true
fertility_levels_localised_name_pro_attila3	Average	true
fertility_levels_localised_name_pro_attila2	Poor	true
fertility_levels_localised_name_cha_attila9	Plentiful	true
fertility_levels_localised_name_cha_attila8	Bountiful	true
fertility_levels_localised_name_cha_attila3	Very Poor	true
fertility_levels_localised_name_cha_attila2	Meagre	true
fertility_levels_localised_name_cha_attila1	Infertile	true
fertility_levels_localised_name_cha_attila0	Barren	true
fertility_levels_localised_name_cha_attila7	Very Good	true
fertility_levels_localised_name_cha_attila6	Good	true
fertility_levels_localised_name_cha_attila5	Average	true
fertility_levels_localised_name_cha_attila4	Poor	true
fertility_levels_localised_name_bel_attila6	Good	true
fertility_levels_localised_name_bel_attila7	Very Good	true
fertility_levels_localised_name_bel_attila4	Poor	true
fertility_levels_localised_name_bel_attila5	Average	true
fertility_levels_localised_name_bel_attila2	Meagre	true
fertility_levels_localised_name_bel_attila3	Very Poor	true
fertility_levels_localised_name_bel_attila0	Barren	true
fertility_levels_localised_name_bel_attila1	Infertile	true
fertility_levels_localised_name_bel_attila8	Bountiful	true
fertility_levels_localised_name_bel_attila9	Plentiful	true
fertility_levels_localised_name_cha_attila10	Rich	true
fertility_levels_localised_name_bel_attila10	Rich	true
