key	text	tooltip
#Loc;1;text/db/quotes.loc		
quotes_quote_onscreen_4022	The empire has been conquered on horseback, but cannot be governed on horseback.	true
quotes_quote_onscreen_4422	A man can die but once.	true
quotes_quote_onscreen_4922	Proud over the rest, with splendid wealth arrayed, As crown to this wide empire, Europe's head, Fair Lusitania smiles, the western bound, Whose verdant breast the rolling waves surround.	true
quotes_quote_onscreen_4123	Surrender before you all die by the sword, for I do not wish you to perish.	true
quotes_quote_onscreen_4323	I do feel this: that it is better to be rash than timid, for Fortune is a woman, and the man who wants to hold her down must beat and bully her.	true
quotes_quote_onscreen_4823	You can judge for yourselves that when a man or a prince is strong and powerful, he can make peace as he wants to; but when he is weak, a stronger one will come and do what he wants to him.	true
quotes_quote_onscreen_4020	Aibak had merely visualized an outline of the Sultanate; Iltumish gave it an individuality and a status, a motive power and a direction, an administrative system and a governing class.	true
quotes_quote_onscreen_4520	Here's the smell of the blood still: all the perfumes of Arabia will not sweeten this little hand.	true
quotes_quote_onscreen_4820	The [Ottoman] Sultan goes hunting with more followers than there are soldiers in your army.	true
quotes_quote_onscreen_5020	When we are all dead, then everything will be yours.	true
quotes_quote_onscreen_4121	Whoever devotedly undertakes and performs this most holy journey...shall have the enjoyment of eternal reward from the repayer of all men.	true
quotes_quote_onscreen_4421	Go, bid the soldiers shoot.	true
quotes_quote_onscreen_4621	To surrender the City to you is beyond my authority or anyone else's who lives in it, for all of us, after taking the mutual decision, shall die out of free will without sparing our lives.	true
quotes_quote_onscreen_4326	I believe that it is possible for one to praise, without concern, any man after he is dead since every reason and supervision for adulation is lacking.	true
quotes_quote_onscreen_4426	Give me another horse: bind up my wounds.	true
quotes_quote_onscreen_4726	Do not look for new friends among those who are old enemies. 	true
quotes_quote_onscreen_5126	A latin knight could not be knocked down. Covered by a mail hauberk from head to foot... the most violent blows had no effect on him. But once his horse was killed, the knight was thrown and taken prisoner.	true
quotes_quote_onscreen_4227	The mad mob does not ask how it could be better, only that it be different. And when it then becomes worse, it must change again.	true
quotes_quote_onscreen_4627	God forbid that I should live an Emperor without an Empire. As my city falls, I will fall with it.	true
quotes_quote_onscreen_5027	European merchants supply the best weaponry, contributing to their own defeat.	true
quotes_quote_onscreen_4224	This error of free will is a special doctrine of the Antichrist.	true
quotes_quote_onscreen_5024	This thing involves the description of the greatest catastrophe [...] so that, should one say that the world, since God Almighty created Adam until now, has not been afflicted with the like thereof, he would but speak the truth.	true
quotes_quote_onscreen_4025	An action comitted in anger is an action doomed to failure.	true
quotes_quote_onscreen_4125	Kill them all, God will recognise his own.	true
quotes_quote_onscreen_5125	The Turks crept up, howling loudly and shooting a shower of arrows. Stunned and almost dead, and with many wounded, we immediately fled. And it was no wonder, for such warfare was new to us all.	true
quotes_quote_onscreen_4028	I am the punishment of God. Had you not committed great sins, God would not have sent a punishment like me upon you.	true
quotes_quote_onscreen_4528	What's done cannot be undone.	true
quotes_quote_onscreen_4628	Whoever wished to escape, let him save himself if he can; and whoever is ready to face death, let him follow me!	true
quotes_quote_onscreen_4928	O foul disgrace, of knighthood lasting stain, By men of arms a helpless lady slain!	true
quotes_quote_onscreen_4529	I have no words. My voice is in my sword. Thou bloodier villain Than terms can give thee out!	true
quotes_quote_onscreen_4629	We have only two things; firstly our faith to the invincible glory of God, and secondly our own hands and brawniness, that were give to us by Divine Power.	true
quotes_quote_onscreen_4829	How many lords have presided over you boyars? None of you have seen less than seven... the terrible state of this nation is your shameful work!	true
quotes_quote_onscreen_4929	A soft king makes a valiant people soft.	true
quotes_quote_onscreen_5129	The same year for our sins, unknown tribes came, whom no one exactly knows, who they are, nor whence they came out, nor what their language is, nor of what race they are, nor what their faith is.	true
quotes_quote_onscreen_4032	In the space of seven years I have succeeded in accomplishing a great work and uniting the whole world in one Empire.	true
quotes_quote_onscreen_4432	A horse! A horse! My kingdom for a horse!	true
quotes_quote_onscreen_4732	Whoever is a Serb and of Serb birth, And of Serb blood and heritage, And comes not to the Battle of Kosovo, May nothing grow that his hand sows, And let him be cursed from all ages to all ages!	true
quotes_quote_onscreen_4133	Our men spared no one, irrespective of rank, sex or age, and put to the sword almost 20,000 people. After this great slaughter the whole city was despoiled and burnt, as divine vengeance miraculously raged against it.	true
quotes_quote_onscreen_4330	Nature creates few men brave, industry and training makes many. Discipline in war counts more than fury.	true
quotes_quote_onscreen_4536	Two orders of mankind are the enemies of church and state; the king without clemency, and the holy man without learning.	true
