key	text	tooltip
#Loc;1;text/db/scripted_objectives.loc		
scripted_objectives_localised_text_Att.HB.Ravenna.Objective_01	Defend Ravenna from the siege.	true
scripted_objectives_localised_text_Att.HB.Huns.Objective_01	Defeat the Hunnic army.	true
scripted_objectives_localised_text_Att.HB.Vandals.Objective_01	Defeat the Vandal army.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_180	Open the Faction panel.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_181	Switch to the Summary tab.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_182	Start a migration.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_160	Select Apulum.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_161	Open the Recruit Agent panel to browse the available agents.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_162	Recruit a Scout.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_174	Close the Diplomacy panel.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_170	Enter the Diplomacy panel.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_171	Initiate diplomacy with the Western Roman Empire.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_172	Submit a request for a trade agreement.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_140	Accept or reject the Ostrogothic proposal.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_150	Open the Faction panel.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_120	Select a Visigothic army.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_121	Browse the available stances.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_130	Open the Strategic Overview map.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_100	Select your army.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_101	Open the Force Details panel.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_102	Spend your available skill points.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_110	Add Siege Equipment to the construction queue.	true
scripted_objectives_localised_text_Att.HB.RomanNavy.Objective_01	Defeat the Roman navy.	true
