key	text	tooltip
#Loc;1;text/db/special_ability_phases.loc		
special_ability_phases_onscreen_name_chant	Encourage	true
special_ability_phases_onscreen_name_att_form_wedge	Form Wedge	true
special_ability_phases_onscreen_name_beehive	Beehive	true
special_ability_phases_onscreen_name_com_fear	Fear	true
special_ability_phases_onscreen_name_frenzied_charge	Frenzy	true
special_ability_phases_onscreen_name_com_raise_banner	Raise Banner	true
special_ability_phases_onscreen_name_inspire	Inspire	true
special_ability_phases_onscreen_name_heavy_infantry_charge_1	Charge	true
special_ability_phases_onscreen_name_mk_focus_fire	Focus Fire	true
special_ability_phases_onscreen_name_att_form_diamond	Form Diamond	true
special_ability_phases_onscreen_name_att_gen_inspire_03	Inspire	true
special_ability_phases_onscreen_name_att_gen_inspire_02	Inspire	true
special_ability_phases_onscreen_name_att_gen_inspire_01	Inspire	true
special_ability_phases_onscreen_name_att_gen_inspire_05	Inspire	true
special_ability_phases_onscreen_name_att_gen_inspire_04	Inspire	true
special_ability_phases_onscreen_name_fire_projectiles	Fire Projectiles	true
special_ability_phases_onscreen_name_form_attacking_testudo	Shields Ready	true
special_ability_phases_onscreen_name_prevent_special_ability	Prevent Ability	true
special_ability_phases_onscreen_name_mk_oared_ship	Galley	true
special_ability_phases_onscreen_name_form_defensive_testudo	Shields Ready	true
special_ability_phases_onscreen_name_spec_far_shot	Far Shot	true
special_ability_phases_onscreen_name_raise_shields_1	Raise Shields	true
special_ability_phases_onscreen_name_form_spear_wall	Shields Ready	true
special_ability_phases_onscreen_name_com_push	Push	true
special_ability_phases_onscreen_name_screech	Scare	true
special_ability_phases_onscreen_name_com_second_wind	Second Wind	true
special_ability_phases_onscreen_name_rapid_advance_1	Rapid Advance	true
special_ability_phases_onscreen_name_mk_fatigue_4_excellent	Excellent Stamina	true
special_ability_phases_onscreen_name_slavic_attack	Slavic Wrath	true
special_ability_phases_onscreen_name_form_shield_wall	Shields Ready	true
special_ability_phases_onscreen_name_mk_sailing_ship	Sailing Ship	true
special_ability_phases_onscreen_name_slavs_form_square_end	Last Stand	true
special_ability_phases_onscreen_name_morale_v_high	Morale	true
special_ability_phases_onscreen_name_aquila_1	Aquila	true
special_ability_phases_onscreen_name_slav_poison_weapon_heavy	Heavy Poison	true
special_ability_phases_onscreen_name_MKTW_greek_fire	Greek Fire	true
special_ability_phases_onscreen_name_MKTW_quicklime	Quicklime	true
special_ability_phases_onscreen_name_stress_1	Stress	true
special_ability_phases_onscreen_name_stress_2	Stress	true
special_ability_phases_onscreen_name_replenish_ammo	Replenish Ammo	true
special_ability_phases_onscreen_name_precision_shot_1	Precision Shot	true
special_ability_phases_onscreen_name_att_gen_presence_04	Presence	true
special_ability_phases_onscreen_name_att_gen_presence_05	Presence	true
special_ability_phases_onscreen_name_att_gen_presence_02	Presence	true
special_ability_phases_onscreen_name_att_gen_presence_03	Presence	true
special_ability_phases_onscreen_name_att_gen_presence_01	Presence	true
special_ability_phases_onscreen_name_MKTW_gun	Gun	true
special_ability_phases_onscreen_name_normal_charge_1	Charge	true
special_ability_phases_onscreen_name_replenish_ammo_01	Replenish Ammo	true
special_ability_phases_onscreen_name_Make_it_Count_1	Make it count	true
special_ability_phases_onscreen_name_frenzy_2	Frenzy	true
special_ability_phases_onscreen_name_frenzy_1	Frenzy	true
special_ability_phases_onscreen_name_mk_fatigue_3_good	Good Stamina	true
special_ability_phases_onscreen_name_quick_march_2	Quick March	true
special_ability_phases_onscreen_name_quick_march_1	Quick March	true
special_ability_phases_onscreen_name_att_gen_second_01	Second Wind	true
special_ability_phases_onscreen_name_att_gen_second_03	Second Wind	true
special_ability_phases_onscreen_name_att_gen_second_02	Second Wind	true
special_ability_phases_onscreen_name_att_gen_second_05	Second Wind	true
special_ability_phases_onscreen_name_att_gen_second_04	Second Wind	true
special_ability_phases_onscreen_name_mk_fatigue_1_poor	Poor Stamina	true
special_ability_phases_onscreen_name_com_relentless	Relentless	true
special_ability_phases_onscreen_name_com_force_concentration	Force Concentration	true
special_ability_phases_onscreen_name_conveterani_1	Conveterani	true
special_ability_phases_onscreen_name_cavalry_charge_1	Cavalry Charge	true
special_ability_phases_onscreen_name_slav_poison_weapon_light	Poison	true
special_ability_phases_onscreen_name_MKTW_gunpowder	Gunpwoder	true
special_ability_phases_onscreen_name_brace_yourself_1	Brace Yourself	true
special_ability_phases_onscreen_name_hold_the_line_1	Hold the Line	true
special_ability_phases_onscreen_name_mk_sailing_ship_castle	Castled Sailing Ship	true
special_ability_phases_onscreen_name_form_flying_wedge	Form Wedge	true
special_ability_phases_onscreen_name_barrage_1	Barrage	true
special_ability_phases_onscreen_name_att_gen_brace_05	Brace	true
special_ability_phases_onscreen_name_att_gen_brace_04	Brace	true
special_ability_phases_onscreen_name_att_gen_brace_03	Brace	true
special_ability_phases_onscreen_name_att_gen_brace_02	Brace	true
special_ability_phases_onscreen_name_att_gen_brace_01	Brace	true
special_ability_phases_onscreen_name_att_ramming_speed_1	Ship Speed	true
special_ability_phases_onscreen_name_att_ramming_speed_2	Ship Speed	true
special_ability_phases_onscreen_name_speed_slow	Speed	true
special_ability_phases_onscreen_name_att_gen_recon_03	Recon	true
special_ability_phases_onscreen_name_att_gen_recon_02	Recon	true
special_ability_phases_onscreen_name_att_gen_recon_01	Rally	true
special_ability_phases_onscreen_name_att_gen_recon_05	Recon	true
special_ability_phases_onscreen_name_att_gen_recon_04	Recon	true
special_ability_phases_onscreen_name_com_rally_inspire	Inspire	true
special_ability_phases_onscreen_name_com_spirit	Spirit	true
special_ability_phases_onscreen_name_com_unity	Unity	true
special_ability_phases_onscreen_name_spec_killing_spree_2	Kill Spree	true
special_ability_phases_onscreen_name_spec_killing_spree_3	Kill Spree	true
special_ability_phases_onscreen_name_spec_killing_spree_1	Kill Spree	true
special_ability_phases_onscreen_name_morale_v_low	Morale	true
special_ability_phases_onscreen_name_att_gen_raise_05	Raise	true
special_ability_phases_onscreen_name_att_gen_raise_04	Raise	true
special_ability_phases_onscreen_name_att_gen_raise_03	Raise	true
special_ability_phases_onscreen_name_att_gen_raise_02	Raise	true
special_ability_phases_onscreen_name_att_gen_raise_01	Raise	true
special_ability_phases_onscreen_name_Bloodlust_1	Bloodlust	true
special_ability_phases_onscreen_name_com_shock_and_awe	Sea Sickness	true
special_ability_phases_onscreen_name_douse_fire	Douse Fire	true
special_ability_phases_onscreen_name_poison_weapon_effect	Poison	true
special_ability_phases_onscreen_name_infantry_charge_1	Charge	true
special_ability_phases_onscreen_name_att_gen_rally_01	Rally	true
special_ability_phases_onscreen_name_att_gen_rally_02	Rally	true
special_ability_phases_onscreen_name_att_gen_rally_03	Rally	true
special_ability_phases_onscreen_name_att_gen_rally_04	Rally	true
special_ability_phases_onscreen_name_att_gen_rally_05	Rally	true
special_ability_phases_onscreen_name_ship_speed_1	Ship Acceleration	true
special_ability_phases_onscreen_name_ship_speed_3	Ship Acceleration	true
special_ability_phases_onscreen_name_ship_speed_2	Ship Acceleration	true
special_ability_phases_onscreen_name_herd_and_slaughter_1	Slaughter	true
special_ability_phases_onscreen_name_spec_use_the_whip_1	Use the Whip	true
special_ability_phases_onscreen_name_spec_use_the_whip_2	Use the Whip	true
special_ability_phases_onscreen_name_com_brace	Brace	true
special_ability_phases_onscreen_name_att_gen_fear_01	Fear	true
special_ability_phases_onscreen_name_att_gen_fear_03	Fear	true
special_ability_phases_onscreen_name_att_gen_fear_02	Fear	true
special_ability_phases_onscreen_name_att_gen_fear_05	Fear	true
special_ability_phases_onscreen_name_att_gen_fear_04	Fear	true
special_ability_phases_onscreen_name_morale_low	Morale	true
special_ability_phases_onscreen_name_slavs_snipe	Stealth of the Hunter	true
special_ability_phases_onscreen_name_att_gen_fast_03	Fast	true
special_ability_phases_onscreen_name_att_gen_fast_02	Fast	true
special_ability_phases_onscreen_name_att_gen_fast_01	Brace	true
special_ability_phases_onscreen_name_att_gen_fast_05	Fast	true
special_ability_phases_onscreen_name_att_gen_fast_04	Fast	true
special_ability_phases_onscreen_name_spec_kill_elephants	Kill Elephants	true
special_ability_phases_onscreen_name_MKTW_whistling_shot	Whistling Shot	true
special_ability_phases_onscreen_name_mk_oared_ship_castle	Castled Galley	true
special_ability_phases_onscreen_name_att_gen_power_01	Power	true
special_ability_phases_onscreen_name_att_gen_power_03	Power	true
special_ability_phases_onscreen_name_att_gen_power_02	Power	true
special_ability_phases_onscreen_name_att_gen_power_05	Power	true
special_ability_phases_onscreen_name_att_gen_power_04	Power	true
special_ability_phases_onscreen_name_com_pride	Pride	true
special_ability_phases_onscreen_name_slavs_scare	Spirit of the Wolf	true
special_ability_phases_onscreen_name_com_battle_rhythm_1	Battle Rhythm	true
special_ability_phases_onscreen_name_com_battle_rhythm_2	Battle Rhythm	true
special_ability_phases_onscreen_name_com_battle_rhythm_3	Battle Rhythm	true
special_ability_phases_onscreen_name_com_battle_rhythm_4	Battle Rhythm	true
special_ability_phases_onscreen_name_com_battle_rhythm_5	Battle Rhythm	true
special_ability_phases_onscreen_name_MKTW_naft	Naft	true
special_ability_phases_onscreen_name_speed_fast	Speed	true
special_ability_phases_onscreen_name_com_rally	Rally	true
special_ability_phases_onscreen_name_com_presence	Presence	true
special_ability_phases_onscreen_name_severe_morale_hit	Whistling Shot	true
special_ability_phases_onscreen_name_MKTW_poison_arrow	Poison Arrow	true
special_ability_phases_onscreen_name_com_into_the_breach	Into the Breach	true
special_ability_phases_onscreen_name_com_loyalty	Loyalty	true
special_ability_phases_onscreen_name_fatigue_penalty_3	Fatigue	true
special_ability_phases_onscreen_name_fatigue_penalty_2	Fatigue	true
special_ability_phases_onscreen_name_fatigue_penalty_1	Fatigue	true
special_ability_phases_onscreen_name_form_wedge	Form Wedge	true
special_ability_phases_onscreen_name_headhunt_4	Headhunt	true
special_ability_phases_onscreen_name_com_inspire	Inspire	true
special_ability_phases_onscreen_name_com_stand_and_fight	Stand & Fight	true
special_ability_phases_onscreen_name_form_move1	Assemble	true
special_ability_phases_onscreen_name_form_move2	Assemble	true
special_ability_phases_onscreen_name_form_move3	Assemble	true
special_ability_phases_onscreen_name_wooden_swords_steal_hearts_1	Wooden Swords	true
special_ability_phases_onscreen_name_form_cavalry_testudo	Shields Ready	true
special_ability_phases_onscreen_name_speed_v_fast	Speed	true
special_ability_phases_onscreen_name_equine_mutilation	Mutilation	true
special_ability_phases_onscreen_name_spec_draco1	Fuse Ready	true
