key	text	tooltip
#Loc;1;text/db/start_pos_settlements.loc		
start_pos_settlements_onscreen_name_settlement:cha_reg_wessex_london2130452311	London	true
start_pos_settlements_onscreen_name_settlement:att_reg_thracia_marcianopolis2130449800	Tarnovo	true
start_pos_settlements_onscreen_name_settlement:att_reg_syria_emesa2130447773	Homs	true
start_pos_settlements_onscreen_name_settlement:cha_reg_mercia_lincoln2130452013	Lincoln	true
start_pos_settlements_onscreen_name_settlement:att_reg_makran_pura2130449501	Pahrah	true
start_pos_settlements_onscreen_name_settlement:cha_reg_swabia_speyer2130452236	Speyer	true
start_pos_settlements_onscreen_name_settlement:cha_reg_burgundy_lyon2130451674	Lyon	true
start_pos_settlements_onscreen_name_settlement:cha_reg_septimania_toulouse2130452206	Toulouse	true
start_pos_settlements_onscreen_name_settlement:att_reg_syria_emesa2130449756	Homs	true
start_pos_settlements_onscreen_name_settlement:cha_reg_saxony_hamburg2130452189	Hamburg	true
start_pos_settlements_onscreen_name_settlement:cha_reg_calabria_taranto2130451694	Taranto	true
start_pos_settlements_onscreen_name_settlement:bel_reg_lucania_et_brutii_rhegium:rhegium2130450151	Rhegium	true
start_pos_settlements_onscreen_name_settlement:cha_reg_west_aquitaine_bourges2130452331	Bourges	true
start_pos_settlements_onscreen_name_settlement:att_reg_scythia_sarai2130447768	Saqsin	true
start_pos_settlements_onscreen_name_settlement:cha_reg_croatia_sisak2130451733	Sisak	true
start_pos_settlements_onscreen_name_settlement:cha_reg_provence_nice2130452134	Nice	true
start_pos_settlements_onscreen_name_settlement:att_reg_makran_phra2130447725	Zaranj	true
start_pos_settlements_onscreen_name_settlement:att_reg_makran_pura2130447726	Pahrah	true
start_pos_settlements_onscreen_name_settlement:att_reg_spahan_issatis2130447769	Yazd	true
start_pos_settlements_onscreen_name_settlement:bel_reg_lucania_et_brutii_crotona:crotona2130450142	Crotona	true
start_pos_settlements_onscreen_name_settlement:cha_reg_bohemia_praha2130451628	Praha	true
start_pos_settlements_onscreen_name_settlement:att_reg_raetia_et_noricum_augusta_vindelicorum2130449676	Munich	true
start_pos_settlements_onscreen_name_settlement:bel_reg_liguria_augusta_taurinorum:taurinorum2130450120	Augusta Taurinorum	true
start_pos_settlements_onscreen_name_settlement:att_reg_cappadocia_trapezus2130449140	Trebizond	true
start_pos_settlements_onscreen_name_settlement:bel_reg_zeugitana_thagaste:thagaste2130450318	Thagaste	true
start_pos_settlements_onscreen_name_settlement:att_reg_hyperborea_kariskos2130447697	Chernigov	true
start_pos_settlements_onscreen_name_settlement:att_reg_gothiscandza_rugion2130447693	Stralsund	true
start_pos_settlements_onscreen_name_settlement:bel_reg_novempopulania_tolosa2130450472	Tolosa	true
start_pos_settlements_onscreen_name_settlement:att_reg_scythia_sarai2130449730	Saqsin	true
start_pos_settlements_onscreen_name_settlement:att_reg_raetia_et_noricum_augusta_vindelicorum2130447754	Munich	true
start_pos_settlements_onscreen_name_settlement:att_reg_spahan_issatis2130449736	Yazd	true
start_pos_settlements_onscreen_name_settlement:att_reg_britannia_superior_camulodunon2130447652	Colchester	true
start_pos_settlements_onscreen_name_settlement:cha_reg_saxony_bremen2130452180	Bremen	true
start_pos_settlements_onscreen_name_settlement:att_reg_thracia_marcianopolis2130447779	Tarnovo	true
start_pos_settlements_onscreen_name_settlement:att_reg_cappadocia_trapezus2130447660	Trebizond	true
start_pos_settlements_onscreen_name_settlement:bel_reg_campania_et_samnium_neapolis:neapolis2130450015	Neapolis	true
start_pos_settlements_onscreen_name_settlement:att_reg_makran_phra2130449499	Zaranj	true
start_pos_settlements_onscreen_name_settlement:bel_reg_mauretania_sitifensis_cirta2130450325	Cirta	true
start_pos_settlements_onscreen_name_settlement:bel_reg_mauretania_tingitana_tingis2130450350	Tingis	true
start_pos_settlements_onscreen_name_settlement:cha_reg_east_neustria_reims2130451761	Reims	true
start_pos_settlements_onscreen_name_settlement:cha_reg_obodrites_havelberg2130452082	Havelberg	true
start_pos_settlements_onscreen_name_settlement:att_reg_khwarasan_abarshahr2130447703	Nishapur	true
start_pos_settlements_onscreen_name_settlement:att_reg_aegyptus_alexandria2130447613	Alexandria	true
start_pos_settlements_onscreen_name_settlement:att_reg_magna_graecia_rhegium2130449475	Reggio	true
start_pos_settlements_onscreen_name_settlement:cha_reg_croatia_jadra2130451723	Jadra	true
start_pos_settlements_onscreen_name_settlement:att_reg_cappadocia_melitene2130449130	Malatya	true
start_pos_settlements_onscreen_name_settlement:att_reg_britannia_superior_corinium2130447653	Bristol	true
start_pos_settlements_onscreen_name_settlement:att_reg_dalmatia_domavia2130447673	Ras	true
start_pos_settlements_onscreen_name_settlement:att_reg_britannia_superior_camulodunon2130449096	Colchester	true
start_pos_settlements_onscreen_name_settlement:att_reg_liguria_genua2130447709	Genoa	true
start_pos_settlements_onscreen_name_settlement:att_reg_liguria_genua2130449401	Genoa	true
start_pos_settlements_onscreen_name_settlement:att_reg_lusitania_pax_augusta2130449446	Evora	true
start_pos_settlements_onscreen_name_settlement:bel_reg_zeugitana_hippo_regis:hippo_regis2130450309	Hippo Regius	true
