key	text	tooltip
#Loc;1;text/db/advice_info_texts.loc		
advice_info_texts_localised_text_Att.Pro.Olbia.Info.040	[[url:/manual/page/single-player/0078_enc_page_battle_play_phase_conflict]]Running:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.140	[[url:/units]]Missile Units:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.041	You can run selected units by double right-clicking on the terrain.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.141	Will automatically fire at any enemy units in range.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.042	Hold down the spacebar to see unit destinations.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.142	Display an arc of fire when the cursor is placed over them.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.043	Toggle the speed of selected units by clicking the [[url:script_link_run_button]]Run button[[/url]], or by pressing the R key.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.143	Are generally weak in hand-to-hand combat.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.050	[[url:/manual/page/single-player/0078_enc_page_battle_play_phase_conflict]]Attacking:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.051	Issue an attack order to a selected unit by right-clicking an enemy.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.052	Double-right-click on an enemy to order your unit to charge.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.053	Order selected units to precise positions by right-clicking and dragging-out a formation on the terrain.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.060	[[url:/manual/page/single-player/0078_enc_page_battle_play_phase_conflict]]Flanking:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.061	Soldiers fight best against enemies that are in front of them.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.062	Units will suffer increased casualties and morale shocks when attacked from the flanks or the rear.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.070	[[url:/manual/page/single-player/0087_enc_page_battle_play_phase_conflict_morale]]Morale:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.071	A unit will rout once its morale is broken.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.072	A routing unit will flee the battlefield and will no longer respond to orders.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.073	Unit morale and the influencing factors are displayed on its tooltip.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.074	A unit's icon will flash when its morale begins to waver.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.075	Routing units may rally when safe and return to the battlefield.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.100	[[url:/units]]Cavalry:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.001	[[url:/manual/page/single-player/0078_enc_page_battle_play_phase_conflict]]Battlefield Camera:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.101	Mobile soldiers on horseback, ideal for swift maneuovres.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.002	Move the camera using the W, A, S and D keys.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.102	A cavalry charge can swiftly break enemy morale, particularly when delivered to the flank or rear of a unit.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.003	Orientate the camera by holding down the middle mouse button.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.103	Vulnerable against spear or pike weapons, and in prolonged engagements.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.004	Change the camera height with the mouse scroll wheel.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.005	Hold down shift to move the camera faster.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.010	[[url:/units]]Units:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.110	[[url:/manual/page/single-player/0089_enc_page_battle_play_phase_conflict_terrain#enc_text_manual_battle_conflict_forests]]Forests:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.011	Armies in Total War are subdivided into units.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.111	Units can hide in forests, as long as they move slowly.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.012	Orders are issued to units, not individual troops.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.112	Forests protect troops against incoming missiles.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.020	[[url:/manual/page/single-player/0078_enc_page_battle_play_phase_conflict]]Selection & Movement:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.120	[[url:/manual/page/single-player/0091_enc_page_battle_play_phase_conflict_sea_battles]]Naval combat:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.021	Select Units by using left-click.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.121	Selected ships can be directed to attack enemy vessels by right-clicking.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.022	Select a group of units by left-clicking and dragging a selection box around them.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.122	Order a selected ship to land its troops on shore by right-clicking on the beach.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.023	Right-click on the terrain to issue a move order to the selected units.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.123	Unit cards and ship cards can be seen on the user interface by selecting the appropriate [[url:script_link_force_tabs]]force tab[[/url]].	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.024	Units can also be selected by clicking on their [[url:script_link_unit_cards]]unit cards[[/url]].	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.025	[[url:/manual/page/single-player/0001_enc_page_help_intro]]The Encyclopedia:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.026	Press the F1 key at any time to bring up the encyclopedia.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.027	Battles can be paused with the P key.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.028	The game menu can be accessed with the ESC key.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.029	Press TAB to access the tactical map.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.030	[[url:/manual/page/single-player/0089_enc_page_battle_play_phase_conflict_terrain]]High Ground:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.130	[[url:/manual/page/single-player/0088_enc_page_battle_play_phase_conflict_fatigue]]Fatigue:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.031	Fighting downhill offers infantry a great advantage.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.131	Soldiers tire when running or fighting, and slowly recover when standing still.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.132	Fatigued soldiers cannot move as fast or fight as effectively.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.133	The fatigue level of a unit can be seen on its tooltip.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.134	Hold CTRL whilst dragging out a formation with the right mouse button to make units walk into position.	true
advice_info_texts_localised_text_Att.Pro.Naval.Info.001	[[url:/manual/page/single-player/0091_enc_page_battle_play_phase_conflict_sea_battles]]Ship Weapons:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Naval.Info.002	Ships can fight each other by ramming, boarding, or with ranged weapons.	true
advice_info_texts_localised_text_Att.Pro.Naval.Info.011	Ships fight in one of three manners: in hand-to-hand combat, with artillery, or skirmishing with ranged weapons.	true
advice_info_texts_localised_text_Att.Pro.Naval.Info.010	[[url:/manual/page/single-player/0091_enc_page_battle_play_phase_conflict_sea_battles]]Ship Types:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Naval.Info.021	Land-based units will fight in battle on transport ships.	true
advice_info_texts_localised_text_Att.Pro.Naval.Info.020	[[url:/manual/page/single-player/0091_enc_page_battle_play_phase_conflict_sea_battles]]Transport Ships:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Naval.Info.023	The men also suffer from seasickness, which reduces their fighting potential.	true
advice_info_texts_localised_text_Att.Pro.Naval.Info.022	Transport ships are ineffective in combat and should only be used as a last resort.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.080	[[url:/manual/page/single-player/0083_enc_page_battle_play_phase_conflict_tactics]]Capture Points:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.081	Settlements contain a number of points which can be captured by standing units next to them.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.082	Capture points convey tactical advantages on whichever side holds them.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.083	Towers are destroyed when their capture point is taken.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.085	[[url:/manual/page/single-player/0078_enc_page_battle_play_phase_conflict]]Unit Positioning:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.086	Order selected units to precise positions by right-clicking and dragging-out a formation on the terrain.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.087	Hold ALT and left-drag selections of units to reposition them with the same facing.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.088	Use the cursor keys to nudge selected units into position.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.089	Hold Shift and draw a path with the right mouse button for selected units to follow.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.090	[[url:/units]]Infantry:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.091	Dense units of men, armed with hand-to-hand weapons.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.092	Slow and vulnerable to being outranged and outmanoeuvred.	true
advice_info_texts_localised_text_Att.Pro.Olbia.Info.093	Strong in frontal attacks but vulnerable to the flank and the rear.	true
advice_info_texts_localised_text_Att.Pro.Battle.Info.071	Fire-at-will is a missile unit ability which can be toggled from the unit abilities bar.	true
advice_info_texts_localised_text_Att.Pro.Camp.Info.176	[[url:/manual/page/single-player/0039a_enc_page_campaign_play_province_trade_finance]]Bankruptcy:[[/url]]	true
advice_info_texts_localised_text_Att.Pro.Camp.Info.276	[[url:/manual/page/single-player/0015a_enc_page_campaign_play_interface#enc_text_manual_hud_faction_intro]]Faction Button:[[/url]]	true
