key	text	tooltip
#Loc;1;text/db/building_chains.loc		
building_chains_encyclopedia_description_att_bch_nomad_noble	The migrating leadership buildings are essential to the horde's solidarity, increasing force integrity and providing income from culture.	true
building_chains_encyclopedia_description_att_bch_eastern_sassanid_port_minor	Placeholder description	true
building_chains_chain_tooltip_att_bch_religion_other	Religion	true
building_chains_chain_tooltip_att_bch_roman_west_port_minor	Port	true
building_chains_encyclopedia_name_att_bch_all_industry_major	City Industry	true
building_chains_encyclopedia_name_att_bch_all_industry_minor	Town Industry	true
building_chains_encyclopedia_description_mk_bch_nommigs_settlement	The settlement chain provides the nomads with the nucleus of the camp, providing subsistence wealth and ensuring the growth of the horde.	true
building_chains_chain_tooltip_att_bch_slav_farming	Farm	true
building_chains_chain_tooltip_att_bch_religion_zoroastrian_major_fire_faction	Religion	true
building_chains_chain_tooltip_bel_bch_all_agriculture	Agriculture	true
building_chains_chain_tooltip_mk_bch_arakingdoms_water_major	Sanitation	true
building_chains_chain_tooltip_mk_bch_arakingdoms_water_minor	Sanitation	true
building_chains_encyclopedia_name_bel_bch_all_industry_major	City Industry	true
building_chains_encyclopedia_name_bel_bch_all_industry_minor	Town Industry	true
building_chains_encyclopedia_name_bel_bch_roman_city_major	City	true
building_chains_encyclopedia_name_bel_bch_roman_city_minor	Town	true
building_chains_chain_tooltip_mk_bch_ortkingdoms_water_major	Sanitation	true
building_chains_chain_tooltip_mk_bch_ortkingdoms_water_minor	Sanitation	true
building_chains_chain_tooltip_bel_bch_religion_other	Religion	true
building_chains_encyclopedia_name_att_bch_barbmigs_community	Migrating Community	true
building_chains_chain_tooltip_att_slav_bch_zadruga	Zadruga 	true
building_chains_encyclopedia_name_mk_bch_nommigs_settlement	Nomadic Settlement	true
building_chains_encyclopedia_name_att_bch_eastern_sassanid_military_infantry	City Infantry Recruitment	true
building_chains_encyclopedia_name_att_bch_eastmigs_community	Migrating Community	true
building_chains_chain_tooltip_mk_bch_itakingdoms_water_major	Sanitation	true
building_chains_chain_tooltip_mk_bch_itakingdoms_water_minor	Sanitation	true
building_chains_encyclopedia_description_att_bch_eastmigs_industry	The migrating artisan chain provides income from industrial buildings in addition to other financial boosts.	true
building_chains_chain_tooltip_att_bch_roman_east_port_minor	Port	true
building_chains_encyclopedia_name_cha_bch_monastery	Monastery	true
building_chains_encyclopedia_name_mk_bch_religion_bogomilism_major	Religion	true
building_chains_encyclopedia_name_mk_bch_religion_bogomilism_minor	City Religion	true
building_chains_chain_tooltip_mk_bch_mookingdoms_town	City	true
building_chains_encyclopedia_description_cha_bch_mill	Mills improve agricultural and industrial income within a province.	true
building_chains_encyclopedia_description_cha_bch_gold	Resource chains, when present in a region, give access to invaluable stockpiles of goods for trade. They can be exploited to your faction's benefit, with some resources being prerequisites for other important buildings.	true
building_chains_chain_tooltip_bel_bch_camp_sanitation	Sanitation	true
building_chains_encyclopedia_description_cha_bch_salt	Resource chains, when present in a region, give access to invaluable stockpiles of goods for trade. They can be exploited to your faction's benefit, with some resources being prerequisites for other important buildings.	true
building_chains_encyclopedia_description_cha_bch_barracks_mus	Barrack buildings can be constructed in any city or town, providing access to most types of infantry, skirmisher, and cavalry units.	true
building_chains_encyclopedia_description_bel_bch_religion_catholic_legendary	Religious buildings boost the influence of your faction's religion both within and across your borders, and can also improve sanitation in your settlements. The type of religious building chain available within a region depends on state religion of the controlling faction.	true
building_chains_encyclopedia_name_bel_bch_religion_arian_legendary	Pentarchy See	true
building_chains_chain_tooltip_mk_bch_cenkingdoms_town	City	true
building_chains_chain_tooltip_mk_bch_religion_jewish_community_major	Jewish Community	true
building_chains_chain_tooltip_mk_bch_religion_jewish_community_minor	City Jewish Community	true
building_chains_encyclopedia_name_att_bch_eastmigs_industry	Migrating Artisans	true
building_chains_encyclopedia_name_cha_bch_race_track	Race Track	true
building_chains_encyclopedia_name_mk_bch_ortkingdoms_civic_major_cil	Civic Centre	true
building_chains_encyclopedia_description_att_bch_roman_east_military	Military recruitment buildings can be constructed in any city or town, providing access to most types of infantry, skirmisher, and cavalry units.	true
building_chains_encyclopedia_description_cha_bch_monastery	Religious buildings increase the influence of your faction's religion both inside and across your borders.	true
building_chains_encyclopedia_description_att_bch_roman_west_military	Military recruitment buildings can be constructed in any city or town, providing access to most types of infantry, skirmisher, and cavalry units.	true
building_chains_chain_tooltip_mk_bch_nomkingdoms_town	City	true
building_chains_encyclopedia_description_cha_bch_mine	Mines provide industrial income and can only be built in minor settlements.	true
building_chains_encyclopedia_description_cha_bch_wine	Resource chains, when present in a region, give access to invaluable stockpiles of goods for trade. They can be exploited to your faction's benefit, with some resources being prerequisites for other important buildings.	true
building_chains_chain_tooltip_cha_bch_council	Council Hall	true
building_chains_encyclopedia_description_cha_bch_horse_shows	Horse shows increase public order, give bonuses to cavalry and boost your faction’s imperium too.	true
building_chains_chain_tooltip_att_bch_celtic_garrison	Raiding	true
building_chains_encyclopedia_description_cha_bch_iron	Resource chains, when present in a region, give access to invaluable stockpiles of goods for trade. They can be exploited to your faction's benefit, with some resources being prerequisites for other important buildings.	true
building_chains_encyclopedia_description_cha_bch_wood	Resource chains, when present in a region, give access to invaluable stockpiles of goods for trade. They can be exploited to your faction's benefit, with some resources being prerequisites for other important buildings.	true
building_chains_encyclopedia_name_bel_bch_camp_food	Food	true
building_chains_encyclopedia_description_bel_bch_camp_camp	Camp chain buildings enable unit recruitment and growth, providing income to cover that growth.	true
building_chains_encyclopedia_name_mk_bch_religion_shia_major	Religion	true
building_chains_encyclopedia_name_mk_bch_religion_shia_minor	City Religion	true
building_chains_encyclopedia_name_att_bch_resources_orchards_dummy	Orchards	true
building_chains_chain_tooltip_cha_bch_port	Port	true
building_chains_chain_tooltip_mk_bch_nommigs_military	Military Recruitment	true
building_chains_encyclopedia_name_cha_bch_scriptorium	Scriptorium	true
