key	text	tooltip
#Loc;1;text/db/campaign_map_attritions.loc		
campaign_map_attritions_unit_card_tooltip_att_att_mountain	The mountain takes its toll. Do not linger here: move off the mountain to prevent attrition.	true
campaign_map_attritions_unit_immunity_text_att_att_desertion	placeholder	true
campaign_map_attritions_unit_immunity_text_att_att_besieged	placeholder	true
campaign_map_attritions_unit_immunity_text_att_att_besieging	placeholder	true
campaign_map_attritions_unit_immunity_text_att_att_blockaded	placeholder	true
campaign_map_attritions_unit_card_tooltip_att_att_besieged	The population of this besieged settlement is dying from malnutrition. Relieve the siege by any means possible, be it words or be it swords!	true
campaign_map_attritions_campaign_map_tooltip_att_att_sabotage	placeholder	true
campaign_map_attritions_unit_immunity_text_att_att_disease	placeholder	true
campaign_map_attritions_unit_immunity_text_att_att_mountain	This unit is immune to mountain attrition.	true
campaign_map_attritions_campaign_map_tooltip_att_att_high_sea	Fleets will suffer losses due to attrition when in deep waters.	true
campaign_map_attritions_campaign_map_tooltip_att_att_mountain	Armies will suffer losses due to attrition whilst crossing mountain passes.	true
campaign_map_attritions_unit_immunity_text_att_att_high_sea	This unit is immune to high-seas attrition.	true
campaign_map_attritions_campaign_map_tooltip_att_att_swamp	Armies will suffer losses due to attrition when in swamp lands.	true
campaign_map_attritions_unit_immunity_text_att_att_blockading	placeholder	true
campaign_map_attritions_unit_immunity_text_att_att_sabotage	placeholder	true
campaign_map_attritions_unit_card_tooltip_att_att_sabotage	An enemy agent has succeeded in sabotaging our army, many men have lost their lives. Find and kill the person responsible.	true
campaign_map_attritions_campaign_map_tooltip_att_att_besieged	This settlement is suffering attritional losses as it is under siege.	true
campaign_map_attritions_campaign_map_tooltip_att_att_snow_2	Armies will suffer losses due to attrition when in frozen regions.	true
campaign_map_attritions_campaign_map_tooltip_att_att_snow_3	Armies will suffer losses due to attrition when in frozen regions.	true
campaign_map_attritions_campaign_map_tooltip_att_att_snow_1	Armies will suffer losses due to attrition when in frozen regions.	true
campaign_map_attritions_campaign_map_tooltip_att_att_snow_4	Armies will suffer losses due to attrition when in frozen regions.	true
campaign_map_attritions_campaign_map_tooltip_att_att_snow_5	Armies will suffer losses due to attrition when in frozen regions.	true
campaign_map_attritions_unit_immunity_text_att_att_regionless	placeholder	true
campaign_map_attritions_unit_card_tooltip_att_att_high_sea	The elements show their true power over deep waters, endlessly buffeting the fleet and bringing death to our mariners. Keep to the coastline to ensure their safety.	true
campaign_map_attritions_campaign_map_tooltip_att_att_desert	Armies will suffer losses due to attrition when in desert regions.	true
campaign_map_attritions_unit_card_tooltip_att_att_blockading	Keeping the fleet out to sea hurts us as well as the enemy. End the blockade to stop this attrition.	true
campaign_map_attritions_unit_card_tooltip_att_att_regionless	Your troops are deserting because you can no longer sustain them. Resolve this crisis before your forces are crippled.	true
campaign_map_attritions_unit_card_tooltip_att_att_besieging	Besieging a settlement also takes its toll on the besiegers, as disease and small skirmishes claim the weak. End this siege, soon to stop this attrition.	true
campaign_map_attritions_unit_card_tooltip_att_att_blockaded	Without supplies coming in from sea trade routes our settlement grows hungry. End the blockade to replenish vital supplies.	true
campaign_map_attritions_unit_card_tooltip_att_att_desertion	Your troops are deserting because you can no longer sustain them. Resolve this crisis before it cripples your forces.	true
campaign_map_attritions_campaign_map_tooltip_att_att_disease	placeholder	true
campaign_map_attritions_campaign_map_tooltip_att_att_blockading	This fleet is suffering attritional losses as it is blockading.	true
campaign_map_attritions_unit_card_tooltip_att_att_desert	All shall perish in the desert! Set camp, find a settlement or leave this barren place to prevent attrition taking place.	true
campaign_map_attritions_campaign_map_tooltip_att_att_regionless	placeholder	true
campaign_map_attritions_unit_immunity_text_att_att_snow_4	This unit is immune to snow attrition.	true
campaign_map_attritions_unit_immunity_text_att_att_snow_5	This unit is immune to snow attrition.	true
campaign_map_attritions_unit_immunity_text_att_att_snow_2	This unit is immune to snow attrition.	true
campaign_map_attritions_unit_immunity_text_att_att_snow_3	This unit is immune to snow attrition.	true
campaign_map_attritions_unit_immunity_text_att_att_snow_1	This unit is immune to snow attrition.	true
campaign_map_attritions_unit_card_tooltip_att_att_swamp	This mire claims the unwary. A wise general would find a road or leave this place.	true
campaign_map_attritions_unit_immunity_text_att_att_swamp	This unit is immune to swamp attrition.	true
campaign_map_attritions_unit_immunity_text_att_att_desert	This unit is immune to desert attrition.	true
campaign_map_attritions_unit_card_tooltip_att_att_disease	Disease brings death and suffering to our troops. We must appease the gods through sacrifice for the offence we have caused, then wait for the disease to pass.	true
campaign_map_attritions_unit_card_tooltip_att_att_snow_3	The cold makes corpses. Set camp, find a settlement or march to warmer climes to prevent attrition taking place.	true
campaign_map_attritions_unit_card_tooltip_att_att_snow_2	The cold makes corpses. Set camp, find a settlement or march to warmer climes to prevent attrition taking place.	true
campaign_map_attritions_unit_card_tooltip_att_att_snow_1	The cold makes corpses. Set camp, find a settlement or march to warmer climes to prevent attrition taking place.	true
campaign_map_attritions_unit_card_tooltip_att_att_snow_5	The cold makes corpses. Set camp, find a settlement or march to warmer climes to prevent attrition taking place.	true
campaign_map_attritions_unit_card_tooltip_att_att_snow_4	The cold makes corpses. Set camp, find a settlement or march to warmer climes to prevent attrition taking place.	true
campaign_map_attritions_campaign_map_tooltip_att_att_desertion	placeholder	true
campaign_map_attritions_campaign_map_tooltip_att_att_besieging	This army is suffering attritional losses as it is laying siege.	true
campaign_map_attritions_campaign_map_tooltip_att_att_blockaded	This port is suffering attritional losses as it is being blockaded.	true
