key	text	tooltip
#Loc;1;text/db/campaign_subject_strings.loc		
campaign_subject_strings_string_att_subject_politics_civil_challenger_flavour	Politicians and the public have both become enamoured by a great young orator, he is obviously ambitious and is gaining the favour of the rabble. Although he has yet to disparage you, he hasn't supported your endeavours either.	true
campaign_subject_strings_string_att_subject_domestic_none_foreign_migrants_1_flavour	Due to the neighbouring wars, there are many migrants and refugees entering our cities. They are bringing money, but also their suspect religion and cultures to our lands. Some of your ministers have asked that they be ejected.	true
campaign_subject_strings_string_att_subject_nomadic_tribal_strife_1_flavour	Our society contains people from many tribes, and sometimes old grudges come to the surface. Two of these groups have fallen out and are standing off against each another. If the matter isn't dealt with soon, it could cause the horde to fracture!	true
campaign_subject_strings_string_att_subject_domestic_nomad_sword_of_attila_flavour	A farmer has come before you telling of a sword he found when one of his flock cut its ankle on the mighty blade. He claims the sword is a gift meant for you alone.	true
campaign_subject_strings_string_att_subject_domestic_barb_temple_sacrilege_flavour	Some fool has been caught defacing the temple of Jupiter. Such matters should not be taken lightly.	true
campaign_subject_strings_string_att_subject_religious_christian_pontifex_maximus_1_flavour	As a high ranking clergyman, our bishop has been selected as a candidate for the Papacy.	true
campaign_subject_strings_string_att_subject_religious_manichaeism_illegal_practice_1_flavour	This man has been captured breaking the sanctions we have imposed on the Manichaeist religion.	true
campaign_subject_strings_string_att_subject_domestic_roman_a_little_flutter_2_flavour	With many battles to his name, this veteran is fighting in the arena next month. He's being pitted against a much younger fighter. Would you like to place a bet? 500 talents should be sufficient.	true
campaign_subject_strings_string_att_subject_domestic_roman_a_little_flutter_1_flavour	A promising young gladiator, who is expected to make a name for himself, is up against a tough opponent. Care to place a bet? 500 talents should be sufficient.	true
campaign_subject_strings_string_att_subject_military_none_the_spy_1_flavour	We have captured an old man spying on our troops. He has already admitted his guilt, what should be done with him?	true
campaign_subject_strings_string_att_subject_military_nomad_master_swordsmith_flavour	A skilled craftsman has been captured by our outriders. He claims the ability to make swords with the deadly curved blades of the east. What should we do with him?	true
campaign_subject_strings_string_att_subject_religious_manichaeism_pilgrims_1_flavour	In Mesopotamia, the birthplace of Mani, a large gathering, which they call a 'Bema Fest', takes place annually. These are our lands, should we let such things continue?	true
campaign_subject_strings_string_att_subject_military_none_drunk_on_watch_1_flavour	This man was drunk when supposed to be on watch. The watering-down of our elite troops with these bumpkins seems to be the main cause.	true
campaign_subject_strings_string_att_subject_religious_barb_stranger_flavour	A stranger, hooded and cloaked, has arrived in our midst. He claims to know the location of a long-lost sacred site, which he will show you, for a price.	true
campaign_subject_strings_string_att_subject_diplomatic_none_tribute_1_flavour	Greetings. I have brought a gift from my people in order that we may improve relations.	true
campaign_subject_strings_string_att_subject_religious_zoroastrian_illegal_practice_1_flavour	We caught this person worshipping the eternal flame at their home. This goes against the laws of the land.	true
campaign_subject_strings_string_att_subject_religious_barb_bloodless_flavour	A ram hung in sacred offering to the gods is completely bloodless! Not a single drop can be squeezed from the creature.  We must do something to appease the gods.	true
campaign_subject_strings_string_att_subject_domestic_none_the_silk_trader_1_flavour	A foreign trader has arrived with reams of silk. It is said that he knows of a secret trade route, along which many valuable commodities pass. His wares are flooding the market, lowering prices and income.	true
campaign_subject_strings_string_att_subject_domestic_all_stone_mason_flavour	A foreigner claiming to be a great stonemason has presented himself to you. Do you wish to take him into your service?	true
campaign_subject_strings_string_att_subject_religious_zoroastrian_pilgrims_1_flavour	The ancient temple housing the Atash Adaran lies within our borders, atop Mount Khajeh. Zoroastrians have been travelling there for some time. Your minister asks that you stop them entering.	true
campaign_subject_strings_string_att_subject_domestic_barb_nomad_stolen_sword_flavour	Swords are possessions of pride, but such precious things can also cause discontent… Your brother's boy claims another has stolen his sword. The accused denies it.	true
campaign_subject_strings_string_att_subject_domestic_none_excess_materials_1_flavour	My Lord, due to the success of the recent construction project, there are a lot of materials leftover. What should we do with them?	true
campaign_subject_strings_string_att_subject_diplomatic_none_border_dispute_1_flavour	Along the borders of our nation, a farmer from the neighbouring state is claiming land belonging to one of ours as his own.	true
campaign_subject_strings_string_att_subject_domestic_none_hidden_treasure_1_flavour	We found a large hoard of gold hidden in a cave whilst mining. What should we do with it?	true
campaign_subject_strings_string_att_subject_domestic_civil_idiot_magistrate_flavour	One of your magistrates has come to tell you that he has gambled away his position. What do you wish to do?	true
campaign_subject_strings_string_att_subject_religious_none_the_relic_seller_1_flavour	A man selling relics in the capital has recently sold the branch that drowned Saint Sabbas thirteen times! He is offering you gold if you'll look the other way.	true
