key	text	tooltip
#Loc;1;text/db/character_skill_node_sets.loc		
character_skill_node_sets_enc_title_bel_army_legacy	Army Traditions	true
character_skill_node_sets_enc_title_att_navy_legacy_barbarian_germanic_north	Barbarian Naval Traditions	true
character_skill_node_sets_enc_title_att_agent_skills_priest_barbarian_germanic_east	Priestess Skills	true
character_skill_node_sets_enc_title_att_agent_skills_priest_barbarian_germanic_west	Priestess Skills	true
character_skill_node_sets_enc_title_mk_priest_skills	Priest Skills	true
character_skill_node_sets_enc_title_cha_army_legacy	Army Traditions	true
character_skill_node_sets_enc_title_att_army_legacy_eastern_caucasian	Eastern Military Traditions	true
character_skill_node_sets_enc_title_att_navy_legacy_eastern_caucasian	Eastern Naval Traditions	true
character_skill_node_sets_enc_title_mk_army_legacy	Army Traditions	true
character_skill_node_sets_enc_title_att_agent_skills_priest_eastern_caucasian	Magus Skills	true
character_skill_node_sets_enc_title_att_agent_skills_priest_barbarian_germanic_north	Priestess Skills	true
character_skill_node_sets_enc_title_cha_spy_skills	Spy Skills	true
character_skill_node_sets_enc_title_bel_navy_legacy	Navy Traditions	true
character_skill_node_sets_enc_title_bel_spy_skills	Spy Skills	true
character_skill_node_sets_enc_title_att_agent_skills_priest_nomadic_sarmatian	Shaman Skills	true
character_skill_node_sets_enc_title_att_army_legacy_nomadic_sarmatian	Nomadic Military Traditions	true
character_skill_node_sets_enc_title_att_army_legacy_barbarian_germanic_north	Barbarian Military Traditions	true
character_skill_node_sets_enc_title_mk_navy_legacy	Navy Traditions	true
character_skill_node_sets_enc_title_cha_general_skills_danes	Generals' Skills	true
character_skill_node_sets_enc_title_bel_priest_skills	Priest Skills	true
character_skill_node_sets_enc_title_cha_priest_skills	Priest Skills	true
character_skill_node_sets_enc_title_cha_navy_legacy	Navy Traditions	true
character_skill_node_sets_enc_title_cha_priest_skills_nomad	Priest Skills	true
character_skill_node_sets_enc_title_cha_priest_skills_islam	Priest Skills	true
character_skill_node_sets_enc_title_cha_priest_skills_pagan	Priest Skills	true
character_skill_node_sets_enc_title_att_agent_skills_priest_eastern_sassanid	Magus Skills	true
character_skill_node_sets_enc_title_att_army_legacy_barbarian_germanic_east	Barbarian Military Traditions	true
character_skill_node_sets_enc_title_att_army_legacy_barbarian_germanic_west	Barbarian Military Traditions	true
character_skill_node_sets_enc_title_mk_priest_skills_pagan	Priest Skills	true
character_skill_node_sets_enc_title_mk_priest_skills_islam	Priest Skills	true
character_skill_node_sets_enc_title_att_navy_legacy_barbarian_celtic	Barbarian Naval Traditions	true
character_skill_node_sets_enc_title_mk_priest_skills_nomad	Priest Skills	true
character_skill_node_sets_enc_title_att_general_skills_eastern_desert	Eastern General Skills	true
character_skill_node_sets_enc_title_att_agent_skills_spy_roman_east	Spy Skills	true
character_skill_node_sets_enc_title_att_agent_skills_spy_roman_west	Spy Skills	true
character_skill_node_sets_enc_title_att_army_legacy_nomadic_hunnic	Nomadic Military Traditions	true
character_skill_node_sets_enc_title_att_agent_skills_spy_eastern_caucasian	Inspector Skills	true
character_skill_node_sets_enc_title_att_agent_skills_champion_nomadic_hunnic	Warlord Skills	true
character_skill_node_sets_enc_title_att_army_legacy_eastern_sassanid	Eastern Military Traditions	true
character_skill_node_sets_enc_title_att_agent_skills_priest_eastern_desert	Soothsayer Skills	true
