key	text	tooltip
#Loc;1;text/db/event_feed_subcategories.loc		
event_feed_subcategories_subcategory_title_att_event_subcategory_faction_missions_objectives	Missions & Objectives	true
event_feed_subcategories_subcategory_title_att_event_subcategory_diplomacy_war_peace	War & Peace	true
event_feed_subcategories_subcategory_title_att_event_subcategory_conquest_occupation	Occupation	true
event_feed_subcategories_subcategory_title_att_event_subcategory_conquest_enemy_raids	Raids	true
event_feed_subcategories_subcategory_title_att_event_subcategory_faction_civil_war	Civil War	true
event_feed_subcategories_subcategory_title_att_event_subcategory_diplomacy_war_coordination	War Co-ordination	true
event_feed_subcategories_subcategory_title_att_event_subcategory_provinces_buildings	Buildings	true
event_feed_subcategories_subcategory_title_att_event_subcategory_diplomacy_treaty_broken_manipulated	Treaties Manipulated	true
event_feed_subcategories_subcategory_title_att_event_subcategory_military_attrition	Attrition	true
event_feed_subcategories_subcategory_title_att_event_subcategory_diplomacy_treaty_negotiated	Treaties Negotiated	true
event_feed_subcategories_subcategory_title_att_event_subcategory_military_ambushes	Ambushes	true
event_feed_subcategories_subcategory_title_att_event_subcategory_faction_developments	Faction Developments	true
event_feed_subcategories_subcategory_title_att_event_subcategory_agent_action	Agent Actions	true
event_feed_subcategories_subcategory_title_att_event_subcategory_military_navy_developments	Navy Reports	true
event_feed_subcategories_subcategory_title_att_event_subcategory_military_army_developments	Army Reports	true
event_feed_subcategories_subcategory_title_att_event_subcategory_agent_recruited	Agent Recruitment	true
event_feed_subcategories_subcategory_title_att_event_subcategory_character_traits	Traits	true
event_feed_subcategories_subcategory_title_att_event_subcategory_character_ancillaries	Household	true
event_feed_subcategories_subcategory_title_att_event_subcategory_character_deaths	Deaths & Injuries	true
event_feed_subcategories_subcategory_title_att_event_subcategory_character_development	Character Developments	true
event_feed_subcategories_subcategory_title_att_event_subcategory_world_climate	Climate Change	true
event_feed_subcategories_subcategory_title_att_event_subcategory_character_births	Births	true
event_feed_subcategories_subcategory_title_att_event_subcategory_provinces_settlement_abandoned	Settlements Abandoned	true
event_feed_subcategories_subcategory_title_att_event_subcategory_diplomacy_treaty_broken	Treaties Broken	true
event_feed_subcategories_subcategory_title_att_event_subcategory_diplomacy_state_matters	Diplomatic Reports	true
event_feed_subcategories_subcategory_title_att_event_subcategory_provinces_plague	Plague	true
event_feed_subcategories_subcategory_title_att_event_subcategory_provinces_crises	Provincial Crises	true
event_feed_subcategories_subcategory_title_att_event_subcategory_conquest_territorial_disputes	Territorial Disputes	true
event_feed_subcategories_subcategory_title_att_event_subcategory_agent_discovered	Agent Discovery	true
event_feed_subcategories_subcategory_title_att_event_subcategory_military_unit_recruited	Recruitment	true
event_feed_subcategories_subcategory_title_att_event_subcategory_provinces_developments	Provincial Developments	true
event_feed_subcategories_subcategory_title_att_event_subcategory_faction_event_dilemma_incident	Dilemmas & Incidents	true
event_feed_subcategories_subcategory_title_att_event_subcategory_conquest_battle	Battles	true
event_feed_subcategories_subcategory_title_att_event_subcategory_military_force_decimated	Execution of Deserters	true
event_feed_subcategories_subcategory_title_att_event_subcategory_provinces_governor_edict	Governors & Edicts	true
event_feed_subcategories_subcategory_title_att_event_subcategory_faction_crises	Faction Crises	true
event_feed_subcategories_subcategory_title_att_event_subcategory_conquest_siege_blockade	Sieges & Blockades	true
