key	text	tooltip
#Loc;1;text/db/event_feed_targeted_events.loc		
event_feed_targeted_events_title_faction_political_dilemmaevent_feed_target_dilemma_faction	Political Intrigue	true
event_feed_targeted_events_title_diplomacy_treaty_broken_defensive_alliance_manipulatedevent_feed_target_diplomacy_recipient	Defensive Alliance Broken	true
event_feed_targeted_events_title_military_army_raisedevent_feed_target_military_force_faction	Army Raised	true
event_feed_targeted_events_title_faction_horde_endsevent_feed_target_capital_faction	The Horde Settles	true
event_feed_targeted_events_title_faction_resource_lostevent_feed_target_settlement_faction	Resource Lost	true
event_feed_targeted_events_title_character_ancillary_lostevent_feed_target_character_faction	Household Lost	true
event_feed_targeted_events_title_conquest_province_securedevent_feed_target_province_faction	Province Secured	true
event_feed_targeted_events_title_military_navy_rank_gainedevent_feed_target_military_force_faction	Naval Traditions	true
event_feed_targeted_events_title_scripted_transient_located_eventevent_feed_target_faction	#(title)	true
event_feed_targeted_events_title_military_force_decimationevent_feed_target_military_force_faction	Execution of Deserters	true
event_feed_targeted_events_title_diplomacy_treaty_negotiated_non_aggression_pactevent_feed_target_diplomacy_recipient	Non-aggression Pact Negotiated	true
event_feed_targeted_events_title_conquest_settlement_capital_capturedevent_feed_target_conquest_captured_from	Capital Lost!	true
event_feed_targeted_events_title_character_born_illegitimateevent_feed_target_character_child_faction	Illegitimate Birth	true
event_feed_targeted_events_title_faction_resource_gainedevent_feed_target_settlement_faction	Resource Gained	true
event_feed_targeted_events_title_conquest_sea_region_contestedevent_feed_target_owner	Sea Region Contested	true
event_feed_targeted_events_title_conquest_settlement_surrender_warningevent_feed_target_settlement_faction	Surrender Imminent!	true
event_feed_targeted_events_title_conquest_blockade_liftedevent_feed_target_conquest_blockader_faction	Blockade Lifted	true
event_feed_targeted_events_title_conquest_blockade_liftedevent_feed_target_conquest_blockaded_faction	Enemy Blockade Lifted!	true
event_feed_targeted_events_title_faction_civil_war_forceevent_feed_target_faction_instigator_faction	Civil War!	true
event_feed_targeted_events_title_character_ready_for_dutyevent_feed_target_character_faction	Ready for Duty	true
event_feed_targeted_events_title_provinces_unrest_rebellionevent_feed_target_province_faction	Rebellion!	true
event_feed_targeted_events_title_character_dies_naturalevent_feed_target_character_faction	Natural Causes	true
event_feed_targeted_events_title_agent_action_vs_armyevent_feed_target_agent_faction	Agent Activity	true
event_feed_targeted_events_title_diplomacy_treaty_broken_tradeevent_feed_target_diplomacy_recipient	Trade Agreement Broken	true
event_feed_targeted_events_title_diplomacy_treaty_broken_defensive_allianceevent_feed_target_diplomacy_actor	Defensive Alliance Broken	true
event_feed_targeted_events_title_conquest_battleevent_feed_target_conquest_battle_attacker	#(battle_info)	true
event_feed_targeted_events_title_provinces_food_shortageevent_feed_target_province_faction	Food Shortage!	true
event_feed_targeted_events_title_agent_action_vs_settlementevent_feed_target_target_faction	Hostile Agent Activity!	true
event_feed_targeted_events_title_character_dies_hostileevent_feed_target_character_faction	Assassinated	true
event_feed_targeted_events_title_provinces_unseasonal_conditionsevent_feed_target_province_faction	Unseasonal Conditions	true
event_feed_targeted_events_title_diplomacy_treaty_negotiated_peaceevent_feed_target_diplomacy_actor	Peace Negotiated	true
event_feed_targeted_events_title_diplomacy_war_declaredevent_feed_target_diplomacy_recipient	War Declared	true
event_feed_targeted_events_title_provinces_plague_spreads_region_to_forceevent_feed_target_plague_to_faction	Disease Spreads!	true
event_feed_targeted_events_title_military_navy_raisedevent_feed_target_military_force_faction	Navy Raised	true
event_feed_targeted_events_title_horde_food_shortageevent_feed_target_military_force_faction	Food Shortage!	true
event_feed_targeted_events_title_character_woundedevent_feed_target_character_faction	Wounded!	true
event_feed_targeted_events_title_horde_building_demolishedevent_feed_target_building_faction	Demolition Complete	true
event_feed_targeted_events_title_provinces_edict_cancelledevent_feed_target_province_faction	Edict Cancelled!	true
event_feed_targeted_events_title_diplomacy_treaty_negotiated_tradeevent_feed_target_diplomacy_actor	Trade Agreement Negotiated	true
event_feed_targeted_events_title_diplomacy_treaty_broken_client_stateevent_feed_target_diplomacy_recipient	Tributary State Secedes	true
event_feed_targeted_events_title_provinces_plague_spreads_force_to_forceevent_feed_target_plague_to_faction	Disease Spreads!	true
event_feed_targeted_events_title_character_dies_infant_mortalityevent_feed_target_character_faction	Infant Mortality	true
event_feed_targeted_events_title_diplomacy_treaty_negotiated_client_stateevent_feed_target_diplomacy_actor	Tributary State Established	true
event_feed_targeted_events_title_diplomacy_treaty_broken_non_aggression_pact_manipulatedevent_feed_target_diplomacy_recipient	Non-aggression Pact Broken	true
event_feed_targeted_events_title_agent_action_vs_characterevent_feed_target_target_faction	Hostile Agent Activity!	true
event_feed_targeted_events_title_provinces_settlement_abandonedevent_feed_target_settlement_faction	Settlement Abandoned!	true
event_feed_targeted_events_title_conquest_blockade_establishedevent_feed_target_conquest_blockaded_faction	Enemy Blockade Established!	true
event_feed_targeted_events_title_military_army_rank_gainedevent_feed_target_military_force_faction	Military Traditions	true
event_feed_targeted_events_title_conquest_blockade_establishedevent_feed_target_conquest_blockader_faction	Blockade Established	true
event_feed_targeted_events_title_diplomacy_treaty_broken_non_aggression_pactevent_feed_target_diplomacy_actor	Non-aggression Pact Broken	true
event_feed_targeted_events_title_military_ambusher_discovered_yoursevent_feed_target_ambusher_faction	Ambush Foiled	true
event_feed_targeted_events_title_character_dies_executedevent_feed_target_character_faction	Political Assassination	true
event_feed_targeted_events_title_conquest_settlement_capturedevent_feed_target_conquest_captured_from	Settlement Lost!	true
event_feed_targeted_events_title_faction_political_subjectevent_feed_target_dilemma_faction	Matter of State	true
event_feed_targeted_events_title_scripted_transient_eventevent_feed_target_faction	#(title)	true
event_feed_targeted_events_title_diplomacy_faction_encounteredevent_feed_target_diplomacy_faction_1	Faction Encountered	true
event_feed_targeted_events_title_conquest_battleevent_feed_target_conquest_battle_defender	#(battle_info)	true
event_feed_targeted_events_title_diplomacy_treaty_negotiated_defensive_allianceevent_feed_target_diplomacy_recipient	Defensive Alliance Negotiated	true
event_feed_targeted_events_title_diplomacy_treaty_negotiated_soft_military_accessevent_feed_target_diplomacy_actor	Military Access Agreement Negotiated	true
event_feed_targeted_events_title_military_path_blockedevent_feed_target_military_character_faction	Path Blocked!	true
event_feed_targeted_events_title_military_ambusher_discoveredevent_feed_target_discovered_by	Ambusher Discovered	true
event_feed_targeted_events_title_character_dies_suspiciousevent_feed_target_character_faction	Suspicious Death	true
event_feed_targeted_events_title_diplomacy_treaty_negotiated_military_allianceevent_feed_target_diplomacy_recipient	Military Alliance Negotiated	true
event_feed_targeted_events_title_provinces_plague_spreads_force_to_regionevent_feed_target_plague_to_faction	Disease Spreads!	true
event_feed_targeted_events_title_diplomacy_faction_joins_warevent_feed_target_diplomacy_war_faction_2	United We Stand	true
event_feed_targeted_events_title_faction_religion_changeevent_feed_target_faction_known_to	Religious Change	true
event_feed_targeted_events_title_scripted_persistent_located_eventevent_feed_target_faction	#(title)	true
event_feed_targeted_events_title_diplomacy_faction_emergesevent_feed_target_faction_known_to	Faction Emerges	true
event_feed_targeted_events_title_diplomacy_treaty_broken_vassalevent_feed_target_diplomacy_recipient	Puppet State Secedes	true
event_feed_targeted_events_title_diplomacy_war_declaredevent_feed_target_diplomacy_known_to	War Declared	true
event_feed_targeted_events_title_diplomacy_treaty_broken_trade_dissolvedevent_feed_target_diplomacy_recipient	Trade Agreement Dissolved	true
event_feed_targeted_events_title_faction_bankruptcyevent_feed_target_faction	Bankrupt!	true
event_feed_targeted_events_title_faction_campaign_chapter_objective_completeevent_feed_target_mission_faction	Objective Complete	true
event_feed_targeted_events_title_character_dies_in_actionevent_feed_target_character_faction	Killed in the Line of Duty	true
event_feed_targeted_events_title_military_attritionevent_feed_target_military_force_faction	Attrition!	true
event_feed_targeted_events_title_provinces_slumsevent_feed_target_settlement_faction	Slums	true
event_feed_targeted_events_title_diplomacy_treaty_broken_military_alliance_manipulatedevent_feed_target_diplomacy_recipient	Military Alliance Broken	true
event_feed_targeted_events_title_scripted_persistent_eventevent_feed_target_faction	#(title)	true
event_feed_targeted_events_title_provinces_plague_spreads_region_to_regionevent_feed_target_plague_to_faction	Disease Spreads!	true
event_feed_targeted_events_title_provinces_plague_spreads_force_to_forceevent_feed_target_plague_from_faction	Disease Spreads	true
event_feed_targeted_events_title_horde_building_constructedevent_feed_target_building_faction	Construction Complete	true
event_feed_targeted_events_title_faction_campaign_victory_objective_completeevent_feed_target_mission_faction	Victory Objective Complete	true
event_feed_targeted_events_title_agent_action_vs_settlementevent_feed_target_agent_faction	Agent Activity	true
event_feed_targeted_events_title_character_trait_gainedevent_feed_target_character_faction	Trait Gained	true
event_feed_targeted_events_title_agent_action_vs_armyevent_feed_target_target_faction	Hostile Agent Activity!	true
event_feed_targeted_events_title_diplomacy_war_coordination_target_availableevent_feed_target_faction	War Co-ordination	true
event_feed_targeted_events_title_faction_political_ministerial_term_endedevent_feed_target_character_faction	Term of Office	true
event_feed_targeted_events_title_character_born_legitimateevent_feed_target_character_child_faction	Noble Birth	true
event_feed_targeted_events_title_diplomacy_treaty_broken_military_allianceevent_feed_target_diplomacy_actor	Military Alliance Broken	true
event_feed_targeted_events_title_diplomacy_treaty_negotiated_vassalevent_feed_target_diplomacy_actor	Puppet State Established	true
event_feed_targeted_events_title_faction_political_party_power_changeevent_feed_target_party_faction	Balance of Power	true
event_feed_targeted_events_title_conquest_province_contestedevent_feed_target_owner	Province Contested	true
event_feed_targeted_events_title_horde_food_shortage_endsevent_feed_target_military_force_faction	Food Shortage Resolved	true
event_feed_targeted_events_title_faction_event_mission_failedevent_feed_target_mission_faction	Mission Failed	true
event_feed_targeted_events_title_character_rank_gainedevent_feed_target_character_faction	Rank Gained	true
event_feed_targeted_events_title_diplomacy_faction_joins_warevent_feed_target_diplomacy_war_faction_1_b	United Against Us	true
event_feed_targeted_events_title_provinces_plague_spreads_region_to_forceevent_feed_target_plague_from_faction	Disease Spreads	true
event_feed_targeted_events_title_diplomacy_war_coordination_ally_mobilisation_vs_forceevent_feed_target_faction	Ally Mobilises Against Force	true
event_feed_targeted_events_title_provinces_cannot_abandon_settlementevent_feed_target_settlement_faction	Cannot Abandon Settlement	true
event_feed_targeted_events_title_provinces_building_constructedevent_feed_target_building_faction	Construction Complete	true
event_feed_targeted_events_title_diplomacy_treaty_broken_trade_dissolvedevent_feed_target_diplomacy_actor	Trade Agreement Dissolved	true
event_feed_targeted_events_title_diplomacy_treaty_broken_vassalevent_feed_target_diplomacy_actor	Puppet State Granted Independence	true
event_feed_targeted_events_title_faction_famineevent_feed_target_faction	Famine!	true
event_feed_targeted_events_title_provinces_settlement_lootedevent_feed_target_settlement_faction	Settlement Looted!	true
event_feed_targeted_events_title_character_dies_battleevent_feed_target_character_faction	Killed in Battle	true
event_feed_targeted_events_title_diplomacy_treaty_broken_vassal_manipulatedevent_feed_target_diplomacy_recipient	Puppet State Manipulated	true
event_feed_targeted_events_title_military_unit_recruitedevent_feed_target_military_unit_faction	Unit Recruited	true
event_feed_targeted_events_title_conquest_siege_liftedevent_feed_target_conquest_besieger_faction	Military Investment Ended	true
event_feed_targeted_events_title_conquest_siege_liftedevent_feed_target_conquest_besieged_faction	Enemy Military Investment Ended	true
event_feed_targeted_events_title_character_ancillary_gainedevent_feed_target_character_faction	Household Gained	true
event_feed_targeted_events_title_diplomacy_war_coordination_ally_mobilisation_vs_regionevent_feed_target_faction	Ally Mobilises Against Settlement	true
event_feed_targeted_events_title_diplomacy_treaty_negotiated_military_allianceevent_feed_target_diplomacy_actor	Military Alliance Negotiated	true
event_feed_targeted_events_title_faction_campaign_lostevent_feed_target_mission_faction	Defeat!	true
event_feed_targeted_events_title_horde_unrest_imminent_rebellionevent_feed_target_military_force_faction	Mutiny Imminent!	true
event_feed_targeted_events_title_faction_successionevent_feed_target_faction_new_leader_faction	Succession	true
event_feed_targeted_events_title_faction_civil_war_provinceevent_feed_target_faction_instigator_faction	Civil War!	true
event_feed_targeted_events_title_faction_event_mission_issuedevent_feed_target_mission_faction	Mission Issued	true
event_feed_targeted_events_title_conquest_enemy_raid_trade_routeevent_feed_target_raided	Trade Route Raided!	true
event_feed_targeted_events_title_provinces_plague_startsevent_feed_target_region_faction	Disease Outbreak!	true
event_feed_targeted_events_title_diplomacy_war_coordination_target_not_availableevent_feed_target_faction	War Co-ordination	true
event_feed_targeted_events_title_diplomacy_treaty_broken_military_allianceevent_feed_target_diplomacy_recipient	Military Alliance Broken	true
event_feed_targeted_events_title_conquest_sea_region_controlledevent_feed_target_owner	Sea Region Secured	true
event_feed_targeted_events_title_faction_succession_regencyevent_feed_target_faction_new_leader_faction	Regency	true
event_feed_targeted_events_title_provinces_settlement_sackedevent_feed_target_settlement_faction	Settlement Sacked!	true
event_feed_targeted_events_title_faction_civil_war_endsevent_feed_target_faction	Civil War!	true
event_feed_targeted_events_title_faction_imperium_level_increaseevent_feed_target_faction	Imperium	true
event_feed_targeted_events_title_faction_horde_beginsevent_feed_target_faction	The Horde	true
event_feed_targeted_events_title_conquest_settlement_capital_capturedevent_feed_target_conquest_occupier_faction	Settlement Occupied	true
event_feed_targeted_events_title_conquest_settlement_capturedevent_feed_target_conquest_occupier_faction	Settlement Occupied	true
event_feed_targeted_events_title_faction_event_mission_abortedevent_feed_target_mission_faction	Mission Aborted	true
event_feed_targeted_events_title_military_navy_destroyedevent_feed_target_military_force_faction	Navy Lost!	true
event_feed_targeted_events_title_military_army_withdrawsevent_feed_target_military_force_faction	Army Withdraws	true
event_feed_targeted_events_title_agent_discoveredevent_feed_target_discovered_by	Hidden Agent Discovered	true
event_feed_targeted_events_title_faction_heir_nominatedevent_feed_target_character_heir_faction	Heir Nominated	true
event_feed_targeted_events_title_faction_succession_heir_comes_of_ageevent_feed_target_faction_new_leader_faction	Ascent to the Throne	true
