key	text	tooltip
#Loc;1;text/db/famous_battle_pools.loc		
famous_battle_pools_battle_name_8	Battle of Cannae	true
famous_battle_pools_battle_name_9	Battle of Zama	true
famous_battle_pools_battle_name_6	Battle of the Trebia	true
famous_battle_pools_battle_name_7	Battle of Raphia	true
famous_battle_pools_battle_name_4	Battle of Issus	true
famous_battle_pools_battle_name_5	Battle of Gaugamela	true
famous_battle_pools_battle_name_2	Battle of Marathon	true
famous_battle_pools_battle_name_3	Battle of Thermopylae	true
famous_battle_pools_battle_name_1	Battle of Chaeronea	true
famous_battle_pools_battle_name_11	Battle of Pydna	true
famous_battle_pools_battle_name_10	Battle of Carrhae	true
famous_battle_pools_battle_name_13	Battle of Cynoscephalae	true
famous_battle_pools_battle_name_12	Battle of Ipsus	true
