key	text	tooltip
#Loc;1;text/db/military_force_legacy_names.loc		
military_force_legacy_names_localised_name_mk_army_eas_legacy_alexanderatt_sub_cult_barbarian_germanic_west	The Legacy of Rurik	true
military_force_legacy_names_localised_name_cha_navy_gen_holy_seabel_sub_cult_romancha_attila	The Holy Sea	true
military_force_legacy_names_localised_name_att_legacy_roman_west_emperor_furyatt_sub_cult_roman_westmk_attila_late	The Fury of the Emperor	true
military_force_legacy_names_localised_name_cha_army_lom_spirits_enduranceatt_sub_cult_roman_eastcha_attila	The Spirits of Endurance	true
military_force_legacy_names_localised_name_att_legacy_roman_east_pegasus_wingsatt_sub_cult_roman_eastmk_attila_late	The Wings of Pegasus	true
military_force_legacy_names_localised_name_cha_army_mus_fists_cordobaatt_sub_cult_eastern_sassanidcha_attila	The Fists of Cordoba	true
military_force_legacy_names_localised_name_mk_army_eas_protectors_palaceatt_sub_cult_barbarian_germanic_west	Protectors of the Palace	true
military_force_legacy_names_localised_name_att_legacy_barbarian_celtic_cernunos_hornsatt_sub_cult_barbarian_celtic	The Horns of Cernunnos	true
military_force_legacy_names_localised_name_cha_navy_avar_waterbound_survivorsatt_sub_cult_nomadic_sarmatiancha_attila	The Waterbound Survivors	true
military_force_legacy_names_localised_name_cha_navy_mus_cresting_wavesatt_sub_cult_eastern_sassanidcha_attila	The Cresting Waves	true
military_force_legacy_names_localised_name_att_legacy_navy_barbarian_eastern_sassanid_tide_scourgeatt_sub_cult_eastern_sassanidmk_attila_late	The Scourge of the Tides	true
military_force_legacy_names_localised_name_att_legacy_barbarian_germanic_west_sons_of_bearsatt_sub_cult_barbarian_germanic_westmk_attila_late	The Claws of the Bear	true
military_force_legacy_names_localised_name_mk_navy_nom_mad_raidersatt_sub_cult_nomadic_hunnic	The Mad Raiders	true
military_force_legacy_names_localised_name_att_legacy_barbarian_germanic_west_dragonslayersatt_sub_cult_barbarian_germanic_westmk_attila_late	The Slayers	true
military_force_legacy_names_localised_name_att_legacy_navy_barbarian_celtic_oak_ridersatt_sub_cult_barbarian_celtic	The Oak Riders	true
military_force_legacy_names_localised_name_att_legacy_barbarian_celtic_rolling_menhirsatt_sub_cult_barbarian_celtic	The Rolling Menhirs	true
military_force_legacy_names_localised_name_mk_army_ara_heroes_caliphateatt_sub_cult_eastern_desert	The Heroes of the Caliphate	true
military_force_legacy_names_localised_name_mk_legacy_african_navy_fleet_silkatt_sub_cult_eastern_caucasian	The Fleet of Silk	true
military_force_legacy_names_localised_name_cha_army_mus_lions_shahadaatt_sub_cult_eastern_sassanidcha_attila	Lions of the Shahada	true
military_force_legacy_names_localised_name_cha_army_lom_men_gastaldatt_sub_cult_roman_eastcha_attila	Men of the Gastald	true
military_force_legacy_names_localised_name_att_legacy_navy_barbarian_eastern_desert_harbingers_houratt_sub_cult_eastern_desertmk_attila_late	The Harbingers of the Hour	true
military_force_legacy_names_localised_name_mk_army_eas_emperors_vanguardatt_sub_cult_barbarian_germanic_west	The Knyaz's Vanguard	true
military_force_legacy_names_localised_name_mk_army_eas_lights_absolutionatt_sub_cult_barbarian_germanic_west	The Lights of Absolution	true
military_force_legacy_names_localised_name_mk_army_nom_warriors_old_waysatt_sub_cult_nomadic_hunnic	Warriors of the Old Ways	true
military_force_legacy_names_localised_name_att_legacy_nomadic_sarmatian_riders_roughatt_sub_cult_nomadic_sarmatian	The Long Riders	true
military_force_legacy_names_localised_name_cha_army_eng_terror_wessexatt_sub_cult_barbarian_germanic_westcha_attila	The Terror of Wessex	true
military_force_legacy_names_localised_name_mk_army_ara_pride_islamatt_sub_cult_eastern_desert	The Pride of Islam	true
military_force_legacy_names_localised_name_att_legacy_eastern_caucasian_undying_survivorsatt_sub_cult_eastern_caucasianmk_attila_late	The Undying Survivors	true
military_force_legacy_names_localised_name_att_legacy_navy_barbarian_celtic_sea_horsesatt_sub_cult_barbarian_celtic	The Sea Horses	true
military_force_legacy_names_localised_name_mk_army_eas_hunters_heresyatt_sub_cult_eastern_sassanid	The Hunters of Heresy	true
