key	text	tooltip
#Loc;1;text/db/mkscript_dfn_campaign_localised_strings.loc		
campaign_localised_strings_string_mk_fact_achaea_lvl1	Principality of Achaea	true
campaign_localised_strings_string_mk_fact_achaea_lvl2	Kingdom of Achaea	true
campaign_localised_strings_string_mk_fact_achaea_lvl3	Achaean Empire	true
campaign_localised_strings_string_mk_fact_alania_lvl1	Kingdom of Alania	true
campaign_localised_strings_string_mk_fact_alania_lvl2	Kingdom of Alania	true
campaign_localised_strings_string_mk_fact_alania_lvl3	Empire of Alania	true
campaign_localised_strings_string_mk_fact_antioch_lvl1	Principality of Antioch	true
campaign_localised_strings_string_mk_fact_antioch_lvl2	Kingdom of Antioch	true
campaign_localised_strings_string_mk_fact_antioch_lvl3	Empire of Antioch	true
campaign_localised_strings_string_mk_fact_aragon_lvl1	Crown of Aragon	true
campaign_localised_strings_string_mk_fact_aragon_lvl2	Crown of Aragon	true
campaign_localised_strings_string_mk_fact_aragon_lvl3	Aragonese Empire	true
campaign_localised_strings_string_mk_fact_aragon_lvl4	Kingdom of Spain	true
campaign_localised_strings_string_mk_fact_aragon_lvl5	Spanish Empire	true
campaign_localised_strings_string_mk_fact_armenia_lvl1	Kingdom of Cilicia	true
campaign_localised_strings_string_mk_fact_armenia_lvl2	Kingdom of Cilicia	true
campaign_localised_strings_string_mk_fact_armenia_lvl3	Empire of Cilicia	true
campaign_localised_strings_string_mk_fact_armenia_lvl4	Kingdom of Armenia	true
campaign_localised_strings_string_mk_fact_armenia_lvl5	Armenian Empire	true
campaign_localised_strings_string_mk_fact_austria_lvl1	Duchy of Austria	true
campaign_localised_strings_string_mk_fact_austria_lvl2	Kingdom of Austria	true
campaign_localised_strings_string_mk_fact_austria_lvl3	Austrian Empire	true
campaign_localised_strings_string_mk_fact_ayyubids_lvl1	Ayyubid Sultanate	true
campaign_localised_strings_string_mk_fact_ayyubids_lvl2	Ayyubid Sultanate	true
campaign_localised_strings_string_mk_fact_ayyubids_lvl3	Ayyubid Empire	true
campaign_localised_strings_string_mk_fact_bavaria_lvl1	Duchy of Bavaria	true
campaign_localised_strings_string_mk_fact_bavaria_lvl2	Kingdom of Bavaria	true
campaign_localised_strings_string_mk_fact_bavaria_lvl3	Bavarian Empire	true
campaign_localised_strings_string_mk_fact_bohemia_lvl1	Kingdom of Bohemia	true
campaign_localised_strings_string_mk_fact_bohemia_lvl2	Kingdom of Bohemia	true
campaign_localised_strings_string_mk_fact_bohemia_lvl3	Bohemian Empire	true
campaign_localised_strings_string_mk_fact_bologna_lvl1	Commune of Bologna	true
campaign_localised_strings_string_mk_fact_bologna_lvl2	Republic of Bologna	true
campaign_localised_strings_string_mk_fact_bologna_lvl3	Empire of Bologna	true
campaign_localised_strings_string_mk_fact_bologna_lvl4	Kingdom of Italy	true
campaign_localised_strings_string_mk_fact_bologna_lvl5	Italian Empire	true
campaign_localised_strings_string_mk_fact_brabant_lvl1	Duchy of Brabant	true
campaign_localised_strings_string_mk_fact_brabant_lvl2	Kingdom of Brabant	true
campaign_localised_strings_string_mk_fact_brabant_lvl3	Empire of Brabant	true
campaign_localised_strings_string_mk_fact_brandenburg_lvl1	Margraviate of Brandenburg	true
campaign_localised_strings_string_mk_fact_brandenburg_lvl2	Kingdom of Brandenburg	true
campaign_localised_strings_string_mk_fact_brandenburg_lvl3	Empire of Brandenburg	true
campaign_localised_strings_string_mk_fact_bulgaria_lvl1	Tsardom of Bulgaria	true
campaign_localised_strings_string_mk_fact_bulgaria_lvl2	Tsardom of Bulgaria	true
campaign_localised_strings_string_mk_fact_bulgaria_lvl3	Bulgarian Empire	true
campaign_localised_strings_string_mk_fact_burgundy_lvl1	Duchy of Burgundy	true
campaign_localised_strings_string_mk_fact_burgundy_lvl2	Kingdom of Burgundy	true
campaign_localised_strings_string_mk_fact_burgundy_lvl3	Burgundian Empire	true
campaign_localised_strings_string_mk_fact_castile_lvl1	Kingdom of Castile	true
campaign_localised_strings_string_mk_fact_castile_lvl2	Kingdom of Castile	true
campaign_localised_strings_string_mk_fact_castile_lvl3	Castilian Empire	true
campaign_localised_strings_string_mk_fact_castile_lvl4	Kingdom of Spain	true
campaign_localised_strings_string_mk_fact_castile_lvl5	Spanish Empire	true
campaign_localised_strings_string_mk_fact_chernigov_lvl1	Grand Knyazate of Chernigov	true
campaign_localised_strings_string_mk_fact_chernigov_lvl2	Grand Knyazate of Chernigov	true
campaign_localised_strings_string_mk_fact_chernigov_lvl3	Empire of Chernigov	true
campaign_localised_strings_string_mk_fact_croatia_lvl1	Kingdom of Croatia	true
campaign_localised_strings_string_mk_fact_croatia_lvl2	Kingdom of Croatia	true
campaign_localised_strings_string_mk_fact_croatia_lvl3	Empire of Croatia	true
campaign_localised_strings_string_mk_fact_cumans_lvl1	Cuman-Kipchak Confederacy	true
campaign_localised_strings_string_mk_fact_cumans_lvl2	Cuman-Kipchak Confederacy	true
campaign_localised_strings_string_mk_fact_cumans_lvl3	Cuman-Kipchak Empire	true
campaign_localised_strings_string_mk_fact_dauphine_lvl1	Dauphiné of Viennois	true
campaign_localised_strings_string_mk_fact_dauphine_lvl2	Kingdom of Dauphiné	true
campaign_localised_strings_string_mk_fact_dauphine_lvl3	Empire of Dauphiné	true
campaign_localised_strings_string_mk_fact_denmark_lvl1	Kingdom of Denmark	true
campaign_localised_strings_string_mk_fact_denmark_lvl2	Kingdom of Denmark	true
campaign_localised_strings_string_mk_fact_denmark_lvl3	Danish Empire	true
campaign_localised_strings_string_mk_fact_england_lvl1	Kingdom of England	true
campaign_localised_strings_string_mk_fact_england_lvl2	Kingdom of England	true
campaign_localised_strings_string_mk_fact_england_lvl3	English Empire	true
campaign_localised_strings_string_mk_fact_epirus_lvl3	Empire of Epirus	true
campaign_localised_strings_string_mk_fact_epirus_lvl4	Byzantine Empire	true
campaign_localised_strings_string_mk_fact_epirus_lvl5	Roman Empire	true
campaign_localised_strings_string_mk_fact_flanders_lvl1	County of Flanders	true
campaign_localised_strings_string_mk_fact_flanders_lvl2	Kingdom of Flanders	true
campaign_localised_strings_string_mk_fact_flanders_lvl3	Empire of Flanders	true
campaign_localised_strings_string_mk_fact_france_lvl1	Kingdom of France	true
campaign_localised_strings_string_mk_fact_france_lvl2	Kingdom of France	true
campaign_localised_strings_string_mk_fact_france_lvl3	French Empire	true
campaign_localised_strings_string_mk_fact_friesland_lvl1	Upstalsboom League	true
campaign_localised_strings_string_mk_fact_friesland_lvl2	Upstalsboom League	true
campaign_localised_strings_string_mk_fact_friesland_lvl3	Empire of the Netherlands	true
campaign_localised_strings_string_mk_fact_genoa_lvl1	Republic of Genoa	true
campaign_localised_strings_string_mk_fact_genoa_lvl2	Republic of Genoa	true
campaign_localised_strings_string_mk_fact_genoa_lvl3	Genoese Empire	true
campaign_localised_strings_string_mk_fact_genoa_lvl4	Kingdom of Italy	true
campaign_localised_strings_string_mk_fact_genoa_lvl5	Italian Empire	true
campaign_localised_strings_string_mk_fact_georgia_lvl1	Kingdom of Georgia	true
campaign_localised_strings_string_mk_fact_georgia_lvl2	Kingdom of Georgia	true
campaign_localised_strings_string_mk_fact_georgia_lvl3	Empire of Georgia	true
campaign_localised_strings_string_mk_fact_ghurids_lvl1	Ghurid Sultanate	true
campaign_localised_strings_string_mk_fact_ghurids_lvl2	Ghurid Sultanate	true
campaign_localised_strings_string_mk_fact_ghurids_lvl3	Ghurid Empire	true
campaign_localised_strings_string_mk_fact_ghurids_lvl4	Persian Empire	true
campaign_localised_strings_string_mk_fact_goldenhorde_lvl3	Ulus of Jochi	true
campaign_localised_strings_string_mk_fact_goldenhorde_lvl5	Golden Horde	true
campaign_localised_strings_string_mk_fact_greaterpoland_lvl1	Duchy of Greater Poland	true
campaign_localised_strings_string_mk_fact_greaterpoland_lvl2	Kingdom of Poland	true
campaign_localised_strings_string_mk_fact_greaterpoland_lvl3	Polish Empire	true
campaign_localised_strings_string_mk_fact_hafsids_lvl1	Hafsid Sultanate	true
campaign_localised_strings_string_mk_fact_hafsids_lvl2	Hafsid Sultanate	true
campaign_localised_strings_string_mk_fact_hafsids_lvl3	Hafsid Empire	true
campaign_localised_strings_string_mk_fact_halych_lvl1	Grand Knyazate of Halych-Volhynia	true
campaign_localised_strings_string_mk_fact_halych_lvl2	Grand Knyazate of Halych-Volhynia	true
campaign_localised_strings_string_mk_fact_halych_lvl3	Empire of Halych-Volhynia	true
campaign_localised_strings_string_mk_fact_hazaraspids_lvl1	Hazaraspid Atabegate	true
campaign_localised_strings_string_mk_fact_hazaraspids_lvl2	Hazaraspid Shahdom	true
campaign_localised_strings_string_mk_fact_hazaraspids_lvl3	Hazaraspid Empire	true
campaign_localised_strings_string_mk_fact_hazaraspids_lvl4	Persian Empire	true
campaign_localised_strings_string_mk_fact_hre_lvl3	Holy Roman Empire	true
campaign_localised_strings_string_mk_fact_hre_non_emperor	County of Brunswick	true
campaign_localised_strings_string_mk_fact_hungary_lvl1	Kingdom of Hungary	true
campaign_localised_strings_string_mk_fact_hungary_lvl2	Kingdom of Hungary	true
campaign_localised_strings_string_mk_fact_hungary_lvl3	Hungarian Empire	true
campaign_localised_strings_string_mk_fact_ildegizids_lvl1	Ildegizid Atabegate	true
campaign_localised_strings_string_mk_fact_ildegizids_lvl2	Ildegizid Shahdom	true
campaign_localised_strings_string_mk_fact_ildegizids_lvl3	Ildegizid Empire	true
campaign_localised_strings_string_mk_fact_ildegizids_lvl4	Persian Empire	true
campaign_localised_strings_string_mk_fact_ilkhanate_lvl3	Ulus of Tolui	true
campaign_localised_strings_string_mk_fact_ilkhanate_lvl5	Ilkhanate	true
campaign_localised_strings_string_mk_fact_ireland_lvl1	Kingdom of Connacht	true
campaign_localised_strings_string_mk_fact_ireland_lvl2	Kingdom of Connacht	true
campaign_localised_strings_string_mk_fact_ireland_lvl3	Irish Empire	true
campaign_localised_strings_string_mk_fact_jerusalem_lvl1	Kingdom of Jerusalem & Cyprus	true
campaign_localised_strings_string_mk_fact_jerusalem_lvl2	Kingdom of Jerusalem & Cyprus	true
campaign_localised_strings_string_mk_fact_jerusalem_lvl3	Empire of Outremer	true
campaign_localised_strings_string_mk_fact_kiev_lvl1	Grand Knyazate of Kiev	true
campaign_localised_strings_string_mk_fact_kiev_lvl2	Grand Knyazate of Kiev	true
campaign_localised_strings_string_mk_fact_kiev_lvl3	Empire of Kiev	true
campaign_localised_strings_string_mk_fact_lesserpoland_lvl2	Kingdom of Poland	true
campaign_localised_strings_string_mk_fact_lesserpoland_lvl3	Polish Empire	true
campaign_localised_strings_string_mk_fact_lithuania_lvl1	Grand Duchy of Lithuania	true
campaign_localised_strings_string_mk_fact_lithuania_lvl2	Kingdom of Lithuania	true
campaign_localised_strings_string_mk_fact_lithuania_lvl3	Lithuanian Empire	true
campaign_localised_strings_string_mk_fact_lorraine_lvl1	Duchy of Lorraine	true
campaign_localised_strings_string_mk_fact_lorraine_lvl2	Kingdom of Lorraine	true
campaign_localised_strings_string_mk_fact_lorraine_lvl3	Empire of Lorraine	true
campaign_localised_strings_string_mk_fact_makuria_lvl1	Kingdom of Makuria	true
campaign_localised_strings_string_mk_fact_makuria_lvl2	Kingdom of Makuria	true
campaign_localised_strings_string_mk_fact_makuria_lvl3	Empire of Makuria	true
campaign_localised_strings_string_mk_fact_marinids_lvl1	Marinid Sultanate	true
campaign_localised_strings_string_mk_fact_marinids_lvl2	Marinid Sultanate	true
campaign_localised_strings_string_mk_fact_marinids_lvl3	Marinid Empire	true
campaign_localised_strings_string_mk_fact_mecca_lvl1	Sharifate of Mecca	true
campaign_localised_strings_string_mk_fact_mecca_lvl2	Sharifate of Mecca	true
campaign_localised_strings_string_mk_fact_mecca_lvl3	Sharifate of Mecca	true
campaign_localised_strings_string_mk_fact_milan_lvl1	Commune of Milan	true
campaign_localised_strings_string_mk_fact_milan_lvl2	Kingdom of Lombardy	true
campaign_localised_strings_string_mk_fact_milan_lvl3	Lombard Empire	true
campaign_localised_strings_string_mk_fact_milan_lvl4	Kingdom of Italy	true
campaign_localised_strings_string_mk_fact_milan_lvl5	Italian Empire	true
campaign_localised_strings_string_mk_fact_muscovy_lvl1	Grand Knyazate of Muscovy	true
campaign_localised_strings_string_mk_fact_muscovy_lvl2	Grand Knyazate of Muscovy	true
campaign_localised_strings_string_mk_fact_muscovy_lvl3	Muscovite Empire	true
campaign_localised_strings_string_mk_fact_naples_lvl1	Kingdom of Naples	true
campaign_localised_strings_string_mk_fact_naples_lvl2	Kingdom of Naples	true
campaign_localised_strings_string_mk_fact_naples_lvl3	Neapolitan Empire	true
campaign_localised_strings_string_mk_fact_naples_lvl4	Kingdom of Italy	true
campaign_localised_strings_string_mk_fact_naples_lvl5	Italian Empire	true
campaign_localised_strings_string_mk_fact_navarre_lvl1	Kingdom of Navarre	true
campaign_localised_strings_string_mk_fact_navarre_lvl2	Kingdom of Navarre	true
campaign_localised_strings_string_mk_fact_navarre_lvl3	Empire of Navarre	true
campaign_localised_strings_string_mk_fact_navarre_lvl4	Kingdom of Spain	true
campaign_localised_strings_string_mk_fact_navarre_lvl5	Spanish Empire	true
campaign_localised_strings_string_mk_fact_nicaea_lvl3	Empire of Nicaea	true
campaign_localised_strings_string_mk_fact_nicaea_lvl4	Byzantine Empire	true
campaign_localised_strings_string_mk_fact_nicaea_lvl5	Roman Empire	true
campaign_localised_strings_string_mk_fact_norway_lvl1	Kingdom of Norway	true
campaign_localised_strings_string_mk_fact_norway_lvl2	Kingdom of Norway	true
campaign_localised_strings_string_mk_fact_norway_lvl3	Norwegian Empire	true
campaign_localised_strings_string_mk_fact_oman_lvl1	Malikate of Oman	true
campaign_localised_strings_string_mk_fact_oman_lvl2	Malikate of Oman	true
campaign_localised_strings_string_mk_fact_oman_lvl3	Empire of Oman	true
campaign_localised_strings_string_mk_fact_ottoman_lvl1	Ottoman Sultanate	true
campaign_localised_strings_string_mk_fact_ottoman_lvl2	Ottoman Sultanate	true
campaign_localised_strings_string_mk_fact_ottoman_lvl3	Ottoman Empire	true
campaign_localised_strings_string_mk_fact_pisa_lvl1	Republic of Pisa	true
campaign_localised_strings_string_mk_fact_pisa_lvl2	Republic of Pisa	true
campaign_localised_strings_string_mk_fact_pisa_lvl3	Empire of Pisa	true
campaign_localised_strings_string_mk_fact_pisa_lvl4	Kingdom of Italy	true
campaign_localised_strings_string_mk_fact_pisa_lvl5	Italian Empire	true
campaign_localised_strings_string_mk_fact_pomerania_lvl1	Duchy of Pomerania	true
campaign_localised_strings_string_mk_fact_pomerania_lvl2	Kingdom of Pomerania	true
campaign_localised_strings_string_mk_fact_pomerania_lvl3	Pomeranian Empire	true
campaign_localised_strings_string_mk_fact_portugal_lvl2	Kingdom of Portugal	true
campaign_localised_strings_string_mk_fact_portugal_lvl3	Portuguese Empire	true
campaign_localised_strings_string_mk_fact_provence_lvl1	County of Provence	true
campaign_localised_strings_string_mk_fact_provence_lvl2	Kingdom of Provence	true
campaign_localised_strings_string_mk_fact_provence_lvl3	Empire of Provence	true
