key	text	tooltip
#Loc;1;text/db/provinces.loc		
provinces_onscreen_cha_prov_munster	Munster	true
provinces_onscreen_bel_prov_gallaecia	Gallaecia	true
provinces_onscreen_cha_prov_alemannia	Alemannia	true
provinces_onscreen_att_prov_sarmatia_asiatica	Khazaria	true
provinces_onscreen_att_prov_belgica	Lotharingia	true
provinces_onscreen_cha_prov_navarre	Navarre	true
provinces_onscreen_cha_prov_franconia	Franconia	true
provinces_onscreen_att_prov_gallaecia	Leon	true
provinces_onscreen_cha_prov_exarchate	Exarchate	true
provinces_onscreen_bel_prov_aquitaine	Aquitaine	true
provinces_onscreen_att_prov_cilicia	Cilicia	true
provinces_onscreen_att_prov_liguria	Lombardia	true
provinces_onscreen_cha_prov_obodrites	Obodrites	true
provinces_onscreen_bel_prov_lusitania	Lusitania	true
provinces_onscreen_att_prov_thracia	Thracia	true
provinces_onscreen_cha_prov_carinthia	Carinthia	true
provinces_onscreen_bel_prov_tuscia_et_umbria	Tuscia et Umbria	true
provinces_onscreen_att_prov_baetica	Andalusia	true
provinces_onscreen_att_prov_aethiopia	Aethiopia	true
provinces_onscreen_mk_prov_colonia_agrippina	Brabant	true
provinces_onscreen_att_prov_khwarasan	Khorasan	true
provinces_onscreen_att_prov_aquitania	Aquitania	true
provinces_onscreen_att_prov_lusitania	Lusitania	true
provinces_onscreen_att_prov_venetia	Romagna	true
provinces_onscreen_att_prov_maxima_sequanorum	Alamannia	true
provinces_onscreen_cha_prov_east_aquitaine	East Aquitaine	true
provinces_onscreen_cha_prov_croatia	Croatia	true
provinces_onscreen_cha_prov_jutland	Jutland	true
provinces_onscreen_att_prov_macedonia	Achaia	true
provinces_onscreen_att_prov_raetia_et_noricum	Bavaria	true
provinces_onscreen_bel_prov_mauretania_caesariensis	Mauretania Caesariensis	true
provinces_onscreen_bel_prov_zeugitana	Zeugitana	true
provinces_onscreen_att_prov_scythia	Itil	true
provinces_onscreen_cha_prov_sicilia	Sicilia	true
provinces_onscreen_cha_prov_benevento	Benevento	true
provinces_onscreen_cha_prov_bohemia	Bohemia	true
provinces_onscreen_cha_prov_moravia	Moravia	true
provinces_onscreen_cha_prov_west_aquitaine	West Aquitaine	true
provinces_onscreen_cha_prov_austrasia	Austrasia	true
provinces_onscreen_att_prov_osroene	Assyria	true
provinces_onscreen_cha_prov_bavaria	Bavaria	true
provinces_onscreen_bel_prov_cantabria	Cantabria	true
provinces_onscreen_bel_prov_austrasia	Austrasia	true
provinces_onscreen_bel_prov_liguria	Liguria	true
provinces_onscreen_bel_prov_sicilia	Sicilia	true
provinces_onscreen_att_prov_sarmatia_europaea	Sarmatia	true
provinces_onscreen_att_prov_scandza	Scandinavia	true
provinces_onscreen_cha_prov_gascony	Gascony	true
provinces_onscreen_bel_prov_baetica	Baetica	true
provinces_onscreen_att_prov_armenia	Armenia	true
provinces_onscreen_bel_prov_burgundy	Burgundy	true
provinces_onscreen_cha_prov_burgundy	Burgundy	true
provinces_onscreen_mk_prov_brigantium	Galicia	true
provinces_onscreen_mk_prov_augusta_treverorum	Lower Lorraine	true
provinces_onscreen_mk_prov_londinium	Sussex	true
provinces_onscreen_mk_prov_caralis	Sardinia	true
provinces_onscreen_mk_prov_yathrib	Hijaz	true
provinces_onscreen_mk_prov_savaria	Pannonia	true
provinces_onscreen_mk_prov_asturica	Leon	true
provinces_onscreen_mk_prov_mediolanum	Lombardy	true
provinces_onscreen_bel_prov_byzacena	Byzacena	true
provinces_onscreen_mk_prov_uburzis	Swabia	true
provinces_onscreen_mk_prov_trapezus	Pontus	true
provinces_onscreen_mk_prov_avaricum	Auvergne	true
provinces_onscreen_mk_prov_aelia_capitolina	Palestine	true
provinces_onscreen_mk_prov_carthago	Tunis	true
provinces_onscreen_mk_prov_lupfurdum	Neumark	true
provinces_onscreen_att_prov_frisia	Saxonia	true
provinces_onscreen_att_prov_aegyptus	Misr	true
provinces_onscreen_mk_prov_lugdunum	Lyonnais	true
provinces_onscreen_mk_prov_dimmidi	Biskra	true
provinces_onscreen_mk_prov_corduba	Cordoba	true
provinces_onscreen_mk_prov_ra	Lower Volga	true
provinces_onscreen_cha_prov_wessex	Wessex	true
provinces_onscreen_bel_prov_novempopulania	Novempopulania	true
provinces_onscreen_mk_prov_segusio	Savoy	true
provinces_onscreen_mk_prov_cyzicus	Mysia	true
provinces_onscreen_mk_prov_cydamus	Ghadames	true
provinces_onscreen_mk_prov_ravenna	Romagna	true
provinces_onscreen_cha_prov_toledo	Toledo	true
provinces_onscreen_att_prov_carthaginensis	Castella Nova	true
provinces_onscreen_att_prov_makran	Makran o Sistan	true
provinces_onscreen_cha_prov_ulster	Ulster	true
provinces_onscreen_mk_prov_sopianae	Alfold	true
provinces_onscreen_mk_prov_berenice	Red Sea	true
provinces_onscreen_mk_prov_moramar	Ryazanshina	true
provinces_onscreen_mk_prov_bolghar	Volga-Bulgaria	true
provinces_onscreen_mk_prov_gortyna	Crete	true
provinces_onscreen_mk_prov_constantia	Cyprus	true
provinces_onscreen_att_prov_africa	Ifriqiya	true
provinces_onscreen_mk_prov_bracara	Portucale	true
provinces_onscreen_mk_prov_nisibis	Ninawa	true
provinces_onscreen_mk_prov_turonum	Ile-de-France	true
provinces_onscreen_mk_prov_iuvavum	Austria	true
provinces_onscreen_bel_prov_neustria	Neustria	true
provinces_onscreen_cha_prov_saxony	Saxony	true
provinces_onscreen_att_prov_caucasia	Caucasia	true
provinces_onscreen_mk_prov_aquileia	Veneto	true
provinces_onscreen_mk_prov_rotomagus	Normandy	true
provinces_onscreen_mk_prov_caesarea_eusebia	Cappadocia	true
provinces_onscreen_mk_prov_abarshahr	Golestan	true
provinces_onscreen_mk_prov_octodurus	Switzerland	true
provinces_onscreen_mk_prov_segontium	Cymru	true
provinces_onscreen_att_prov_italia	Italia	true
provinces_onscreen_att_prov_bithynia	Bithynia	true
provinces_onscreen_mk_prov_fiorentia	Tuscany	true
provinces_onscreen_mk_prov_kariskos	Severia	true
provinces_onscreen_mk_prov_tarraco	Catalonia	true
provinces_onscreen_mk_prov_ascaucalis	Greater Poland	true
provinces_onscreen_mk_prov_vesontio	Burgundy	true
provinces_onscreen_mk_prov_ctesiphon	Al-Iraq	true
provinces_onscreen_mk_prov_hispalis	Andalusia	true
provinces_onscreen_mk_prov_casurgis	Bohemia	true
provinces_onscreen_mk_prov_corinthus	Achaia	true
provinces_onscreen_mk_prov_ephesus	Lydia	true
provinces_onscreen_mk_prov_eboracum	Northumbria	true
provinces_onscreen_att_prov_mediterraneus_orientalis	Insulae Orientalis	true
provinces_onscreen_att_prov_media_atropatene	Atharbaijan	true
provinces_onscreen_att_prov_germania	Franconia	true
provinces_onscreen_cha_prov_gharb_al_andalus	Gharb Al-Andalus	true
provinces_onscreen_att_prov_dardania	Balcania	true
provinces_onscreen_att_prov_hercynia	Bohemia et Hungaria	true
provinces_onscreen_cha_prov_swabia	Swabia	true
provinces_onscreen_mk_prov_harmosia	Hormuzgan	true
provinces_onscreen_mk_prov_palteskja	Lithuania	true
provinces_onscreen_mk_prov_ganzaga	Azarbaijan	true
provinces_onscreen_mk_prov_domavia	Raska	true
provinces_onscreen_mk_prov_serdica	Western Moesia	true
provinces_onscreen_mk_prov_antiochia	Antioch	true
