key	text	tooltip
#Loc;1;text/db/region_economics_factors.loc		
region_economics_factors_positive_tooltip_metsuke_bonus_gdp	text_rejected	true
region_economics_factors_positive_tooltip_trade_commodity_coffee_gdp	text_rejected	true
region_economics_factors_positive_tooltip_trade_commodity_sugar_gdp	Sugar Exports	true
region_economics_factors_positive_tooltip_trade_commodity_cotton_gdp	text_rejected	true
region_economics_factors_positive_tooltip_trade_commodity_tobacco_gdp	Tobacco Exports	true
region_economics_factors_positive_tooltip_trade_commodity_spices_gdp	Spice Exports	true
region_economics_factors_positive_tooltip_trade_commodity_furs_gdp	Fur Exports	true
region_economics_factors_positive_tooltip_mine_gdp	Mining	true
region_economics_factors_positive_tooltip_trade_commodity_sho_medicine_gdp	Spice Trade	true
region_economics_factors_positive_tooltip_base_gdp	Subsistence Agriculture	true
region_economics_factors_positive_tooltip_port_gdp	Port	true
region_economics_factors_positive_tooltip_farm_gdp	Farming	true
region_economics_factors_positive_tooltip_town_wealth	text_rejected	true
region_economics_factors_positive_tooltip_trade_commodity_sho_iron_gdp	Iron Mines	true
region_economics_factors_positive_tooltip_trade_commodity_sho_wood_gdp	Lumber Trade	true
region_economics_factors_positive_tooltip_trade_commodity_sho_silk_gdp	Silk Trade	true
region_economics_factors_positive_tooltip_industry_gdp	Industry	true
region_economics_factors_positive_tooltip_trade_commodity_sho_stone_gdp	Stone Production	true
region_economics_factors_positive_tooltip_trade_commodity_sho_crafts_gdp	Crafts Trade	true
region_economics_factors_positive_tooltip_trade_commodity_tea_gdp	Tea Exports	true
region_economics_factors_positive_tooltip_trade_commodity_sho_horses_gdp	Horse Trade	true
region_economics_factors_positive_tooltip_trade_commodity_sho_cotton_gdp	Cotton Trade	true
