key	text	tooltip
#Loc;1;text/db/region_groups.loc		
region_groups_localised_name_roman_legacy_generic_herculia	Herculia	true
region_groups_localised_name_roman_legacy_specific_armeniaca	Armeniaca	true
region_groups_localised_name_roman_legacy_specific_cyrenaica	Cyrenaica	true
region_groups_localised_name_roman_legacy_specific_syriaca	Syriaca	true
region_groups_localised_name_roman_legacy_specific_britannica	Britannica	true
region_groups_localised_name_roman_legacy_generic_fulminata	Fulminata	true
region_groups_localised_name_roman_legacy_specific_seleucena	Seleucena	true
region_groups_localised_name_roman_legacy_specific_italica	Italica	true
region_groups_localised_name_roman_legacy_specific_pannonica	Pannonica	true
region_groups_localised_name_roman_legacy_specific_arabica	Arabica	true
region_groups_localised_name_roman_legacy_specific_aegypta	Aegyptia	true
region_groups_localised_name_roman_legacy_generic_fretensis	Fretensis	true
region_groups_localised_name_roman_legacy_specific_aethiopica	Aethiopica	true
region_groups_localised_name_roman_legacy_specific_macedonica	Macedonica	true
region_groups_localised_name_roman_legacy_generic_apollinaris	Apollinaris	true
region_groups_localised_name_roman_legacy_specific_sarmatica	Sarmatica	true
region_groups_localised_name_roman_legacy_specific_germanica	Germanica	true
region_groups_localised_name_roman_legacy_specific_moesica	Moesica	true
region_groups_localised_name_roman_legacy_navy_specific_britannica	Britannica	true
region_groups_localised_name_roman_legacy_specific_pontica	Pontica	true
region_groups_localised_name_roman_legacy_specific_aquitanica	Aquitanica	true
region_groups_localised_name_roman_legacy_generic_vulcania	Vulcania	true
region_groups_localised_name_roman_legacy_specific_hispana	Hispana	true
region_groups_localised_name_roman_legacy_generic_minervia	Minervia	true
region_groups_localised_name_roman_legacy_specific_bactriana	Bactriana	true
region_groups_localised_name_roman_legacy_specific_persica	Persica	true
region_groups_localised_name_roman_legacy_navy_specific_misenensis	Misenensis	true
region_groups_localised_name_roman_legacy_specific_belgica	Belgica	true
region_groups_localised_name_roman_legacy_generic_adiutrix	Adiutrix	true
region_groups_localised_name_roman_legacy_specific_noricorum	Noricorum	true
region_groups_localised_name_roman_legacy_generic_equestris	Equestris	true
region_groups_localised_name_roman_legacy_specific_gallica	Gallica	true
region_groups_localised_name_roman_legacy_generic_primigenia	Primigenia	true
region_groups_localised_name_roman_legacy_specific_illyrica	Illyrica	true
region_groups_localised_name_roman_legacy_generic_liberatrix	Liberatrix	true
region_groups_localised_name_roman_legacy_specific_scythica	Scythica	true
region_groups_localised_name_roman_legacy_navy_specific_alexandrina	Alexandrina	true
region_groups_localised_name_roman_legacy_specific_africana	Africana	true
region_groups_localised_name_roman_legacy_specific_caucasia	Caucasia	true
region_groups_localised_name_roman_legacy_specific_parthica	Parthica	true
region_groups_localised_name_roman_legacy_specific_thracica	Thracica	true
region_groups_localised_name_roman_legacy_navy_specific_carpathia	Carpathia	true
region_groups_localised_name_roman_legacy_navy_specific_venetum	Venetum	true
region_groups_localised_name_roman_legacy_navy_specific_perinthia	Perinthia	true
region_groups_localised_name_roman_legacy_generic_martia	Martia	true
region_groups_localised_name_roman_legacy_navy_specific_atlantica	Atlantica	true
region_groups_localised_name_roman_legacy_generic_gemina	Gemina	true
region_groups_localised_name_roman_legacy_navy_specific_rhodani	Rhodani	true
region_groups_localised_name_roman_legacy_generic_dialis	Dialis	true
region_groups_localised_name_roman_legacy_specific_dacica	Dacica	true
region_groups_localised_name_roman_legacy_navy_specific_ravennas	Ravennas	true
region_groups_localised_name_roman_legacy_specific_graeca	Graeca	true
region_groups_localised_name_roman_legacy_generic_antiqua	Antiqua	true
region_groups_localised_name_roman_legacy_generic_invicta	Invicta	true
region_groups_localised_name_roman_legacy_specific_alpina	Alpina	true
region_groups_localised_name_roman_legacy_specific_libyca	Libyca	true
region_groups_localised_name_roman_legacy_specific_asiana	Asiana	true
region_groups_localised_name_roman_legacy_specific_mauretanica	Mauretanica	true
region_groups_localised_name_roman_legacy_generic_ferrata	Ferrata	true
region_groups_localised_name_roman_legacy_specific_caspia	Caspia	true
region_groups_localised_name_roman_legacy_specific_indica	Indica	true
region_groups_localised_name_roman_legacy_generic_alaudae	Alaudae	true
region_groups_localised_name_roman_legacy_generic_rapax	Rapax	true
region_groups_localised_name_roman_legacy_generic_veneria	Veneria	true
region_groups_localised_name_roman_legacy_navy_specific_anderetianorum	Anderetianorum	true
region_groups_localised_name_roman_legacy_generic_iovia	Iovia	true
region_groups_localised_name_roman_legacy_navy_specific_sambrica	Sambrica	true
region_groups_localised_name_roman_legacy_generic_augusta	Augusta	true
region_groups_localised_name_roman_legacy_generic_fidelis	Fidelis	true
region_groups_localised_name_roman_legacy_generic_victrix	Victrix	true
region_groups_localised_name_roman_legacy_generic_concordialis	Concordialis	true
