key	text	tooltip
#Loc;1;text/db/scripted_subtitles.loc		
scripted_subtitles_localised_text_Att.Pro.Olbia.Intro_01	AD370	true
scripted_subtitles_localised_text_Att.Pro.Olbia.Intro_02	Olbia, on the Black Sea coast, is the principle settlement of the Visigothic people.	true
scripted_subtitles_localised_text_Att.Pro.Olbia.Intro_03	The Visigothic soldiers are on full alert. The latest battle of a long civil war is looming.	true
scripted_subtitles_localised_text_Att.Pro.Olbia.Intro_04	The Ostrogoths, a rival faction of the Gothic peoples, are attacking once again.	true
scripted_subtitles_localised_text_Att.Pro.Olbia.Intro_05	Olbia's defences must hold against the Ostrogoth attack if the Visigoths are to survive.	true
scripted_subtitles_localised_text_Att.Pro.Olbia.First_Hunnic_Attack_01	Chieftain, another attack has been sighted!	true
scripted_subtitles_localised_text_Att.Pro.Olbia.Ostrogoth_Victory_01	The Ostrogoths run for their lives! Victory is ours!	true
scripted_subtitles_localised_text_Att.HB.UT.Intro_04	The Roman general Arnegisclus has amassed a great force in an effort to stop Attila.	true
scripted_subtitles_localised_text_Att.HB.UT.Intro_05	The two armies meet in combat on the banks of the Utus river.	true
scripted_subtitles_localised_text_Att.HB.UT.Intro_01	AD447	true
scripted_subtitles_localised_text_Att.HB.UT.Intro_02	Hostilities have been declared between the Huns and the Eastern Roman Empire following the cancellation of an annual tribute of gold.	true
scripted_subtitles_localised_text_Att.HB.UT.Intro_03	The Hunnic king Attila and his army have stormed the Balkan regions that belong to the Eastern Empire.	true
scripted_subtitles_localised_text_Att.HB.CP.Intro_04	The Romans have found an unlikely ally in the form of Theodoric I, King of the Visigoths.	true
scripted_subtitles_localised_text_Att.HB.CP.Intro_05	Intercepting Attila on the Catalaunian Plains, the two sides meet in battle.	true
scripted_subtitles_localised_text_Att.HB.CP.Intro_01	20th June, AD451	true
scripted_subtitles_localised_text_Att.HB.CP.Intro_02	Attila the Hun has begun storming through Gaul, sacking numerous towns.	true
scripted_subtitles_localised_text_Att.HB.CP.Intro_03	Fearing an attack on Northen Italy, Magister Militum Flavius Aetius has mustered an army in an effort to resist the Hunnic advance.	true
scripted_subtitles_localised_text_Att.HB.FR.Intro_04	Theodosius' legions are bolstered by his Visigothic allies, led by their chieftain Alaric.	true
scripted_subtitles_localised_text_Att.HB.FR.Intro_05	The two sides finally clash on the banks of Frigidus River. The future of the Empire will be decided on this battlefield.	true
scripted_subtitles_localised_text_Att.HB.FR.Intro_01	6th September, AD394	true
scripted_subtitles_localised_text_Att.HB.FR.Intro_02	Pagan-sympathiser Eugenius, leader of the Western Empire, contests the Christianisation of Rome.	true
scripted_subtitles_localised_text_Att.HB.FR.Intro_03	The Eastern Emperor Theodosius I, a devout Christian, has marched an army from the East to challenge Eugenius.	true
