key	text	tooltip
#Loc;1;text/db/technologies.loc		
technologies_long_description_cha_frank_civil_judicial_power	Charlemagne's revisions to the Frankish legal system in AD780 established the position of 'scabini' - the basis for the modern legal position of 'assessor', the assistant and counsel to a judge or magistrate in most central and northern European countries. Each court was represented by seven scabini, who were, in essence, legal encyclopaedias, theoretically possessing all there was to know about Frankish and Salic law between them. These men were held in particularly high esteem and reported directly to the judge or, in many cases, passed judgement themselves based on their understanding of legal precedents. Carolingian law also forbade judges, in a bizarrely obvious move, from accepting bribes and told them to make decisions based solely on evidence and inquest. They were also to keep with them at all times a copy of the 'Lex Ripuara' -  a collection of Germanic law and the basis and inspiration for the later 'Lex Salica'.	true
technologies_onscreen_name_att_slav_civil_elite_dominance_sclaveni	Elite Dominance	true
technologies_long_description_att_eastern_civil_systemised_laws_and_taxation	Administrative and economic reform was difficult for the Shahanshah in the early days of the Sassanid empire, as the powerful noble dynasties, vying for personal power, created too much pressure to allow stable long-term reforms to take place. This allowed problems with taxation and the economy to become entrenched and stagnate. The revolt of Mazdak, however, shattered the socio-economic system of the country and entirely crushed the power of the nobility. Seizing the chance, the Shahanshah immediately put down the revolt and took control of Persia, now free of the noble's stranglehold. He implemented sweeping reforms, creating a system of administrative districts and laws, and systemised taxes and imposts in the way the house of Sassan had envisioned.	true
technologies_long_description_mk_orth_military_case_hardened_plates	placeholder	true
technologies_long_description_att_roman_east_civil_state_monopolies	The Eastern Roman Empire, at its peak, covered roughly 1.3 million square kilometres. The diversity of climates spanning the vast Imperial holdings ranged from Mediterranean warmth to frigid Balkan forestry, and with this came a wide variety of agricultural output. Wheat was the primary crop, being grown across the majority of the Empire, but also barley, rye and oats - especially in more northern, arid locales. Luxury items, such as olives and wine, were the key financial crops and brought in the most money. The discovery of numerous, tiny pockets of soil in the Syrian massif regions is indicative of a specialised industry there, dedicated to the cultivation and production of olives, much like the specialist vineyards scattered across the Empire. The diversity of the crops grown was used both internally and externally, sustaining both Rome and her people as well as being transported, when possible, to trading partners. As well as Empire-wide and international distribution, evidence suggests that the Near East was also a hub for prosperous local trade; the discovery of coins and pottery across the area attest to this, as does the economic survival of the region far beyond that of more distant Imperial acquisitions, such as Britannia.	true
technologies_short_description_mk_orth_military_military_tournaments	''...many Romans practices these games seeking honour and particularly the emperor, who proved himself superior to his tutors. So the Savoyans, French, Alamans and Burgundians conceded defeat.''	true
technologies_short_description_mk_west_civil_new_world_expeditions	''Following the light of the sun, we left the Old World.''	true
technologies_onscreen_name_cha_celtic_military_select_fyrd	Select Fyrd	true
technologies_short_description_mk_west_military_payment_as_service	Loyalty is better ensured by money than by oaths.	true
technologies_long_description_cha_english_military_warrior_culture	Battle was an integral part of Dark Age 'barbarian' culture. Tribes frequently fought the neighbouring Germanic, Nordic, Celtic, and nomadic peoples, and even amongst themselves. Inter-tribal battles were generally fought on a much smaller scale - attacks typically consisting of brief raids conducted by the elite of the warrior class. Neighbouring rivals raided each other’s territory almost as sport, rather than as a serious, organised attempt to expand their boundaries. On the other hand, the wild Norsemen did so because their land couldn't produce the agricultural yields needed to feed their growing population, eventually settling in places such as England and France, where the conditions were more favourable. For the would-be warrior displays of personal bravery were the only guaranteed route to glory and status. Fighting skills were learned from a very young age through hunting and then honed on raids from the age of fourteen upward. Nobles could use this opportunity to attract followers to form a warband of their own, whereas members of the free warrior class had to impress an established band to secure a place for themselves. The typical tribal fighting style eschewed the ordered, tactical combat of the civilised peoples in favour of the heroic charge, repeated by a warband until its enemy was routed from the field or their own numbers became too few – whichever happened first.	true
technologies_short_description_cha_celtic_military_siege_techniques	Think outside the box if you wish to break into it.	true
technologies_onscreen_name_mk_east_civil_new_qarib_designs	New Qarib Designs	true
technologies_long_description_att_barbarian_military_maintained_military_households	In his heart of hearts, the barbarian tribesman was a warrior and only a warrior. When not fighting, he was seeking out another fight. Only in battle could a man earn the glory and wealth needed to improve his position within the tribe. This was not an easy life, and only the toughest lived idly away from the battlefield. Others had to work, toiling in the fields and forests, awaiting glory that could be won in battle or by raiding against the tribe's enemies. Brought up on the traditions of feasting and raiding, young warriors craved the opportunity to prove themselves against a worthy enemy. Having scant regard for the dangers that lay ahead, whipped into frenzy by chant and song, and armed with bone-tipped spears and javelins, the ferocity of their initial attack was both feared and renowned.	true
technologies_onscreen_name_cha_english_civil_court_scholars	Court Scholars	true
