key	text	tooltip
#Loc;1;text/db/ui_unit_bullet_point_enums.loc		
ui_unit_bullet_point_enums_onscreen_name_att_wardogs	Has Wardogs	true
ui_unit_bullet_point_enums_onscreen_name_att_ramming	Damaging Ramming	true
ui_unit_bullet_point_enums_onscreen_name_att_charge_strong	Devastating Charge	true
ui_unit_bullet_point_enums_onscreen_name_att_average_negative	Average	true
ui_unit_bullet_point_enums_onscreen_name_att_very_low	Very Low	true
ui_unit_bullet_point_enums_onscreen_name_att_average_positive	Average	true
ui_unit_bullet_point_enums_onscreen_name_att_ramming_heavy	Devastating Ramming	true
ui_unit_bullet_point_enums_onscreen_name_att_has_ranged_weapon_shp	Has Missile Weapon	true
ui_unit_bullet_point_enums_onscreen_name_att_greek_fire	Greek Fire	true
ui_unit_bullet_point_enums_onscreen_name_att_high	High	true
ui_unit_bullet_point_enums_onscreen_name_att_has_ranged_weapon	Has Missile Weapon	true
ui_unit_bullet_point_enums_onscreen_name_att_good	Good	true
ui_unit_bullet_point_enums_onscreen_name_att_poor	Poor	true
ui_unit_bullet_point_enums_onscreen_name_att_very_poor	Very Poor	true
ui_unit_bullet_point_enums_onscreen_name_att_scattershot	Fires three projectiles	true
ui_unit_bullet_point_enums_onscreen_name_att_very_high	Very High	true
ui_unit_bullet_point_enums_onscreen_name_att_low	Low	true
ui_unit_bullet_point_enums_onscreen_name_att_ammo_refill	Can Refill Ammo	true
ui_unit_bullet_point_enums_onscreen_name_att_has_grenade	Has Grenades	true
ui_unit_bullet_point_enums_onscreen_name_att_encourage	Boosts Friendly Morale	true
ui_unit_bullet_point_enums_onscreen_name_att_excellent	Excellent	true
ui_unit_bullet_point_enums_onscreen_name_att_unit_small	Small Unit	true
