key	text	tooltip
#Loc;1;text/db/unit_description_short_texts.loc		
unit_description_short_texts_text_att_merc_cel_celtic_cavalry_raiders_short	Victory rides a horse.	true
unit_description_short_texts_text_cha_bre_armorican_knights	Now that Britannia has been lost to barbarism, its nobles have found new lands across the Channel.	true
unit_description_short_texts_text_cha_sax_scout_cav	Ahead of the man force, these men give sight beyond sight.	true
unit_description_short_texts_text_att_des_elite_nubian_archers_short	The Nubian bow is a work of art on the canvas of war.	true
unit_description_short_texts_text_att_ger_elite_amazon_archers_short	The skill of these warrior women is legendary.	true
unit_description_short_texts_text_att_mar_ger_frankish_marines_short	Fighting effectively at sea takes skill, courage, and sea-legs in abundance.	true
unit_description_short_texts_text_att_des_es_rumha_skirmishers_short	Javelin-armed tribal skirmishers, these men know how to use the terrain to their best advantage.	true
unit_description_short_texts_text_att_mar_cel_ebdani_heavy_marauders_short	Fighting effectively at sea takes skill, courage, and sea-legs in abundance.	true
unit_description_short_texts_text_att_merc_cel_mounted_spear_raiders_short	The force of the spear is tenfold when braced by a steed.	true
unit_description_short_texts_text_att_cel_celtic_nobles_short	Strength in battle determines who is fit to lead.	true
unit_description_short_texts_text_att_nom_steppe_cataphracts_short	Like their eastern counterparts, these heavily armoured horsemen are deadly when charging.	true
unit_description_short_texts_text_att_mar_des_desert_corsairs_short	Fighting effectively at sea takes skill, courage, and sea-legs in abundance.	true
unit_description_short_texts_text_att_des_es_almaqah’s_lancers_short	"We are the tribes of the moon!"	true
unit_description_short_texts_text_att_mar_rom_western_ballista_marines_short	Fighting effectively at sea takes skill, courage, and sea-legs in abundance.	true
unit_description_short_texts_text_att_rom_comes_short	The comes is awarded great authority within the auspices of his role.	true
unit_description_short_texts_text_att_rom_protectores_domestici_short	The generals of tomorrow, serving the Emperor today.	true
unit_description_short_texts_text_att_dro_heavy_mel_dbl_ft_er	A heavy warship, the dromon is the master of the waves.	true
unit_description_short_texts_text_att_ger_protectores_defectors_short	A Roman cloak does not make its wearer a "true" Roman.	true
unit_description_short_texts_text_att_cel_kerns_short	What these men lack in armour, they make up for in ferocity.	true
unit_description_short_texts_text_att_mar_ger_elite_ostrogoth_archer_marines_short	Fighting effectively at sea takes skill, courage, and sea-legs in abundance.	true
unit_description_short_texts_text_cha_sax_spear_band	The spear is the most versatile and worthwhile weapon on the battlefield, and key to any army.	true
unit_description_short_texts_text_mk_byz_spatharioi	"The best soldiers and officers, all ready to die for the Emperor" -- The Spatharioi were a military unit formed in the 7th century from soldiers and officers who distinguished themselves for their loyalty and capability. The unit was used as palace guard for the Emperor until the beginning of the 11th century, and every soldiers was higly trained in the use of the long sword -the "spatha"- and equipped with the best weapons and armours the Empire could offer. After this period, however the term is used only with a honorific meaning, the unit probably continuing to exist under a different name	true
unit_description_short_texts_text_att_nom_first_wave_lancers_short	Heavily armoured and incredibly deadly, these are the finest Hunnic lancers.	true
unit_description_short_texts_text_mk_hos_turcopoles	The brothers-at-arms were never numerous enough to do more than provide the nucleus of any garrison or contingent. Most of the men in any Hospitaller force were mercenaries, Many of the mercenaries were turcopoles, who were indigenous light horsemen, or Europeans equipped in similar fashion. ( Jonathan Riley-Smith, The Knights Hospitaller in the Levant, c.1070–1309. Palgrave MacMillan (2012) p. 84)	true
