key	text	tooltip
#Loc;1;text/db/unit_description_strengths_weaknesses_texts.loc		
unit_description_strengths_weaknesses_texts_text_mk_caroccio	Carrocio||	true
unit_description_strengths_weaknesses_texts_text_mk_inf_mel_renown+num-cost	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_mk_inf_mis-num+stat	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_transport	Very poor hull strength||Very slow speed||Weak ramming	true
unit_description_strengths_weaknesses_texts_text_mk_cav_mis_renown+num-cost	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_mk_inf_hybrid-num	Capable of both Melee and Ranged fighting||	true
unit_description_strengths_weaknesses_texts_text_mk_kharash	Arrow Fodder||Human Shield||Weaponless||	true
unit_description_strengths_weaknesses_texts_text_mk_warwagon	War Wagons	true
unit_description_strengths_weaknesses_texts_text_mk_cav_mel_merc-num	Mercenaries||Experienced Professionals||Expensive||Can be less reliable||Rare||Reduced Men per Unit||Costly to Field	true
unit_description_strengths_weaknesses_texts_text_two	Very poor hull strength||Very light crew||Fast speed||Weak ramming||Good boarding	true
unit_description_strengths_weaknesses_texts_text_polybolos	High damage||Accurate||Average range||Very high rate of fire	true
unit_description_strengths_weaknesses_texts_text_spear_avg	Good defensive unit||Low damage but average armour penetration||Average attack||Normal morale	true
unit_description_strengths_weaknesses_texts_text_scorpio_hft_seven	Exceptional hull strength||Very heavy crew||Very slow speed||Strong ramming||Good boarding||Exceptional missile combat	true
unit_description_strengths_weaknesses_texts_text_mk_inf_mis_merc-num	Mercenaries||Experienced Professionals||Expensive||Can be less reliable||Rare||Reduced Men per Unit||Costly to Field	true
unit_description_strengths_weaknesses_texts_text_axemen_good	Good attack||Average defence||Low damage but good armour penetration||Good morale	true
unit_description_strengths_weaknesses_texts_text_four	Average hull strength||Medium crew||Average speed||Average ramming||Average boarding	true
unit_description_strengths_weaknesses_texts_text_five	Good hull strength||Medium crew||Average speed||Average ramming||Poor boarding||Good missile combat	true
unit_description_strengths_weaknesses_texts_text_heavy_raider	Very good hull strength||Medium crew||Average speed||Average ramming||Very good boarding	true
unit_description_strengths_weaknesses_texts_text_two_halfer	Poor hull strength||Medium crew||Uncatchable||Weak ramming||Poor boarding||Average missile combat	true
unit_description_strengths_weaknesses_texts_text_mk_inf_hybrid_renown	Renowned Unit||Superior Capability||Capable of both Melee and Ranged fighting||	true
unit_description_strengths_weaknesses_texts_text_double_scorpio_five	Good hull strength||Medium crew||Average speed||Average ramming||Poor boarding||Very good missile combat	true
unit_description_strengths_weaknesses_texts_text_melee_avg	Good attack||Average defence||Average damage but low armour penetration||Normal morale	true
unit_description_strengths_weaknesses_texts_text_mk_inf_mis_renown+num-cost	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_mk_cav_mel+num+stat	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_mk_inf_hybrid+stat	Capable of both Melee and Ranged fighting||Strong Tradition||	true
unit_description_strengths_weaknesses_texts_text_mk_cav_mel_renown+num-cost	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_mk_inf_all+num-cost	Strong Tradition||Easier to recruit due to Tradition||	true
unit_description_strengths_weaknesses_texts_text_mk_inf_all-num+cost	Not the Tradition of the Faction||Rare||Reduced Men per Unit||Costly to Field	true
unit_description_strengths_weaknesses_texts_text_mk_inf_hybrid_renown_merc	Renowned Unit||Superior Capability||Mercenaries||Experienced Professionals||Expensive||Can be less reliable||Capable of both Melee and Ranged fighting||	true
unit_description_strengths_weaknesses_texts_text_mk_all_+cost	Not the Tradition of the Faction||Increased Cost	true
unit_description_strengths_weaknesses_texts_text_mk_all_-cost	Strong Tradition of the Faction||Cheaper to field for the faction	true
unit_description_strengths_weaknesses_texts_text_one_halfer	Very poor hull strength||Light crew||Very fast speed||Weak ramming||Very poor boarding||Poor missile combat	true
unit_description_strengths_weaknesses_texts_text_javelinmen	Short range||Fast rate of fire||Very good damage and armour penetration||Very weak in melee||Very poor morale	true
unit_description_strengths_weaknesses_texts_text_placeholder	placeholder	true
unit_description_strengths_weaknesses_texts_text_harpax_six	Very good hull strength||Heavy crew||Slow speed||Strong ramming||Exceptional boarding	true
unit_description_strengths_weaknesses_texts_text_mk_cav_mis+num+stat	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_mk_cav_mis-num+stat	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_elephant_armoured	Very good charge||High damage||Huge amount of hit points||Good morale	true
unit_description_strengths_weaknesses_texts_text_pike_good	Very good defensive unit||Low damage but average armour penetration||Average attack||Good morale||Very vulnerable when not in phalanx	true
unit_description_strengths_weaknesses_texts_text_pike_poor	Average defensive unit||Low damage but average armour penetration||Weak attack||Poor morale||Very vulnerable when not in phalanx	true
unit_description_strengths_weaknesses_texts_text_melee_poor	Average attack||Weak defence||Average damage but low armour penetration||Poor morale	true
unit_description_strengths_weaknesses_texts_text_melee_good	Very good attack||Average defence||Average damage but low armour penetration||Good morale	true
unit_description_strengths_weaknesses_texts_text_mk_cav_mel+stat-num	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_mk_inf_mel_merc-num	Mercenaries||Experienced Professionals||Expensive||Can be less reliable||Rare||Reduced Men per Unit||Costly to Field	true
unit_description_strengths_weaknesses_texts_text_fire_pot_two	Very poor hull strength||Very light crew||Fast speed||Very strong initial ramming||Good boarding	true
unit_description_strengths_weaknesses_texts_text_mk_all_mel_renown	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_mk_all_mis_renown	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_archer_cav	Long range||Average rate of fire||Fast moving||Good damage but low armour penetration||Very weak in melee||Very poor morale	true
unit_description_strengths_weaknesses_texts_text_mk_inf_hybrid+num+stat-cost	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_javelin_cav	Short range||Fast rate of fire||Fast moving||Very good damage and armour penetration||Large shield||Very weak in melee||Poor morale	true
unit_description_strengths_weaknesses_texts_text_six	Very good hull strength||Heavy crew||Slow speed||Strong ramming||Very good boarding	true
unit_description_strengths_weaknesses_texts_text_mk_cav_mis_merc-num	Mercenaries||Experienced Professionals||Expensive||Can be less reliable||Rare||Reduced Men per Unit||Costly to Field	true
unit_description_strengths_weaknesses_texts_text_onager_five	Good hull strength||Skeleton crew||Average speed||Average ramming||Abysmal boarding||Exceptional missile combat	true
unit_description_strengths_weaknesses_texts_text_spear_good	Very good defensive unit||Low damage but average armour penetration||Average attack||Good morale	true
unit_description_strengths_weaknesses_texts_text_spear_poor	Average defensive unit||Low damage but average armour penetration||Weak attack||Poor morale	true
unit_description_strengths_weaknesses_texts_text_mk_inf_mel-num+stat	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_mk_inf_hybrid_merc	Mercenaries||Experienced Professionals||Expensive||Can be less reliable||Capable of both Melee and Ranged fighting||	true
unit_description_strengths_weaknesses_texts_text_mob	Very low damage and armour penetration||Very weak in melee||Very poor morale	true
unit_description_strengths_weaknesses_texts_text_mk_cav_all-num-cost	Rare||Reduced Men per Unit	true
unit_description_strengths_weaknesses_texts_text_mk_cav_all+num-cost	Strong Tradition||Easier to recruit due to Tradition||	true
unit_description_strengths_weaknesses_texts_text_barbarian_transport	Very poor hull strength||Very slow speed||Weak ramming	true
unit_description_strengths_weaknesses_texts_text_mk_all_mel_merc+stat	Mercenaries||Experienced Professionals||Can be less reliable||Tradition of the Faction	true
unit_description_strengths_weaknesses_texts_text_mk_all_mis_merc+stat	Mercenaries||Experienced Professionals||Can be less reliable||Tradition of the Faction	true
unit_description_strengths_weaknesses_texts_text_medium_raider_melee	Good hull strength||Medium crew||Fast speed||Weak ramming||Good boarding	true
unit_description_strengths_weaknesses_texts_text_raider_melee	Average hull strength||Light crew||Very fast speed||Weak ramming||Average boarding	true
unit_description_strengths_weaknesses_texts_text_mk_inf_hybrid+stat-cost	Capable of both Melee and Ranged fighting||Strong Tradition||Easier to recruit due to Tradition||	true
unit_description_strengths_weaknesses_texts_text_medium_raider_ranged	Good hull strength||Medium crew||Fast speed||Weak ramming||Poor boarding||Good missile combat	true
unit_description_strengths_weaknesses_texts_text_mk_elephant_amda_seyon	Amda Seyon's Personal Elephant||Less Elephants||	true
unit_description_strengths_weaknesses_texts_text_ballista_giant	Accurate||Very long range||Average rate of fire||More damage than normal Ballista||More hit points than normal Ballista||Immobile	true
unit_description_strengths_weaknesses_texts_text_mk_poorly_trained_rabble_missile	Low-quality Missile Troops	true
unit_description_strengths_weaknesses_texts_text_mk_all_mel+stat-cost	Strong Tradition||Easier to recruit due to Tradition||	true
unit_description_strengths_weaknesses_texts_text_mk_all_mis+stat-cost	Strong Tradition||Easier to recruit due to Tradition||	true
unit_description_strengths_weaknesses_texts_text_scorpio_three	Poor hull strength||Light crew||Fast speed||Weak ramming||Average boarding||Good missile combat	true
unit_description_strengths_weaknesses_texts_text_archers_elite	Long range||Fast rate of fire||Good damage but low armour penetration||Very weak in melee||Poor morale	true
unit_description_strengths_weaknesses_texts_text_mk_cav_mel_renown+num	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_mk_cav_mel_renown-num	Renowned Unit||Superior Capability||Rare||Reduced Men per Unit||Costly to Field	true
unit_description_strengths_weaknesses_texts_text_mk_cav_mis_renown+num	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_mk_cav_mis_renown-num	Renowned Unit||Superior Capability||Rare||Reduced Men per Unit||Costly to Field	true
unit_description_strengths_weaknesses_texts_text_mk_inf_hybrid-num+stat	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_pike_avg	Good defensive unit||Low damage but average armour penetration||Average attack||Normal morale||Very vulnerable when not in phalanx	true
unit_description_strengths_weaknesses_texts_text_double_hft_eight	Unbeatable hull strength||Very heavy crew||Very slow speed||Strong ramming||Indomitable boarding||Average missile combat	true
unit_description_strengths_weaknesses_texts_text_mk_all_mis_renown_merc	Renowned Unit||Superior Capability||Mercenaries||Experienced Professionals||Expensive||Can be less reliable||	true
unit_description_strengths_weaknesses_texts_text_shock_inf_good	Very good charge and attack||Good damage and armour penetration||Weak defence||Good morale	true
unit_description_strengths_weaknesses_texts_text_mk_inf_hybrid_renown+num-cost	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_melee_cav_good	Very good attack||Average defence||Low damage but average armour penetration||Good morale	true
unit_description_strengths_weaknesses_texts_text_shock_inf_poor	Average charge and attack||Good damage and armour penetration||Weak defence||Poor morale	true
unit_description_strengths_weaknesses_texts_text_melee_cav_poor	Average attack||Weak defence||Low damage but average armour penetration||Poor morale	true
unit_description_strengths_weaknesses_texts_text_peltasts	Short range||Fast rate of fire||Very good damage and armour penetration||Large shield||Very weak in melee||Poor morale	true
unit_description_strengths_weaknesses_texts_text_ballista	Very accurate||Very long range||Fast rate of fire||Lower damage than other artillery||Easily destroyed	true
unit_description_strengths_weaknesses_texts_text_mk_all_mis+stat	Strong Tradition||Easier to recruit due to Tradition||	true
unit_description_strengths_weaknesses_texts_text_ballista_five	Average hull strength||Skeleton crew||Average speed||Average ramming||Abysmal boarding||Exceptional missile combat	true
unit_description_strengths_weaknesses_texts_text_shock_inf_avg	Good charge and attack||Good damage and armour penetration||Weak defence||Average morale	true
unit_description_strengths_weaknesses_texts_text_slingers	Very long range||Average rate of fire||Low damage but average armour penetration||Very weak in melee||Very poor morale	true
unit_description_strengths_weaknesses_texts_text_mk_cav_all+num	Strong Tradition||Easier to recruit due to Tradition||	true
unit_description_strengths_weaknesses_texts_text_mk_cav_all-num	Not the Tradition of the Faction||Rare||Reduced Men per Unit||Costly to Field	true
unit_description_strengths_weaknesses_texts_text_mk_inf_all+num	Strong Tradition||Easier to recruit due to Tradition||	true
unit_description_strengths_weaknesses_texts_text_mk_inf_all-num	Not the Tradition of the Faction||Rare||Reduced Men per Unit||Costly to Field	true
unit_description_strengths_weaknesses_texts_text_war_dogs	Very good attack||Strong against lightly armoured units||Handlers weak in melee	true
unit_description_strengths_weaknesses_texts_text_war_pigs	Scare elephants||Animals do not attack||Handlers weak in melee	true
unit_description_strengths_weaknesses_texts_text_barbarian_five	Average hull strength||Medium crew||Average speed||Average ramming||Poor boarding||Good missile combat	true
unit_description_strengths_weaknesses_texts_text_mk_all_mel_merc	Mercenaries||Experienced Professionals||Can be less reliable||Tradition of the Faction	true
unit_description_strengths_weaknesses_texts_text_barbarian_four	Average hull strength||Medium crew||Average speed||Average ramming||Average boarding	true
unit_description_strengths_weaknesses_texts_text_shock_cav_avg	Good charge||Low damage but average armour penetration||Weak in prolonged melee||Average morale	true
unit_description_strengths_weaknesses_texts_text_mk_inf_mis_renown+num	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_mk_inf_mis_renown-num	Renowned Unit||Superior Capability||Rare||Reduced Men per Unit||Costly to Field	true
unit_description_strengths_weaknesses_texts_text_mk_inf_mel_renown+num	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_mk_inf_mel_renown-num	Renowned Unit||Superior Capability||Rare||Reduced Men per Unit||Costly to Field	true
unit_description_strengths_weaknesses_texts_text_archer_cav_elite	Long range||Fast rate of fire||Fast moving||Good damage but low armour penetration||Very weak in melee||Poor morale	true
unit_description_strengths_weaknesses_texts_text_mk_inf_hybrid_merc-num	Mercenaries||Experienced Professionals||Expensive||Can be less reliable||Capable of both Melee and Ranged fighting||Rare||Reduced Men per Unit||Costly to Field	true
unit_description_strengths_weaknesses_texts_text_melee_cav_avg	Good attack||Average defence||Low damage but average armour penetration||Average morale	true
unit_description_strengths_weaknesses_texts_text_raider_ranged	Good hull strength||Medium crew||Fast speed||Weak ramming||Poor boarding||Good missile combat	true
unit_description_strengths_weaknesses_texts_text_mk_all_mel_renown_merc	Renowned Unit||Superior Capability||Mercenaries||Experienced Professionals||Expensive||Can be less reliable||	true
unit_description_strengths_weaknesses_texts_text_archers	Long range||Average rate of fire||Good damage but low armour penetration||Very weak in melee||Very poor morale	true
unit_description_strengths_weaknesses_texts_text_mk_all_mis-morale+stat	Irregular||Martial Life give superior capability||But less reliable	true
unit_description_strengths_weaknesses_texts_text_chariot_scythed	Fast moving||Very good charge||Average in melee||Good morale	true
unit_description_strengths_weaknesses_texts_text_mk_cav_all_bare_stirrup	Primitive Ways of Horseriding||Riders might be excellent riders but overall disadvantaged against those with saddles and wide stirrups||	true
unit_description_strengths_weaknesses_texts_text_mk_all_+morale	Organized||Better Morale||	true
unit_description_strengths_weaknesses_texts_text_shock_cav_good	Very good charge||Low damage but average armour penetration||Weak in prolonged melee||Good morale	true
unit_description_strengths_weaknesses_texts_text_shock_cav_poor	Average charge||Low damage but average armour penetration||Weak in prolonged melee||Poor morale	true
unit_description_strengths_weaknesses_texts_text_general	Small unit size||Average attack||Average defence||Low damage but average armour penetration||Encourage nearby allies||Good morale	true
unit_description_strengths_weaknesses_texts_text_mk_none	Ordinary Unit	true
unit_description_strengths_weaknesses_texts_text_mk_all_mis_merc	Mercenaries||Experienced Professionals||Can be less reliable||Tradition of the Faction	true
unit_description_strengths_weaknesses_texts_text_mk_inf_hybrid	Capable of both Melee and Ranged fighting||	true
unit_description_strengths_weaknesses_texts_text_eight	Unbeatable hull strength||Very heavy crew||Very slow speed||Strong ramming||Indomitable boarding	true
unit_description_strengths_weaknesses_texts_text_axemen	Average attack||Poor defence||Low damage but good armour penetration||Poor morale	true
unit_description_strengths_weaknesses_texts_text_elephant	Very good charge||High damage||Large amount of hit points||Average morale	true
unit_description_strengths_weaknesses_texts_text_chariot	Fast moving||Javelins thrown when moving||Good charge||Weak in prolonged melee||Good morale	true
unit_description_strengths_weaknesses_texts_text_onager	Long range||High damage with its different rounds||Hard to destroy||Inaccurate||Low rate of fire	true
unit_description_strengths_weaknesses_texts_text_mk_elephant_cannon_naft	Elephant Equipped with Hathnal Elephant Guns or Naft||Less Elephants||	true
unit_description_strengths_weaknesses_texts_text_mk_all_mel+stat	Strong Tradition||Easier to recruit due to Tradition||	true
unit_description_strengths_weaknesses_texts_text_mk_inf_mel+num+stat-cost	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_mk_inf_mis+num+stat-cost	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_mk_cav_mel+num+stat-cost	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_mk_cav_mis+num+stat-cost	Renowned Unit||Superior Capability||	true
unit_description_strengths_weaknesses_texts_text_seven	Exceptional hull strength||Very heavy crew||Very slow speed||Strong ramming||Good boarding||Very good missile combat	true
unit_description_strengths_weaknesses_texts_text_three	Poor hull strength||Light crew||Fast speed||Weak ramming||Poor boarding||Average missile combat	true
unit_description_strengths_weaknesses_texts_text_scorpion	High damage||Mobile||Very accurate||Short range||Average rate of fire	true
unit_description_strengths_weaknesses_texts_text_mk_all_mel-morale+stat	Irregular||Martial Life give superior capability||But less reliable	true
unit_description_strengths_weaknesses_texts_text_shock_cav_cat	Very good charge||Low damage but average armour penetration||Heavily armoured||Slowest cavalry||Good morale	true
unit_description_strengths_weaknesses_texts_text_mk_inf_hybrid_renown+num	Renowned Unit||Superior Capability||Capable of both Melee and Ranged fighting||	true
unit_description_strengths_weaknesses_texts_text_mk_inf_hybrid_renown-num	Renowned Unit||Superior Capability||Capable of both Melee and Ranged fighting||Rare||Reduced Men per Unit||Costly to Field	true
unit_description_strengths_weaknesses_texts_text_lft_five	Good hull strength||Medium crew||Average speed||Average ramming||Average boarding||Very good missile combat	true
unit_description_strengths_weaknesses_texts_text_lft_six	Very good hull strength||Heavy crew||Slow speed||Strong ramming||Very good boarding||Poor missile combat	true
