key	text	tooltip
#Loc;1;text/db/victory_types.loc		
victory_types_display_name_att_vc_2_2_cultural	Cultural Victory	true
victory_types_display_name_att_mp_versus_separatist	Head-to-Head Separatist Victory	true
victory_types_display_name_att_vc_wonder_1	Minor Victory	true
victory_types_display_name_att_vc_2_1_military	Military Victory	true
victory_types_display_name_domination	Victory	true
victory_types_display_name_ch_vc_3_domination	Domination Victory	true
victory_types_display_name_economic	Victory	true
victory_types_display_name_ch_vc_2_long	Long Victory	true
victory_types_display_name_att_vc_1_jewish	Jewish Victory	true
victory_types_display_name_att_vc_2_jewish	Divine Jewish Victory	true
victory_types_display_name_cultural	Victory	true
victory_types_display_name_att_vc_wonder_military_2	Divine Military Victory	true
victory_types_display_name_att_vc_wonder_military_1	Military Victory	true
victory_types_display_name_att_vc_1_christian	Christian Victory	true
victory_types_display_name_att_vc_2_christian	Divine Christian Victory	true
victory_types_display_name_military	Victory	true
victory_types_display_name_att_mp_coop	Co-operative Victory	true
victory_types_display_name_att_vc_1_historical_expedition	Expedition Victory 	true
victory_types_display_name_long	Victory	true
victory_types_display_name_att_vc_1_short	Minor Victory	true
victory_types_display_name_att_vc_1_historical	Historical Victory	true
victory_types_display_name_ch_vc_1_short	Short Victory 	true
victory_types_display_name_att_vc_3_domination	Divine Triumph	true
victory_types_display_name_att_vc_1_historical_separatist	Separatist Victory	true
victory_types_display_name_att_mp_versus	Head-to-Head Victory	true
victory_types_display_name_att_vc_1_pagan	Pagan Victory	true
victory_types_display_name_att_vc_2_pagan	Divine Pagan Victory	true
victory_types_display_name_att_vc_2_zoroastrism	Divine Zoroastrian Victory	true
victory_types_display_name_att_vc_1_zoroastrism	Zoroastrian Victory	true
victory_types_display_name_att_mp_versus_loyalist	Head-to-Head Loyalist Victory	true
victory_types_display_name_att_vc_2_imperial_expedition	Loyalist Triumph	true
victory_types_display_name_att_mp_coop_separatist	Co-operative Separatist Victory	true
victory_types_display_name_short	Victory	true
victory_types_display_name_att_mp_coop_loyalist	Co-operative Loyalist Victory	true
victory_types_display_name_att_vc_wonder_civic_2	Divine Cultural Victory	true
victory_types_display_name_att_vc_wonder_civic_1	Cultural Victory	true
victory_types_display_name_att_vc_2_imperial_separatist	Western Roman Emperor's Triumph	true
victory_types_display_name_att_vc_2_imperial	Imperial Trumph 	true
