key	text	tooltip
#Loc;1;text/db/advice_levels.loc		
advice_levels_onscreen_text_2139664523	Ворог переміг, володарю! Ми повинні відступити і перегрупуватися!	true
advice_levels_onscreen_text_2139665423	Пам’ятайте, що допомога та поради доступні, коли ми в бою, володарю. Навчіться покладатися на це.	true
advice_levels_onscreen_text_2139663222	Вірність є мірилом відданості персонажа панівній партії його держави. Його можна збільшити за допомогою політичних дій, а також вмінь, характеру, позитивних рис чи членів родини. Негативні риси чи події можуть знизити вірність. Якщо він досягне нуля, він почне громадянську війну, потенційно спричинивши перехід інших персонажів на його бік.	true
advice_levels_onscreen_text_2139664922	Покійний імператор Феодосій наказав розділити Рим, доручивши Вам щедрий схід. Тепер Імперія в небезпеці: орди гунів наближаються з північного сходу, змушуючи навіть найвитриваліші варварські племена тікати. Вестготи та їм подібні мігрують через Ваші землі: їм не можна дозволити завдати шкоди Вашому народу! Пам’ятайте також про свої південно-східні території. Імперія Сасанідів сильна і кине виклик Вам за панування на сході. Захід охороняють західні римляни, але вони також перенапружені та знаходяться під загрозою вторгнення варварів. Можливо, було б розумно об’єднати Рим під своїм прапором і повернути Імперії її колишню славу!	true
advice_levels_onscreen_text_2139665222	Звістка про напад римлян була надіслана нашим кавалерійським загонам. Вони обов'язково скоро повернуться до нас. Ми повинні протриматися доти!	true
advice_levels_onscreen_text_2139665922	Полководець Велізарій був поранений у бою та винесений з поля! Його втрата буде гостро відчутна!	true
advice_levels_onscreen_text_2139666022	А на сході злі люди, які прагнуть крові та грабіжництва, кидають ненажерливі очі на Ваші береги — будьте завжди пильні щодо данів-вікінгів.	true
advice_levels_onscreen_text_1387459530	Обхід з флангів можна перетворити для блокування ворога. Якщо Ви скористаєтеся великою кількістю по обидва фланги і не атакуєте з фронту, ворог буде змушений повернутися до Вас обличчям, виставляючи свої фланги до центру.	true
advice_levels_onscreen_text_2139658422	Якщо Ваша партія стає надто сильною, недовіра та параноя зрештою призводять до боротьби за владу і Вашій державі. У цей момент починається [[url:/manual/page/single-player/0037_enc_page_campaign_play_faction_politics#enc_text_politics_civil_war]]громадянська війна[[/url]] - інші партії об'єднаються та очолять сили повстанців, щоб захопити столицю та повалити Ваш режим. Так само, якщо Вас визнають занадто слабким, Вас можуть вислати як ворога держави.	true
advice_levels_onscreen_text_2139664021	Нас побили, відступайте в місто! Будемо сподіватися, що ворог виявить милосердя!	true
advice_levels_onscreen_text_2139664621	Ворожі сили перейшли на нашу територію, володарю!	true
advice_levels_onscreen_text_2139665021	Поразка! Поганці витримали бій! Який Божий план для нас зараз?	true
advice_levels_onscreen_text_2139665521	Аристократи Вашого двору зростають із плином пір року. Обов'язково стежте за їх розвитком.	true
advice_levels_onscreen_text_2139665621	Щоб наказати стрільцям вчинити ближній бій, виберіть загін і клацніть на ворога ПКМ, тримаючи клавішу Alt.	true
advice_levels_onscreen_text_1170317847	Тісно зібраний натовп вояків є чудовою ціллю для стрілецьких загонів на бойовищі. Продовжуйте бити їх, і вони зазнають втрат!	true
advice_levels_onscreen_text_2139664620	Вандали блокують дорогу попереду. Давайте атакувати!	true
