key	text	tooltip
#Loc;1;text/db/battle_types.loc		
battle_types_onscreen_siege	Взяття міста	true
battle_types_onscreen_limes	Лімес	true
battle_types_onscreen_naval	Морська битва	true
battle_types_onscreen_ambush	Засідка	true
battle_types_onscreen_unfortified_settlement	Взяття неукріпл. міста	true
battle_types_onscreen_coastal_battle	Битва на узбережжі	true
battle_types_onscreen_river_crossing_battle	Битва на броду	true
battle_types_onscreen_capture_point	Битва за захоплення ключової позиції	true
battle_types_onscreen_classic	Наземна битва	true
battle_types_onscreen_campaign_battle	Битва кампанії	true
battle_types_onscreen_land_bridge	Битва на мості	true
battle_types_onscreen_Tutorial	Навчання	true
battle_types_onscreen_naval_siege	Взяття порту	true
battle_types_onscreen_unfortified_port	Взяття неукріпл. порту	true
battle_types_onscreen_historic	Битва за сценарієм	true
battle_types_onscreen_napoleon_historic	text_rejected	true
