key	text	tooltip
#Loc;1;text/db/battles.loc		
battles_description_prologue_olbia	Перша вступна битва	true
battles_localised_name_Frigidus_River	Річка Фрігид (Випава)	true
battles_description_test_river_map	PLACEHOLDER	true
battles_localised_name_Dara	Дар'а	true
battles_localised_name_test_coastal_landing	[PLACEHOLDER] тест: битва на узбережжі	true
battles_localised_name_Utus	Річка Вит	true
battles_description_Samarra	Влітку 363 року нашої ери імператор Юліан успішно відкинув Сасанідів назад до Ктезифона. Розуміючи, що місто надто сильно захищене, римляни відступили на північ. Надання Сасанідам простору дозволило їм відплатити нападом біля [[url:/manual/page/historic/enc_page_historical_battles#enc_text_hist_battles_samarra]]Самарри[[/url]].	true
battles_description_Cartagena	Ставши імператором, Майоріан зібрав фльоту у [[url:/manual/page/historic/enc_page_historical_battles#enc_text_hist_battles_cartagena]]Картахені[[/url]]. Його наміри полягали в тому, щоб вторгнутися в Королівство вандалів у Північній Африці, намагаючись повернути Імперії її колишню славу. Усвідомлюючи загрозу, вандали завдали удару першими, захопивши римлян зненацька. Їм також вдалося підкупити багатьох римських капітанів, щоб вони втекли.	true
battles_localised_name_test_river_map	PLACEHOLDER: тест Річка	true
battles_description_Frigidus_River	У римському сенаті виник конфлікт через християнізацію імперії. Отримавши владу на Заході, Флавій Євгеній призначив на ключові посади в уряді сенаторів-язичників. Образившись, Феодосій, імператор Сходу, напав на [[url:/manual/page/historic/enc_page_historical_battles#enc_text_hist_battles_frigidus_river]]ріці Фрігид[[/url]].	true
battles_localised_name_prologue_olbia	Ольвія	true
battles_description_Ravenna	Герули, германські федерати Західної Римської імперії, вимагали розділити Італію між ними. Прохання було відхилено Орестом, батьком хлопчика-імператора Ромула Августула, спричинивши повстання. Очолюючи германців, Одоакр переміг Ореста біля П’яченци, а потім пішов атакувати [[url:/manual/page/historic/enc_page_historical_battles#enc_text_hist_battles_ravenna]]Равенну[[/url]], римську столицю.	true
battles_description_Flat_Map	Рівна для перевірки загонів	true
battles_description_Soissons	Після розпаду Західної Римської імперії Сіагрій, син останнього римського Магістра Мілітума Галлії, зберіг [[url:/manual/page/historic/enc_page_historical_battles#enc_text_hist_battles_soissons]]Суассон[[/url]]. Оскільки земля була рівною за розміром землі сусідніх франків, між двома державами виникла ворожнеча. На чолі з Хлодвігом I франки викликали Сіагрія на бій -переможець претендує на землю.	true
battles_description_placeholder_ambush	Тестовий бій із засідки...	true
battles_localised_name_Ambush_Dense_Forest_Rugged	Германський ліс	true
battles_localised_name_Samarra	Самарра	true
battles_description_Dara	Напруженість між Римською та Сасанідською імперіями переросла у війну. Після спроби сасанідського шаха Кавада I витіснити християнство з Іберійського королівства на Кавказі Юстиніан направив війська в регіон, щоб вигнати Сасанідів. Велізарій, який очолив одну з таких армій, зіткнувся переважаючою чисельність Сасанідів, біля [[url:/manual/page/historic/enc_page_historical_battles#enc_text_hist_battles_dara]]Дар'а[[/url]] у 530 р. н.е.	true
battles_description_test_coastal_landing	[PLACEHOLDER] тест: битва на узбережжі	true
battles_localised_name_Ad_Decimum	Децим	true
battles_description_Utus	У 443 р. Східна Римська імперія припинила платити данину гунам. У відповідь Аттила вторгся в її балканські провінції. Римський полководець Аренгіскл Фракійський отримав завдання придушити гунів. Рухаючись на захід від Марціанополя, він вступив у бій з гунами на [[url:/manual/page/historic/enc_page_historical_battles#enc_text_hist_battles_utus]]річці Вит[[/url]].	true
battles_localised_name_Adrianople	Адріанополь	true
battles_description_Catalaunian_Plains	Після перетину Рейну в 451 році нашої ери Аттила почав грабувати міста по всій Галлії. Стурбований ситуацією на кордоні Італії, Магістр Мілітум Флавій Аецій швидко рушив, щоб перехопити гунів. Обидві сторони зустрілися разом із кількома варварськими союзниками на [[url:/manual/page/historic/enc_page_historical_battles#enc_text_hist_battles_catalaunian_plains]]Каталаунських рівнинах[[/url]].	true
battles_localised_name_Ravenna	Равенна	true
battles_localised_name_Catalaunian_Plains	Каталаунські поля	true
battles_localised_name_Flat_Map	Рівна мапа	true
battles_description_Adrianople	У 376 році нашої ери готи оселилися в межах Імперії зі схвалення східного імператора Валента. Зіткнувшись із багатьма труднощами під нечесним римським правлінням, готи відчули, що в них немає іншого виходу, як повстати. Через два роки імператор Валент рушив до [[url:/manual/page/historic/enc_page_historical_battles#enc_text_hist_battles_adrianople]]Адріанополя[[/url]], намагаючись підкорити їх.	true
battles_localised_name_Cartagena	Картахена	true
battles_localised_name_Soissons	Суассон	true
battles_description_Ad_Decimum	Оскільки Західна імперія була розбита, план Східного імператора Юстиніана відвоювати її почався з вторгнення у Вандальське королівство Північної Африки. Під командуванням Велізарія римляни напали на шляху до Карфагена, біля позначки 10-ї милі дороги, біля [[url:/manual/page/historic/enc_page_historical_battles#enc_text_hist_battles_ad_decimum]]Децима[[/url]].	true
battles_description_Ambush_Dense_Forest_Rugged	Вигаданий ліс у Германії.	true
battles_localised_name_placeholder_ambush	[PLACEHOLDER] тестова засідка	true
