key	text	tooltip
#Loc;1;text/db/building_flavour_texts.loc		
building_flavour_texts_flavour_att_bld_eos_religion_judaism_minor_3	Міква - це ванна, створена для повного занурення тіла, як частина релігійних ритуалів. У рамках конструкції вони повинні були бути прикріплені до природного джерела води або будь-якої водойми з природним джерелом як джерело. Чиста вода забирається через отвір, який дозволяє нею наповнювати глибокий басейн Мікви. Очищення потрібне було після статевих актів, лікування шкірних захворювань або виділення тілесних рідин. Ідея очищення водою залишається поширеною, як це було в античності. Зороастрійські сасаніди, наприклад, використовували свої лазні для очищення, а також загальної санітарії.	true
building_flavour_texts_flavour_att_bld_eos_religion_judaism_minor_2	Міква - це ванна, створена для повного занурення тіла, як частина релігійних ритуалів. У рамках конструкції вони повинні були бути прикріплені до природного джерела води або будь-якої водойми з природним джерелом як джерело. Чиста вода забирається через отвір, який дозволяє нею наповнювати глибокий басейн Мікви. Очищення потрібне було після статевих актів, лікування шкірних захворювань або виділення тілесних рідин. Ідея очищення водою залишається поширеною, як це було в античності. Зороастрійські сасаніди, наприклад, використовували свої лазні для очищення, а також загальної санітарії.	true
building_flavour_texts_flavour_att_bld_eos_religion_judaism_minor_1	Міква - це ванна, створена для повного занурення тіла, як частина релігійних ритуалів. У рамках конструкції вони повинні були бути прикріплені до природного джерела води або будь-якої водойми з природним джерелом як джерело. Чиста вода забирається через отвір, який дозволяє нею наповнювати глибокий басейн Мікви. Очищення потрібне було після статевих актів, лікування шкірних захворювань або виділення тілесних рідин. Ідея очищення водою залишається поширеною, як це було в античності. Зороастрійські сасаніди, наприклад, використовували свої лазні для очищення, а також загальної санітарії.	true
building_flavour_texts_flavour_att_bld_roman_civic_market_2	Форуми (майдани) були серцем римської міської економіки. Вони були місцями світських зборів, політичних дебатів і зустрічей, але в основному функціонували як базарні майдани. Якщо Вам було що продати чи сказати, форум був тим місцем, щоб це зробити. Таберни це постійні магазинами на базарних майданах. Поодинокі кімнати зі склепінчастими бочками, що виходили назовні до решти базару, де продавалося все: від тканини до гарячої вуличної їжі. Таберни були попередниками сучасних вітрин. Найвідомішим прикладом, що залишився, є базар Траяна, який був останнім і найбільшим з чудових імператорських форумів. Він був настільки розгалуженим, що з тих пір багато хто називав його першим у світі торговим центром.	true
building_flavour_texts_flavour_att_bld_roman_water_sewers_4	Для римлян справляти нужду було спільною діяльністю. Місць у громадській вигрібній ямі могло бути до тридцяти, побудованих у формі квадрата. Не було також поділу за класами. Якщо аристократ схотів сходити далеко від дому, а його раб забув кімнатний горщик, тоді він сидів поруч із вершником чи плебеєм на тій самій вигрібній ямі. У будь-якій із 114 вбиралень, знайдених у Римі, люди читали, спілкувалися та спілкувалися один з одним. Поет Марціал висміює одного чоловіка за те, що він тиняється в громадських туалетах, чекаючи запрошення на обід! Продовжуючи це почуття товариства, римляни також ділилися спільною губкою, яку потім прибирали. Вбиральні були в нижній частині незвичайної водопровідної системи, створеної римлянами. Після вигрібної ями вода та її стоки йшли в каналізацію.	true
building_flavour_texts_flavour_att_bld_roman_water_sewers_2	Каналізація ефективно змиває бруд і сміття з поселення, завдяки чому тут пахне набагато приємніше. Дійсно, одним з показників цивілізації може бути відстань між носом і місцем останнього спочинку дефекації! Тому каналізація є ознакою вищості та цивілізації. У римському світі вода надходила в поселення через акведуки, а потім проходила через громадські фонтани, лазні та вигрібні ями, а потім потрапляла в каналізацію, яка згодом з’єднувалася з центральною каналізаційною трубою, яка йшла до великої річки чи моря. Хоча ця система санітарії далека від досконалості, утримувала б хвороби, поки населення не стало настільки великим, що каналізація більше не могла впоратися з об’ємом викидів, які вона виробляла.	true
building_flavour_texts_flavour_att_bld_roman_water_sewers_3	Каналізація ефективно змиває бруд і сміття з поселення, завдяки чому тут пахне набагато приємніше. Дійсно, одним з показників цивілізації може бути відстань між носом і місцем останнього спочинку дефекації! Тому каналізація є ознакою вищості та цивілізації. У римському світі вода надходила в поселення через акведуки, а потім проходила через громадські фонтани, лазні та вигрібні ями, а потім потрапляла в каналізацію, яка згодом з’єднувалася з центральною каналізаційною трубою, яка йшла до великої річки чи моря. Хоча ця система санітарії далека від досконалості, утримувала б хвороби, поки населення не стало настільки великим, що каналізація більше не могла впоратися з об’ємом викидів, які вона виробляла.	true
building_flavour_texts_flavour_att_bld_eastmig_leadership_elders_4	Як горді народи, племена Лахмідів і Танухідів надавали великого значення своїм арабським звичаям. Особливу увагу це привернуло піднесення Перської імперії Сасанідів, які загалом демонстрували повну зневагу до арабів та їхнього способу життя. Імператор Хосров I описав арабів як жадібних і ненажерливих, засуджуючи їх за явну гордість таким скромним способом життя, неповагу до матеріального світу (розкішна їжа та демонстрація багатства для них мало означали) і, особливо, за привітне ставлення до чужинців. Своєю чергою, араби висміювали персів у поезії, водночас упевнюючись, що вони вихваляли арабську цілісність і щедрість понад усе як чесноти, які мають бути найвищими.	true
building_flavour_texts_flavour_att_bld_eastmig_leadership_elders_2	Як горді народи, племена Лахмідів і Танухідів надавали великого значення своїм арабським звичаям. Особливу увагу це привернуло піднесення Перської імперії Сасанідів, які загалом демонстрували повну зневагу до арабів та їхнього способу життя. Імператор Хосров I описав арабів як жадібних і ненажерливих, засуджуючи їх за явну гордість таким скромним способом життя, неповагу до матеріального світу (розкішна їжа та демонстрація багатства для них мало означали) і, особливо, за привітне ставлення до чужинців. Своєю чергою, араби висміювали персів у поезії, водночас упевнюючись, що вони вихваляли арабську цілісність і щедрість понад усе як чесноти, які мають бути найвищими.	true
building_flavour_texts_flavour_att_bld_eastmig_leadership_elders_3	Як горді народи, племена Лахмідів і Танухідів надавали великого значення своїм арабським звичаям. Особливу увагу це привернуло піднесення Перської імперії Сасанідів, які загалом демонстрували повну зневагу до арабів та їхнього способу життя. Імператор Хосров I описав арабів як жадібних і ненажерливих, засуджуючи їх за явну гордість таким скромним способом життя, неповагу до матеріального світу (розкішна їжа та демонстрація багатства для них мало означали) і, особливо, за привітне ставлення до чужинців. Своєю чергою, араби висміювали персів у поезії, водночас упевнюючись, що вони вихваляли арабську цілісність і щедрість понад усе як чесноти, які мають бути найвищими.	true
building_flavour_texts_flavour_att_bld_barbarian_civic_market_free	Міфічне походження лангобардів побудоване на заклинанні «краще зберегти волю зброєю, ніж заплямувати її сплатою данини» — по суті, краще померти вільним, ніж жити рабом. Історик Павло Диякон стверджує, що лангобарди поширювали це право свободи на тих, кого вони захоплювали по дорозі, звільняючи як військовополонених, так і чужих рабів і включаючи їх до своїх армій, щоб збільшити їхню силу. Ця практика зробила лангобардів не лише прогресивнішими за своїх сучасників, а й складним народом, спосіб життя якого змінився під впливом багатьох культур.	true
