key	text	tooltip
#Loc;1;text/db/campaign_localised_strings.loc		
campaign_localised_strings_string_unit_exchange_commanders_invalid	Війська не можуть обмінюватися командувачами.	true
campaign_localised_strings_string_public_order_rebellion_next_turn	За поточного стану справ наступного ходу буде повстання!	true
campaign_localised_strings_string_cha_faction_wales	Вельс	true
campaign_localised_strings_string_military_force_morale_bonus_value_politics	Політика	true
campaign_localised_strings_string_force_not_in_correct_stance_not_enough_ap	Це військо зараз не в позиції осілості та не має достатньо очок дій для оселення.	true
campaign_localised_strings_string_military_force_growth_tax	Податок	true
campaign_localised_strings_string_politics_character_cannot_become_governor_wounded	Цього персонажа не можна призначити губернатором, якщо він поранений.	true
campaign_localised_strings_string_events_attrition_summary_location	Провінція:	true
campaign_localised_strings_string_MPC_cannot_construct_not_your_turn	[[col:red]]Ви не можете будувати будівлі під час ходу інших держав.[[/col]]	true
campaign_localised_strings_string_politics_character_regent	Регент	true
campaign_localised_strings_string_end_turn_warning_public_order_low	У цій провінції небезпечно низький громадський порядок:	true
campaign_localised_strings_string_province_fertility_factor_buildings	Держави або будівлі	true
campaign_localised_strings_string_military_history_battles_victory_decisive	Вирішальна перемога проти:	true
campaign_localised_strings_string_politics_assign_governor	Клацніть ЛКМ, щоб призначити персонажа на цю посаду.	true
campaign_localised_strings_string_cha_mission_pope_attacked_1	Повернути Папу до Риму. (Персонаж в якого в оточенні знаходиться Папа має повернутися до регіону Рим.)	true
campaign_localised_strings_string_recruit_assassin_tooltip	Завербувати вбивцю||Навчені мистецтву вбивства, наймані вбивці можуть усунути ворожих полководців та агентів. Їхні вміння також можна застосувати для навчання загонів і переслідування ворожих військ.	true
campaign_localised_strings_string_details_panel_skills_cannot_select	Цей персонаж не може навчитися цьому вмінню:	true
campaign_localised_strings_string_raise_navy_capped	Неможливо  зібрати фльоту.||У Вас недостатньо імперіума.	true
campaign_localised_strings_string_raise_legacy_capped	Неможливо відновити спадщину.||У Вас недостатній імперіум.	true
campaign_localised_strings_string_end_turn_warning_not_researching	Зараз Ви не досліджуєте жодних технологій.	true
campaign_localised_strings_string_military_force_growth_technologies	Технології	true
campaign_localised_strings_string_development_points_tooltip_hordes_insufficent_development_points_number_expedition	Вам потрібен %n надлишок населення.||Експедиція з часом зростатиме, але поєднання рейдів і заселення разом із будівництвом відповідних будівель допоможе збільшити темп зростання.	true
campaign_localised_strings_string_province_fertility_factor_climate	Клімат	true
campaign_localised_strings_string_development_points_tooltip_hordes_growth	По мірі зростання орди її населення можна використовувати, щоб посилити її або створити нові орди.	true
campaign_localised_strings_string_imperium_01_description	Ваша сила має мале значення для світу... поки що!	true
campaign_localised_strings_string_military_force_morale_bonus_value_foreign_territory	Ворожа територія	true
campaign_localised_strings_string_imperium_02_description	Ви зарекомендували себе як гідна сила.	true
campaign_localised_strings_string_character_type_wife	Дружина	true
campaign_localised_strings_string_imperium_03_description	Чутки про Ваші досягнення розлетілися світом.	true
campaign_localised_strings_string_imperium_04_description	Ваші досягнення величезні.	true
campaign_localised_strings_string_imperium_05_description	Вашої влади водночас бояться й жадають.	true
campaign_localised_strings_string_imperium_06_description	Світ тремтить перед тобою.	true
campaign_localised_strings_string_imperium_07_description	Твоя сила найвища.	true
campaign_localised_strings_string_public_order_food_tooltip	Їжа	true
campaign_localised_strings_string_military_history_battles	Всі битви:	true
campaign_localised_strings_string_building_restriction_bel_bld_all_resources_olives_4	Щоб розблокувати цю будівлю, Ви повинні контролювати всі 4 регіони, що містять оливки, і побудувати будівлю з вирощування оливок в кожному з них.	true
campaign_localised_strings_string_politics_power_support_popular_description	Панування – це мірило Вашого впливу на Вашу державу - Ваша влада над народом. Воно визначається загальним впливом членів Вашої сім’ї порівняно з тими, хто не є членами сім’ї.\\n\\nУ поєднанні з контролем воно визначає загальну владу Вашої родини.	true
campaign_localised_strings_string_politics_cannot_assign_age	Цей персонаж не досяг повноліття і ще не може стати губернатором.	true
campaign_localised_strings_string_military_force_morale_unit_transfer	Передача загонів	true
campaign_localised_strings_string_recruitment_hire_from_horde	Завербувати із орди	true
campaign_localised_strings_string_public_order_taxes_tooltip	Високі податки не радують людей. Низькі податки роблять їх щасливими.	true
campaign_localised_strings_string_public_order_other_tooltip	Ваша реакція на дилеми та події впливає на те, як люди бачать Ваше лідерство.	true
campaign_localised_strings_string_province_contested	Спірна провінція.	true
campaign_localised_strings_string_politics_ministerial_position_required_rank	Необхідний ранг:	true
campaign_localised_strings_string_details_panel_skills_cannot_no_skill_points	У них немає очок вмінь.	true
campaign_localised_strings_string_unit_upgrade_multiple_units	Клацніть ЛКМ, щоб покращити всі вибрані загони.	true
campaign_localised_strings_string_raise_force_reinstate_cannot_no_legacies	[[col:red]]У Вас немає військової спадщини для відновлення.[[/col]]	true
campaign_localised_strings_string_politics_power_support_political_current	Поточний контроль:	true
campaign_localised_strings_string_att_eos_religious_mission_build_att_rel_semitic_paganism	Перетворіть або побудуйте 4 семітські язичницькі релігійні споруди, не будуючи жодних інших релігійних споруд.	true
campaign_localised_strings_string_public_order_other	Інше	true
campaign_localised_strings_string_public_order_taxes	Податки	true
campaign_localised_strings_string_politics_action_impossible_target_retainer_rank_too_high	[[col:red]]Персонажі можуть мати справу лише з васалами нижчого рангу, ніж вони самі.[[/col]]	true
campaign_localised_strings_string_cha_faction_saxon_kingdom	Королівство Саксонія	true
campaign_localised_strings_string_unit_details_rank	Ранг:	true
campaign_localised_strings_string_military_history_battles_defeat_decisive	Важка поразка від:	true
campaign_localised_strings_string_raise_force_navy_no_surplus	Неможливо  зібрати фльоту.||У Вас недостатньо надлишку населення.	true
campaign_localised_strings_string_zeal_desc	Захист від дій агента на зниження завзяття.	true
campaign_localised_strings_string_military_force_morale_faction_leader_died	Буйність	true
campaign_localised_strings_string_raise_army_besieged	Неможливо зібрати військо.||Це поселення в облозі.	true
campaign_localised_strings_string_public_order_food	Їжа	true
campaign_localised_strings_string_politics_action_impossible_target_underage	[[col:red]]Персонажі, які ще не досягли повноліття, не можуть брати участь у політичних діях.[[/col]]	true
campaign_localised_strings_string_cannot_migrate_no_armies	Ваші люди не можуть переселятися без армії.	true
campaign_localised_strings_string_politics_character_status_scheming	Плете інтригу	true
campaign_localised_strings_string_politics_character_status_deceased	Покійн.	true
campaign_localised_strings_string_events_attrition_summary_men_lost	Втрачено людей:	true
campaign_localised_strings_string_military_force_growth_core	Будівлі та їжа	true
campaign_localised_strings_string_public_order_deteriorating	Громадський порядок погіршується.	true
campaign_localised_strings_string_unit_upgrade_single_unit	Клацніть ЛКМ, щоб покращити вибраний загін за допомогою:	true
