key	text	tooltip
#Loc;1;text/db/campaign_statistics_categories.loc		
campaign_statistics_categories_localised_description_stat_cat_battles_general	Баталії	true
campaign_statistics_categories_localised_description_stat_cat_agents_breaker		true
campaign_statistics_categories_localised_description_stat_cat_general	Досягнення гри	true
campaign_statistics_categories_localised_description_stat_cat_empire_breaker		true
campaign_statistics_categories_localised_description_stat_cat_economy_income	Прибуток	true
campaign_statistics_categories_localised_description_stat_cat_military_forces	Сили	true
campaign_statistics_categories_localised_description_stat_cat_empire	Імперія	true
campaign_statistics_categories_localised_description_stat_cat_battles_breaker		true
campaign_statistics_categories_localised_description_stat_cat_general_breaker		true
campaign_statistics_categories_localised_description_stat_cat_battles_defeats	Втрати	true
campaign_statistics_categories_localised_description_stat_cat_agents_general	Агенти	true
campaign_statistics_categories_localised_description_stat_cat_economy_breaker		true
campaign_statistics_categories_localised_description_stat_cat_agents_actions	Дії	true
campaign_statistics_categories_localised_description_stat_cat_military_units	Загони	true
campaign_statistics_categories_localised_description_stat_cat_diplomacy	Дипломатія	true
campaign_statistics_categories_localised_description_stat_cat_economy_expenditure	Видатки	true
campaign_statistics_categories_localised_description_stat_cat_military_breaker		true
campaign_statistics_categories_localised_description_stat_cat_battles_aftermath	Наслідки	true
campaign_statistics_categories_localised_description_stat_cat_battles_victories	Перемоги	true
