key	text	tooltip
#Loc;1;text/db/campaign_statistics_strings.loc		
campaign_statistics_strings_localised_description_military_captives_executed	Полонених страчено:	true
campaign_statistics_strings_localised_description_empire_technologies_civil	Цивільні технології:	true
campaign_statistics_strings_localised_description_military_generals_recruited	Завербовано полководців:	true
campaign_statistics_strings_localised_description_agents_recruited_champions	Завербовано борців:	true
campaign_statistics_strings_localised_description_agents_assassinated_spies	Убито шпигунів:	true
campaign_statistics_strings_localised_description_military_captives_released	Викуплено полонених:	true
campaign_statistics_strings_localised_description_military_battles_heroic_victories	Героїчні перемоги:	true
campaign_statistics_strings_localised_description_empire_factions_destroyed	Знищено держав:	true
campaign_statistics_strings_localised_description_diplomacy_trade_max	Найбільше торгівельних угод:	true
campaign_statistics_strings_localised_description_economy_expenditure_total_upkeep	Витрати на утримання загонів:	true
campaign_statistics_strings_localised_description_diplomacy_allies_current	Поточні союзники:	true
campaign_statistics_strings_localised_description_military_battles_defeats	Всього поразок:	true
campaign_statistics_strings_localised_description_military_captives_enslaved	Захоплено в полон:	true
campaign_statistics_strings_localised_description_agents_lost_spies	Шпигунів втрачено:	true
campaign_statistics_strings_localised_description_economy_income_total_trade	Прибуток від торгівлі:	true
campaign_statistics_strings_localised_description_agents_successful_actions	Всього успішних дій:	true
campaign_statistics_strings_localised_description_empire_provinces_current	Поточних провінцій під контролем:	true
campaign_statistics_strings_localised_description_military_armies_established	Загальна кількість створених військ:	true
campaign_statistics_strings_localised_description_empire_settlements_captured	Захоплено поселень:	true
campaign_statistics_strings_localised_description_military_battles_settlement	Битви за поселення:	true
campaign_statistics_strings_localised_description_military_settlements_looted	Розграбовано та окуповано поселень:	true
campaign_statistics_strings_localised_description_agents_failed_actions_spies	Невдалі дії шпигунів:	true
campaign_statistics_strings_localised_description_military_forces_established	Загальна кількість створених військ:	true
campaign_statistics_strings_localised_description_military_battles_defeats_settlement	Поразки в битві за поселення:	true
campaign_statistics_strings_localised_description_military_battles_defeats_combined	Поразки в комбінованих битвах :	true
campaign_statistics_strings_localised_description_agents_recruited	Загальна кількість набраних агентів:	true
campaign_statistics_strings_localised_description_military_battles_victories_ambush	Перемоги в битвах із засідки:	true
campaign_statistics_strings_localised_description_diplomacy_war_max	Найбільше війн:	true
campaign_statistics_strings_localised_description_economy_income_max	Найвищий прибуток за всю історію:	true
campaign_statistics_strings_localised_description_economy_income_total_tax	Прибуток від податків:	true
campaign_statistics_strings_localised_description_military_fleets_max	Найбільше фльоти:	true
campaign_statistics_strings_localised_description_economy_expenditure_current	Поточні витрати:	true
campaign_statistics_strings_localised_description_military_units_total_lost	Всього втрачено загонів:	true
campaign_statistics_strings_localised_description_military_battles_victories_combined	Перемоги в комбінованих битвах:	true
campaign_statistics_strings_localised_description_agents_lost	Загальна кількість втрачених агентів:	true
campaign_statistics_strings_localised_description_empire_factions_encountered	Держав зустрінуто:	true
campaign_statistics_strings_localised_description_military_fleets_established	Всього створено фльоти:	true
campaign_statistics_strings_localised_description_empire_settlements_current	Поточних поселень під контролем:	true
campaign_statistics_strings_localised_description_military_armies_max	Найбільше військ:	true
campaign_statistics_strings_localised_description_military_battles_victories_naval	Перемоги в морських битвах:	true
campaign_statistics_strings_localised_description_agents_failed_actions_dignitaries	Невдалі дії проповідників:	true
campaign_statistics_strings_localised_description_agents_successful_actions_champions	Успішні дії борців:	true
campaign_statistics_strings_localised_description_military_settlements_raised	Зруйновано поселень:	true
campaign_statistics_strings_localised_description_military_settlements_sacked	Спустошено поселень:	true
campaign_statistics_strings_localised_description_military_battles_victories_siege	Перемоги в облогових битвах:	true
campaign_statistics_strings_localised_description_economy_expenditure_total	Загальна сума витрат:	true
campaign_statistics_strings_localised_description_military_battles_victories	Загальна кількість перемог:	true
campaign_statistics_strings_localised_description_military_battles_combined	Комбіновані битви:	true
campaign_statistics_strings_localised_description_military_forces_max	Найбільше військ:	true
campaign_statistics_strings_localised_description_military_battles_crushing_defeats	Нищівні поразки:	true
campaign_statistics_strings_localised_description_agents_assassinated	Загальна кількість убитих агентів:	true
campaign_statistics_strings_localised_description_military_battles_ambush	Битви із засідок:	true
campaign_statistics_strings_localised_description_empire_technologies_military	Військові технології:	true
campaign_statistics_strings_localised_description_economy_income_total_raiding	Прибуток від розбійництва:	true
campaign_statistics_strings_localised_description_agents_failed_actions	Усього невдалих дій:	true
campaign_statistics_strings_localised_description_military_armies_current	Поточні війська:	true
campaign_statistics_strings_localised_description_agents_failed_actions_champions	Невдалі дії борців:	true
campaign_statistics_strings_localised_description_empire_settlements_max	Найбільше поселень під контролем:	true
campaign_statistics_strings_localised_description_military_forces_current	Поточні війська:	true
campaign_statistics_strings_localised_description_empire_settlements_lost	Втрачено поселень:	true
campaign_statistics_strings_localised_description_military_battles_defeats_ambush	Поразки в битві із засідки:	true
campaign_statistics_strings_localised_description_agents_assassinated_dignitaries	Убито проповідників:	true
campaign_statistics_strings_localised_description_military_battles_port	Портові битви:	true
campaign_statistics_strings_localised_description_military_settlements_liberated	Звільнено поселень:	true
campaign_statistics_strings_localised_description_military_battles_victories_port	Перемоги в портових битвах:	true
campaign_statistics_strings_localised_description_agents_lost_dignitaries	Проповідників втрачено:	true
campaign_statistics_strings_localised_description_military_battles_siege	Облогові битви:	true
campaign_statistics_strings_localised_description_empire_resources_unique	Унікальних ресурсів:	true
campaign_statistics_strings_localised_description_military_battles_naval	Морські битви:	true
campaign_statistics_strings_localised_description_military_battles_total	Загальна кількість битв:	true
campaign_statistics_strings_localised_description_edicts_issued	Видані едикти:	true
campaign_statistics_strings_localised_description_military_battles_victories_settlement	Перемоги в битвах за поселення:	true
campaign_statistics_strings_localised_description_military_battles_defeats_land	Поразки в наземних битвах:	true
campaign_statistics_strings_localised_description_economy_income_total	Загальний прибуток:	true
campaign_statistics_strings_localised_description_economy_income_total_looting	Прибутки від грабунку, руйнування та спустошення:	true
campaign_statistics_strings_localised_description_agents_recruited_dignitaries	Завербовано проповідників:	true
campaign_statistics_strings_localised_description_military_units_total_destroyed	Знищено загонів:	true
campaign_statistics_strings_localised_description_military_battles_defeats_port	Поразки в портових битвах:	true
campaign_statistics_strings_localised_description_agents_total_actions	Всього дій агентів:	true
campaign_statistics_strings_localised_description_economy_income_current	Поточний прибуток:	true
campaign_statistics_strings_localised_description_military_units_total_recruited	Загальна кількість завербовано загонів:	true
campaign_statistics_strings_localised_description_economy_expenditure_max	Найвищі витрати за всю історію:	true
campaign_statistics_strings_localised_description_military_fleets_current	Поточні фльоти:	true
campaign_statistics_strings_localised_description_economy_income_interest	Відсоток:	true
campaign_statistics_strings_localised_description_military_battles_victories_land	Перемоги в наземних битвах:	true
campaign_statistics_strings_localised_description_military_battles_autoresolved	Самочинні битви:	true
campaign_statistics_strings_localised_description_diplomacy_war_current	Актуальні війни:	true
campaign_statistics_strings_localised_description_empire_provinces_max	Найбільше провінцій під контролем:	true
campaign_statistics_strings_localised_description_empire_buildings_constructed	Споруджено будівель:	true
campaign_statistics_strings_localised_description_economy_expenditure_total_construction	Витрати на будівництво:	true
campaign_statistics_strings_localised_description_empire_technologies_all	Досліджено технологій:	true
