key	text	tooltip
#Loc;1;text/db/character_skill_node_sets.loc		
character_skill_node_sets_enc_title_bel_army_legacy	Військові звичаї	true
character_skill_node_sets_enc_title_att_navy_legacy_barbarian_germanic_north	Варварські морські звичаї	true
character_skill_node_sets_enc_title_att_agent_skills_priest_barbarian_germanic_east	Вміння жриці	true
character_skill_node_sets_enc_title_att_agent_skills_priest_barbarian_germanic_west	Вміння жриці	true
character_skill_node_sets_enc_title_cha_army_legacy	Військові звичаї	true
character_skill_node_sets_enc_title_att_army_legacy_eastern_caucasian	Східні військові звичаї	true
character_skill_node_sets_enc_title_att_navy_legacy_eastern_caucasian	Східні морські звичаї	true
character_skill_node_sets_enc_title_att_agent_skills_priest_eastern_caucasian	Вміння волхва	true
character_skill_node_sets_enc_title_att_agent_skills_priest_barbarian_germanic_north	Вміння жриці	true
character_skill_node_sets_enc_title_cha_spy_skills	Вміння шпигуна	true
character_skill_node_sets_enc_title_bel_navy_legacy	Морські звичаї	true
character_skill_node_sets_enc_title_bel_spy_skills	Вміння шпигуна	true
character_skill_node_sets_enc_title_att_agent_skills_priest_nomadic_sarmatian	Вміння шамана	true
character_skill_node_sets_enc_title_att_army_legacy_nomadic_sarmatian	Військові звичаї кочовиків	true
character_skill_node_sets_enc_title_att_army_legacy_barbarian_germanic_north	Військові звичаї варварів	true
character_skill_node_sets_enc_title_cha_general_skills_danes	Вміння полководців	true
character_skill_node_sets_enc_title_bel_priest_skills	Вміння проповідника	true
character_skill_node_sets_enc_title_cha_priest_skills	Вміння проповідника	true
character_skill_node_sets_enc_title_cha_navy_legacy	Морські звичаї	true
character_skill_node_sets_enc_title_cha_priest_skills_nomad	Вміння проповідника	true
character_skill_node_sets_enc_title_cha_priest_skills_islam	Вміння проповідника	true
character_skill_node_sets_enc_title_cha_priest_skills_pagan	Вміння проповідника	true
character_skill_node_sets_enc_title_att_agent_skills_priest_eastern_sassanid	Вміння волхва	true
character_skill_node_sets_enc_title_att_army_legacy_barbarian_germanic_east	Військові звичаї варварів	true
character_skill_node_sets_enc_title_att_army_legacy_barbarian_germanic_west	Військові звичаї варварів	true
character_skill_node_sets_enc_title_att_navy_legacy_barbarian_celtic	Варварські морські звичаї	true
character_skill_node_sets_enc_title_att_general_skills_eastern_desert	Вміння східних полководців	true
