key	text	tooltip
#Loc;1;text/db/cultures_subcultures.loc		
cultures_subcultures_confederation_summary_name_bel_sub_cult_roman	Західний Рим	true
cultures_subcultures_name_bel_sub_cult_roman	Римська	true
cultures_subcultures_name_att_sub_cult_nomadic_hunnic	Гунська	true
cultures_subcultures_name_att_sub_cult_eastern_desert	Пустельна	true
cultures_subcultures_name_att_sub_cult_eastern_caucasian	Кавказька	true
cultures_subcultures_name_att_sub_cult_roman_east	Східна римська	true
cultures_subcultures_name_att_sub_cult_roman_west	Західна римська	true
cultures_subcultures_name_att_sub_cult_barbarian_germanic_north	Північногерманська	true
cultures_subcultures_name_att_sub_cult_nomadic_sarmatian	Сарматська	true
cultures_subcultures_name_att_sub_cult_eastern_sassanid	Сасанідська	true
cultures_subcultures_confederation_screen_name_bel_sub_cult_roman	Зах. Римська імперія	true
cultures_subcultures_name_att_sub_cult_barbarian_celtic	Кельтська	true
cultures_subcultures_name_att_sub_cult_barbarian_germanic_east	Східногерманська	true
cultures_subcultures_name_att_sub_cult_barbarian_germanic_west	Західногерманська	true
