key	text	tooltip
#Loc;1;text/db/deployables.loc		
deployables_description_deployable_brimstone	Сірка і бітум, серед іншого, можуть бути змішані для створення дуже небезпечної зброї. Бітум допомагає сірчаному композиту, який повільно горить, прилипати до речей, особливо до людей і верхових тварин, викликаючи серйозні опіки, якщо не смерть. Крім вогняних стріл, суміш також можна лити з веж під час облог. Сірчану яму можна розгорнути до початку бою та запалити, коли ворожий напад розпочинається, в ідеалі надто пізно, щоб його можна було припинити.	true
deployables_description_deployable_spiketrap	Пастки з кілками — це заховані кілки або групи кілок, приховані листям, які руйнуються, коли на них наступають, спричиняючи травми або смерть через садження на палю.	true
deployables_name_deployable_stakes	Кілки	true
deployables_tooltip_deployable_sharp_stones	Гострі камені заважають просуванню загону, який стане гарною ціллю для стрілецьких військ.	true
deployables_name_deployable_caltrop	Шипи	true
deployables_description_deployable_caltrop	Шипи є надзвичайно універсальною зброєю. Завдяки характеру їхньої конструкції їх можна помістити в землю для створення низьких частоколів або з’єднати між собою, щоб створити форму їжаків. У формі caltrop sudes можуть вбивати вояків, які набігають з будь-якого напрямку (те, що не може робити з кілками).	true
deployables_name_deployable_spiketrap	Пастки з кілками	true
deployables_name_deployable_brimstone	Ями із сіркою	true
deployables_tooltip_deployable_stakes	Кілки завдають шкоди вершникам, які наближаються спереду. Вони завдають додаткової шкоди, якщо загін рухається швидко.	true
deployables_description_deployable_fireball	Камені, колоди та тюки сіна можна підпалити та використати, щоб порушити бойові лінії перед атакою або послабити моральний дух захисників. Об’єкти можна облити смолою, сіркою, смолою, соком тощо залежно від бажаного ефекту. Ці предмети, що розгортаються, найкраще використовувати в ситуаціях засідки та/або на нерівній місцевості.	true
deployables_name_deployable_fireball	Вогняні кулі	true
deployables_description_deployable_sharp_stones	Гострі кам’яні ділянки створюються з різних типів каменю, будуються як форма несмертельного захисту навколо поселень. Камені можна або заглибити в землю, або покласти купками неправильної форми. Піхота знаходить ці складні об’єкти для проходження, тоді як кавалерія може пройти, лише вибираючи маршрути між камінням. Цей ефект уповільнення створює ефективну зону вбивства в каменях і навколо них, ідеально стрільців, щоб знищити свої цілі.	true
deployables_tooltip_deployable_fireball	Вогняні кулі котяться вниз і завдають великої шкоди всім загонам на своєму шляху. Ними можна активувати, натиснувши на загін, а потім на вогненну кулю.\\n\\nДля активації вогняних куль загони мають бути в режимі ближнього бою.	true
deployables_description_deployable_stakes	Дерев'яні кілки є одним з найпоширеніших засобів захисту поселень. Простий, але ефективний пристрій, загострені кілки, встановлені під кутом 45 градусів, щоб проколоти людей або коней, що нападають. Їх можна легко орієнтувати, коли вони рухаються повільно, але навіть це можна використовувати на користь стрільців. Коли, розташовані під таким кутом, також можуть дозволити захисникам виступати без ризику сам попасти на палю.	true
deployables_name_deployable_sharp_stones	Гострі камені	true
deployables_tooltip_deployable_caltrop	Шипи завдають шкоди кінним загонам, які наближаються під будь-яким кутом, і додаткової шкоди, якщо вони швидко рухаються.	true
deployables_tooltip_deployable_brimstone	Ями можна запалити, щоб підпалити загони, які нічого не підозрюють. Їх можна активувати палаючими снарядами або зблизька.	true
deployables_tooltip_deployable_spiketrap	Пастки з кілками — це прихована небезпека, яка завдає втрат будь-яким загонам, які намагаються перейти через них.	true
