key	text	tooltip
#Loc;1;text/db/diplomacy_strings.loc		
diplomacy_strings_string_barb_hun_offer_request_peace_01	Я слухав пращурів. Вони говорять ні про що інше, як про мир…	true
diplomacy_strings_string_barb_hun_offer_request_peace_03	Наші суперники кружляють, як ворони, а ми боремося, щоб дати їм м’ясо. Ми повинні мати мир.	true
diplomacy_strings_string_barb_hun_offer_request_peace_02	Силу показали живі і мертві. Тепер настав час відкласти війну…	true
diplomacy_strings_string_barb_hun_offer_request_peace_05	Скільки крові ми повинні пролити, перш ніж знайти мудрість?	true
diplomacy_strings_string_barb_hun_offer_request_trade_02	Ми обидва напевно виграли б, якби погодилися відкрити торгівлю. Добре?	true
diplomacy_strings_string_barb_hun_offer_request_peace_04	Наші боги вважають цю війну марнотратною. У нас буде мир?	true
diplomacy_strings_string_barb_hun_offer_request_trade_03	У нас є гарні товари, а Ви маєте багато чого, чого ми хочемо натомість. Отже, у нас буде торгівля?	true
diplomacy_strings_string_barb_hun_offer_request_peace_06	Ми будемо сваритися, поки обидва не станемо на коліна?	true
diplomacy_strings_string_barb_hun_offer_request_trade_01	Ріка товарів і монет між нашими землями напевно сприяла б процвітанню?	true
diplomacy_strings_string_eastern_acknowledge_cancel_military_access_03	З цього дня ми ведемо наші війська іншими дорогами.	true
diplomacy_strings_string_eastern_acknowledge_cancel_military_access_02	Мій шановний володар прив’яже свої могутні армії.	true
diplomacy_strings_string_eastern_acknowledge_cancel_military_access_01	Ах, це прикро, але ми погодимося. Наші армії більше не будуть входити у Ваших володінь.	true
diplomacy_strings_string_rome_christian_cancel_military_access_01	Наші кордони закриті для Ваших військ. Імператор погано спить, коли чужинці марширують нашими землями.	true
diplomacy_strings_string_barb_christian_generic_reject_08	Бог цього не допустить. Незважаючи на всі його переваги, цього недостатньо, щоб вгамувати його гнів.	true
diplomacy_strings_string_barb_christian_generic_reject_09	Прийняття цих умов означало б ризикувати гнівом і Бога, і мого народу. Я не можу на це йти.	true
diplomacy_strings_string_barb_christian_generic_reject_02	Мій народ не може прийняти таке. Справедливо прокляв би нас Господь!	true
diplomacy_strings_string_barb_christian_generic_reject_01	Ні, ні, ні. Господь наслав би на всіх нас червону чуму, якби я погодився на таке.	true
diplomacy_strings_string_barb_christian_reject_demand_single_payment_02	Совість не дала б мені спокійно, якби я дав тобі гроші і, тим самим, віддав честь.	true
diplomacy_strings_string_rome_reject_attack_faction_01	Такий напад може бути розумним, але я не вірю, що консули нададуть війська.	true
diplomacy_strings_string_rome_reject_attack_faction_03	Наші легіони мають свої накази. На жаль для Вас, їхні накази не включають виконання Ваших наказів.	true
diplomacy_strings_string_rome_reject_attack_faction_02	Люди не бачать потреби витрачати мечі та монети з гаманця на необдумані пригоди.	true
diplomacy_strings_string_barbarian_reject_angry_demand_single_payment_01	Єдине золото, яке я тобі віддам, — це сеча моїх рабів, і я тобі навіть це шкодую дати!	true
diplomacy_strings_string_barbarian_reject_angry_demand_single_payment_02	Слабкі та безхарактерні можуть кинути Вам м'яса, але годувати бродячих собак ми не будемо.	true
diplomacy_strings_string_barbarian_reject_angry_demand_single_payment_03	Тоді ти вважаєш мене дурнем? Чи мій народ? Або наші пращури? Одна монета, і Ваше жебрацтво ніколи не закінчиться!	true
diplomacy_strings_string_diplomatic_option_nonaggression_pact_warning	Розірвати угоду про ненапад||Ви бажаєте розірвати угоду про ненапад із цією державою?	true
diplomacy_strings_string_current_treaty_peace	Мирна угода	true
diplomacy_strings_string_personality_desc_short_dislikes_huns	Не любить гунів	true
diplomacy_strings_string_rome_acknowledge_war_09	Більше ніяких розмов. Тепер настав момент, коли мечі мають казати слова.	true
diplomacy_strings_string_rome_acknowledge_war_08	Боги кинули свої кістки, і війна буде. Наша честь буде задоволена!	true
diplomacy_strings_string_rome_acknowledge_war_01	Добре, боги застібнуть свої обладунки, щоб захистити нашу честь. Попіклуйтесь про своє місце в землі!	true
diplomacy_strings_string_rome_acknowledge_war_03	Ви оголошуєте нам війну? Ха! Принеси жертву богам мертвих, бо скоро зустрінеш їх!	true
diplomacy_strings_string_rome_acknowledge_war_02	Війна - це римський шлях! Ми принесемо жертву богам! Подивіться на свою неминучу поразку!	true
diplomacy_strings_string_rome_acknowledge_war_05	Війна — добре протоптана дорога для римлян. Ми не здригнемося і не відвернемося.	true
diplomacy_strings_string_rome_acknowledge_war_04	Дуже добре! Немає нічого ближчого до справжнього серця доброго римлянина, ніж перспектива війни та пролиття ворожої крові!	true
diplomacy_strings_string_rome_acknowledge_war_07	Хай буде так! Віддайте своїх жінок і дітей до меча, і врятуйте їх від рабства з наших рук!	true
diplomacy_strings_string_rome_acknowledge_war_06	Легіони витримають цей виклик. Чоловіки нудьгують, коли не можуть з нетерпінням чекати бою!	true
diplomacy_strings_string_barbarian_beg_third_party_join_war_03	Ти сильний і мудрий, але я дивуюся, чому ти стоїш осторонь цієї війни. Я Вас прошу: боріться!	true
diplomacy_strings_string_barbarian_beg_third_party_join_war_02	Твої люди перетворять нутрощі ворогів на воду! Прийди, допоможи нам у цій війні, благаю!	true
diplomacy_strings_string_barbarian_beg_third_party_join_war_01	Об’єднайте свою могутню силу з нашою в цій боротьбі. Я прошу заради свого народу.	true
diplomacy_strings_string_diplomatic_factor_broken_treaties	Розірвані угоди з	true
diplomacy_strings_string_barb_hun_offer_demand_peace_05	Чи будемо ми рубати один одного, поки наші вороги не наїдяться тілами воїнів? Або буде мир?	true
diplomacy_strings_string_barb_hun_offer_demand_trade_02	Сьогодні мене хвилює торгівля. Це може принести процвітання всім!	true
diplomacy_strings_string_barb_hun_offer_demand_peace_04	Ми приходимо, щоб сказати слова сили. Відповідайте з силою, яка укладе мир.	true
diplomacy_strings_string_barb_hun_offer_demand_trade_03	Моя пропозиція — пряма стріла. Моїм людям потрібні Ваші товари. Що ти кажеш?	true
diplomacy_strings_string_barb_hun_offer_demand_peace_06	Наша боротьба закінчиться погано для всіх. Я пропоную мир. Що ти кажеш?	true
diplomacy_strings_string_barb_hun_offer_demand_trade_01	Пропозиція мого пана проста: торгуйте. У Вас є багато чого, чого ми хочемо. Отже, що ти кажеш?	true
diplomacy_strings_string_barb_hun_offer_demand_peace_01	Є час, коли воїни повинні вкласти меч у піхви та говорити заради блага свого народу.	true
