key	text	tooltip
#Loc;1;text/db/effects.loc		
effects_description_att_effect_morale_against_nomads	Моральний дух: %+n проти кочовиків	true
effects_description_att_effect_damage_against_nomads	Шкода у ближ. бою: %+n проти кочовиків	true
effects_description_att_effect_attack_against_nomads	Атака в ближньому битви: %+n під час битви з кочовиками	true
effects_description_att_effect_force_navy_battle_support_ship_missile_damage	Шкода від пострілів: %+n% для артилерійських човнів	true
effects_description_att_effect_imported_food	Імпортована їжа: %+n їжа з активних торгівельних шляхів	true
effects_description_att_effect_agent_action_outcome_target_army_replenishment_increase_dummy	Швидкість поповнення: %+n%	true
effects_description_att_effect_edict_eastern_enlightenment_sanitation	Санітарія: %+n	true
effects_description_att_effect_force_navy_battle_unit_morale_blockade	Моральний дух: %+n проти облоги	true
effects_description_att_effect_force_unit_stat_missile_damage	Шкода від пострілів: %+n%	true
effects_description_att_effect_agent_action_outcome_local_province_recruitment_points	Можливість вербування: %+n	true
effects_description_att_effect_force_army_campaign_military_morale_add_when_fortified	Єдність: %+n в таборі	true
effects_description_att_effect_unit_training_morale_infantry	Підготовка морального духу: %+n для новобранців піхоти	true
effects_description_att_effect_agent_action_outcome_target_gather_intelligence_dummy	Отримано інформації: %+n	true
effects_description_att_mission_issued_dummy	Завдання видано!	true
effects_description_att_effect_agent_field_line_of_sight_mod	Пряма видимість: %+n%	true
effects_description_att_faction_trait_venedi_growth	Зростання: %+n	true
effects_description_att_effect_force_army_battle_unit_morale_during_ambushes	Моральний дух: %+n під час засідок	true
effects_description_att_effect_force_army_campaign_military_morale_add_when_settled	Єдність: %+n в таборі	true
effects_description_att_effect_general_religious_roman_unrest	Громадський порядок: до %+n бонусу від наявності римського язичництва	true
effects_description_att_effect_general_local_mod_construction_costs	Вартість будівництва: %+n%	true
effects_description_cha_effect_agent_action_sabotage_building_enable	Дає змогу: [[col:yellow]]Диверсія будівлі[[/col]]	true
effects_description_cha_effect_religion_osmosis_islam	Релігійне проникнення: %+n іслам	true
effects_description_att_effect_religion_osmosis_arian	Релігійне проникнення: %+n аріянське християнство	true
effects_description_att_effect_force_navy_campaign_recruitment_points	Чисельність вербування морських військ: %+n	true
effects_description_att_effect_agent_action_enable_champion_hinder_character_assault	Дає змогу: [[col:yellow]]Напад[[/col]]	true
effects_description_att_effect_agent_action_buff_champion_hinder_settlement_sabotage_building_damage	Диверсія будівлі: завдано %+n% шкоди	true
effects_description_att_effect_edict_catholic_ecumenical_matters_corruption	Хабарництво: %+n%	true
effects_description_att_effect_edict_arian_docrines_arius_religious_conversion_mod	Едикт "Вчення Арія": %+n вплив аріянського християнства	true
effects_description_att_effect_agent_action_buff_spy_hinder_army_ruin_provisions_fatigue_resistance	Псування припасів: %+n% рівень втоми	true
effects_description_att_effect_plague_outbreak_mod_besieger	Хвороба: подвоює ймовірність спалаху	true
effects_description_att_effect_agent_recruitment_cost_mod_spy	Вартість вербування агентів: %+n% шпигунів	true
effects_description_att_effect_unit_equipment_weapon_bronze	Кування зброї I. Шкода в ближньому бою: %+n% для всіх нових загонів	true
effects_description_att_effect_force_army_battle_enable_defensive_deployables_fortification_eastern	Надає невеликий вибір засобів захисту під час нападу ворога	true
effects_description_att_effect_force_unit_stat_melee_attack	Атака в ближньому бою: %+n	true
effects_description_att_effect_enemy_force_morale_vs_himyar	Моральний дух ворога: %+n проти Хим'яра	true
effects_description_att_effect_force_army_battle_cavalry_light_missile_firing_rate	Темп пострілу: %+n% для легкої кінноти	true
effects_description_att_effect_force_army_campaign_experience_sassanid_azedan	Досвід загону %+n досвіду для загонів азадан	true
effects_description_att_effect_force_army_campaign_experience_base_artillery	Досвід загону: %+n для новобранців облогових загонів	true
effects_description_att_effect_unit_equipment_cavalry_horse_bonus_ii	Конярство II: %+n% бойова швидкість для новобранців кавалерії	true
effects_description_att_effect_edict_arian_docrines_arius_unit_morale_training_mod	Едикт "Вчення Арія": %+n тренування морального духу для всіх новобранців	true
effects_description_att_effect_agent_action_buff_champion_hinder_settlement_sabotage_walls_breaches	Диверсія стін: %+n стін пробито	true
effects_description_att_effect_force_unit_stat_melee_damage	Шкода у ближнім бою: %+n%	true
effects_description_att_effect_force_army_campaign_stance_ambush_tooltip_hint_dummy	Виберіть військо та наведіть курсор миші на місцевість, щоб визначити ймовірність успіху засідки.	true
effects_description_att_effect_force_campaign_military_morale_factor_politics	Єдність: %+n	true
effects_description_att_effect_economy_corruption_mod	Хабарництво: %+n% поточного значення	true
effects_description_att_effect_edict_zoroastrian_pursuit_truth_corruption_mod	Едикт "Прагнення до істини": %+n% хабарництва	true
effects_description_att_effect_general_religious_arian_unrest	Громадський порядок: до %+n бонусу від наявності аріянського християнства	true
effects_description_att_effect_faction_trait_roman_east_economic_powerhouse_2_trade_tarrifs	Митні платежі: %+n%	true
effects_description_att_effect_edict_graeco_roman_will_jupiter_military_research_mod	Едикт "Воля Юпітера": %+n% темп дослідження для військових технологій	true
effects_description_att_effect_agent_action_outcome_local_province_recruitment_cost	Вартість вербування: %+n%	true
effects_description_cha_effect_economy_gdp_mod_all_adjacent_province	Багатство: %+n% від усіх будівель у сусідніх провінціях	true
effects_description_att_effect_edict_celtic_power_taranis_religious_conversion_mod	Едикт "Могутність Тіва": %+n вплив кельтського язичництва	true
effects_description_att_faction_trait_sclaveni_dummy	Моральний дух, захист та атака в ближньому бою: %+n і шкода в ближньому бою: +20% під час битви з кочовиками	true
effects_description_att_effect_force_army_battle_enable_defensive_deployables_fortification_barbarian	Надає невеликий вибір засобів захисту під час нападу ворога	true
effects_description_att_effect_religion_osmosis_other	Релігійне проникнення: %+n незначні релігії	true
effects_description_att_effect_agent_action_buff_spy_passive_ability_infiltrate_detectibility	Проникнення: %+n% імовірність бути виявленим	true
effects_description_att_effect_force_navy_battle_unit_morale_blockade_defence	Моральний дух: %+n в блокаді	true
effects_description_att_effect_force_unit_stat_morale	Моральний дух: %+n	true
effects_description_cha_effect_agent_action_exploit_corruption_enable	Дає змогу: [[col:yellow]]Зиск від хабарництва[[/col]]	true
effects_description_att_effect_force_army_campaign_stance_raiding_tooltip_hint_dummy	Здійснює набіги на місцеві регіони та торгівельні шляхи в пошуках багатства.	true
effects_description_cha_effect_religion_osmosis_christianity	Релігійне проникнення: %+n християнство	true
effects_description_att_effect_character_loyalty_mod	Вірність: %+n	true
effects_description_att_effect_province_faction_mercenary_xp_bonus	Досвід загону: %+n для найманців місцевої держави	true
effects_description_att_effect_province_attribute_subterfuge	Безпека провінції: %+n проти шпигунів	true
effects_description_att_effect_technology_research_cost_mod	Вартість дослідження: %+n%	true
effects_description_att_effect_edict_catholic_ecumenical_matters_non_state_religious_conversion_mod	Едикт "Екуменічні питання": %+n релігійний вплив нелатинських християн	true
effects_description_att_effect_edict_rome_west_bread_circuses_public_order	Громадський порядок: %+n	true
effects_description_att_effect_unit_equipment_shields_bronze	Виготовлення щитів I: %+n% ефективності щитів для новобранців зі щитом	true
effects_description_att_effect_force_army_battle_cavalry_light_melee_attack	Атака в ближньому бою: %+n для легкої кавалерії	true
effects_description_att_effect_edict_rome_east_rural_development_food	Виробництво їжі: %+n	true
effects_description_att_effect_force_navy_battle_unit_morale_blockade_attack	Моральний дух: %+n під час блокади	true
effects_description_att_effect_sanitation_buildings	Санітарія: %+n	true
effects_description_num_wall_mounted_artillery_picks	Кількість метальних машин, які може виставити захисник на стіну перед битвою. Використовується як переваги регіону.	true
effects_description_att_effect_edict_germanic_might_tiw_religious_conversion	Релігійний вплив: %+n германське язичництво	true
effects_description_bel_faction_trait_roman_expedition_3_integrity	Комітатенси. Єдність військ: %+n	true
effects_description_att_effect_agent_action_buff_champion_hinder_character_assault_critical_chance	Напад: %+n% імовірність вбити ціль	true
effects_description_att_effect_faction_trait_norse_geats_cold_blood_2_immune_snow_attrition	Захист втрат через виснаження в снігах	true
effects_description_att_effect_force_army_campaign_recruitment_cost_infantry	Вартість вербування: %+n% піхоти	true
effects_description_att_effect_suebi_dummy	Утримання: %+n% на 10 ходів для будь-якого війська, що грабує чи руйнує поселення.	true
effects_description_att_effect_edict_zoroastrian_teachings_religious_tolerance_mod	Едикт "Вчення Заратустри". Кара на громад. порядок через інші релігії: %+n%	true
effects_description_att_effect_force_army_battle_unit_morale_during_forest	Моральний дух: %+n в лісі	true
effects_description_att_effect_agent_action_success_chance	Імовірність успіху: %+n%	true
effects_description_att_effect_politics_political_action_political_support_cost_mod	Вартість політичних дій: %+n% політичної підтримки	true
effects_description_att_faction_trait_antes_morale_grassland_desert_plains	Шкода у ближ. бою: %+n на луках або пустельних рівнинах	true
effects_description_bel_effect_technology_immune_seasickness	Стійкість до морських хвороб	true
effects_description_att_effect_character_loyalty_mod_faction	Вірність: %+n	true
effects_description_att_effect_force_navy_battle_hull_armour	Міцність корпусу: %+n%	true
effects_description_att_effect_agent_action_outcome_target_settlement_steal_corruption_money	Грошові втрати через хабарництво: %+n%	true
effects_description_att_effect_agent_action_outcome_target_army_charge_bonus	Покращення наступу: %+n%	true
effects_description_att_effect_unit_equipment_shields_silver	Виготовлення щитів II: %+n% ефективності щитів для новобранців зі щитом	true
effects_description_att_effect_general_catholic_religious_happiness	Громадський порядок: до %+n бонусу від наявності латинського християнства	true
effects_description_effect_building_construction_cost_mod_settlements	Вартість будівництва: %+n% споруд в головних поселеннях	true
effects_description_att_effect_agent_action_outcome_target_army_missile_range	Дальність пострілів: %+n%	true
effects_description_bel_effect_expeditionbuilding_growth_tech	Зростання експедиції: %+n	true
effects_description_att_effect_force_army_battle_enable_defensive_deployables_sudes	Можливості розгортання: %+n комплекти шипів	true
effects_description_att_effect_force_navy_battle_support_ship_missile_range	Дальність пострілів: %+n% для човнів із стрільцями	true
effects_description_att_effect_edict_germanic_judgment_wodan_religious_happiness_mod	Едикт "Суд Водана": бонус до громадського порядку до %+n від присутності германського язичництва	true
effects_description_att_effect_unit_equipment_weapon_silver	Кування зброї ІI. Шкода в ближньому бою: %+n% для всіх нових загонів	true
effects_description_att_faction_trait_antes_attack_grassland_desert_plains	Моральний дух: %+n під час битви на луках або пустельних рівнинах	true
effects_description_cha_effect_war_weariness_score	Поточна втома від війни: [[col:yellow]]%n%[[/col]]	true
effects_description_att_effect_agent_action_buff_spy_hinder_settlement_ruin_stores	Руйнування комор: %+n виробництво їжі	true
effects_description_att_effect_morale_against_judaism	Моральний дух: %+n проти юдейських держав	true
effects_description_att_effect_enemy_force_morale_vs_lakhmids	Моральний дух ворога: %+n проти лахмидів	true
effects_description_att_effect_tech_income_damaging_buildings	Прибуток: %+n за кожні 10% шкоди поселенням під час битви.	true
effects_description_att_effect_edict_manichaeist_exaltation_elect_religious_happiness	Громадський порядок: до %+n бонусу від наявності маніхейства	true
effects_description_att_effect_force_army_battle_infantry_spears_melee_attack	Атака в ближньому бою: %+n для списоносців	true
effects_description_att_faction_trait_antes_damage_grassland_desert_plains	Атака в ближньому битви: %+n під час битви на луках або пустельних рівнинах	true
