key	text	tooltip
#Loc;1;text/db/encyclopedia_blocks.loc		
encyclopedia_blocks_content_enc_text_manual_campaign_characters_abilities_generals	Полководець має величезний вплив на долю своєї армії в бою, не в останню чергу тому, що здібності в його розпорядженні можуть змінити ситуацію на її користь. Ви можете розблокувати здібності полководців і розвивати їх відповідно до навичок і досвіду, іноді вдосконалюючи їх, щоб стати сильнішими або впливати на більше загонів. Є три атрибути, які розблоковують різні категорії здібностей полководця: «Воїн», який відкривається високим завзяттям; «Командувач», які стають доступними при високому авторитеті; «Стратег», залежний від високої хитрості. Коли полководець або адмірал покращує кожен із своїх трьох атрибутів, він поступово розблоковуватиме подальші здібності.	true
encyclopedia_blocks_heading_enc_text_manual_battle_conflict_controls	Основні елементи керування	true
encyclopedia_blocks_content_enc_text_manual_battle_conflict_controls_compass	Компас маневру використовується для точного налаштування порядків на бойовищі. Три стрілки у його верхній половині можна використовувати, щоб направити загін чи групу прямо вперед або повернути ліворуч чи праворуч. Кнопка в центрі нижньої половини змушує обраний загін повертатися назад. Утримуючи цю кнопку, вони повертаються та йдуть назад. Натискання й утримування кнопок рангу й команди з обох боків змінює глибину шикування загону, збільшуючи чи зменшуючи кількість рядів, у яких стоять війська.	true
encyclopedia_blocks_content_enc_text_manual_actions_campaign_construction_demolish	Будівлі можна знести, якщо Ви бажаєте побудувати щось інше на їхньому місці (або не залишити нічого цінного загарбникам, якщо Ви збираєтеся залишити регіон), використовуючи кнопку знести, яка з’являється, коли Ви наводите вказівник на будівлю на розрахункова панель. Поселення та порти не можуть бути зруйновані на базових рівнях.	true
encyclopedia_blocks_heading_enc_text_politics_power	Вплив	true
encyclopedia_blocks_heading_enc_text_characters_agents_spies_wells	Отруєння криниць	true
encyclopedia_blocks_content_enc_text_manual_hud_diplomacy_options_war_declare	Опція оголошення війни використовується для офіційного початку збройних дій з іншою державою, на відміну від простого маршу на її територію, щоб заявити свої претензії. Ніколи не оголошуйте війну, попередньо не обдумавши наслідки, оскільки погано підготовлений напад може призвести до зниження Вашого статусу сатрапії чи клієнта, або ще гірше: до знищення Вашої держави. Зауважте, що під час Вашої заяви прапорець із проханням союзників приєднатися до Вас за замовчуванням має значення «так». Ваші союзники оцінять ситуацію і можуть погодитися оголосити війну, але можуть так само легко розірвати Ваш альянс, залишивши Вас напризволяще.	true
encyclopedia_blocks_heading_enc_text_manual_battle_conflict_abilities_shield_screen	Непроникні щити	true
encyclopedia_blocks_content_enc_text_manual_battle_conflict_formations_naval_flanking_melee_double	Цей варіант подвійного шикування ближнього бою розташовує човни у два ряди, щоб пробити ворожий центр і розділити їх стрій. Найважчі човни знаходяться найдалі від центру формації.	true
encyclopedia_blocks_heading_enc_text_manual_battle_conflict_crossings_attack	Напад броду через річку	true
