key	text	tooltip
#Loc;1;text/db/encyclopedia_historical_info_blocks.loc		
encyclopedia_historical_info_blocks_content_enc_text_hist_characters_punic_hannibal	«Бог не дав людині гострішого стимулу до перемоги, ніж презирство до смерті». – Ганнібал Барка\\n\\nГаннібал широко вважається одним із найвидатніших полководців в історії. Він був сином Гамількара Барки, карфагенського лідера, який брав участь у Першій Пунічній війні, залишившись непереможеним, коли Карфаген подав позов про мир. Після цього Гамількар завоював Іберію, щоб повернути втрачені багатства Карфагена, використовуючи знайдені там поклади срібла, щоб виплатити Риму воєнні репарації та знову зробити свою націю могутньою. Відомо, що він змусив свого маленького сина поклястися, що він «ніколи не буде другом римлян». Після восьми успішних років у регіоні Гамількар був убитий під час битви проти іберійських племен у 228 р. до н. «Справедливий» — названий так за його перевагу дипломатії, а не конфлікту. Звідси він розграбував римський протекторат Сагунт і розпочав Другу Пунічну війну. Подорож його армії через Альпи стала легендою, подвиг сміливості та витривалості, який заскочив Рим цілковито зненацька.\\n\\nЗусилля Ганнібала під час війни - здобувши нищівні перемоги під Требією, Тразіменським озером і Каннами - спустошили Римську державу та ледь не поставили Республіку на коліна. Безсумнівно, саме завдяки Ганнібалу військові зусилля Карфагена були успішними протягом багатьох років. Зрештою, однак, серія невдач, зрад і відсутність підтримки вдома протягом тривалої війни зупинили завоювання Італії, що зрештою призвело до його поразки в кульмінаційній битві при Замі в 202 році до нашої ери.\\n\\nПісля війни, Ганнібал став успішним правителем Карфагена. Однак незабаром політичні опоненти змусили його виїхати, де він став військовим радником імперії Селевкідів та кількох інших східних елліністичних держав. На жаль, тиск з боку римлян під час їхньої експансії на схід зрештою призвів до зради Ганнібала, і він отруївся, щоб уникнути полону приблизно в 182 р. до н.е.	true
encyclopedia_historical_info_blocks_content_enc_text_hist_battles_carthage	Починаючи з 149-148 рр. до н.е., облога Карфагена стала визначальною подією Третьої Пунічної війни між Римом і Карфагеном. Оскільки місто відмовлялося здатися, карфагенці протрималися більше двох років. Римські війська, очолювані Манієм Манілієм, спочатку зазнали втрат від рук Гасдрубала, і після невдачі Манія Сципіон Еміліан був призначений консулом і звинувачений у взятті Карфагена. За римським правом він був технічно занадто молодим для цієї роботи. Його першою дією була перемога над армією Діогена, яка тримала Неферіс, блокуванням гавані Карфагена, перекриттям їх постачання та витісненням у поле. Коли Неферіс був розгромлений, Сципіон посилив основну облогу. Під час останнього штурму Тиберій Гракх, військовий трибун і шурин Сципіона, першим переступив стіну. Після годин запеклих боїв на вулицях, у будинках і храмах карфагенці здалися. Уціліле населення було поневолено, а Карфаген зрівняний. Сам Гасдрубал благав про пощаду. Його дружина, не витримавши такої ганьби, вбила себе та їхніх синів. За свою службу Сципіон отримав велику винагороду, і під час свого тріумфу зміг додати до свого імені «Africanus». Як незвично, Гасдрубал був поданий на показ, а не вбитий, можливо, через більше приниження. Незважаючи на його хоробрість у Карфагені, військова доля Тіберія занепала під час Нумантійської війни, але його подальші дії як плебейського трибуна заслужили йому прихильність простих людей.	true
encyclopedia_historical_info_blocks_heading_enc_text_hist_battles_carthage	Облога Карфагена (146 р. до н.е.)	true
encyclopedia_historical_info_blocks_content_enc_text_hist_wonders_vesuvius	Везувій — чи не найвідоміший вулкан у світі та єдиний на європейському материку, який вивергся за останні сто років. Відповідальний за повне знищення римських міст Помпеї та Геркуланум, - виверження Везувію в 79 році нашої ери вбило приблизно 16 000 людей, у тому числі філософа Плінія Старшого.	true
encyclopedia_historical_info_blocks_heading_enc_text_hist_characters_punic_hannibal	Карфагенці\\n\\nГаннібал Барка	true
encyclopedia_historical_info_blocks_heading_enc_text_hist_wonders_damavand	Гора Демавенд	true
encyclopedia_historical_info_blocks_content_enc_text_hist_wonders_damavand	Гора Демавенд розташована в гірському масиві Ельбурс і є найвищою вершиною Ірану. Його вражаюча висота та вулканічна природа зробили його місцем магії та сили в перській міфології. Відповідно до зороастрійських текстів, це був будинок триголового дракона Азі Дахака, який був ув'язнений там до кінця днів.	true
encyclopedia_historical_info_blocks_heading_enc_text_hist_wonders_vesuvius	Гора Везувій	true
encyclopedia_historical_info_blocks_heading_enc_text_hist_wonders_colossus	Колос Родоський	true
