key	text	tooltip
#Loc;1;text/db/encyclopedia_template_strings.loc		
encyclopedia_template_strings_text_total_war_rome_ii	Total War: ATTILA	true
encyclopedia_template_strings_text_starting_region	Початкові володіння	true
encyclopedia_template_strings_text_featured_tutorial	Рекомендований посібник	true
encyclopedia_template_strings_text_view_by_faction	Перегляд за державою	true
encyclopedia_template_strings_text_hannibal_at_the_gates_only	Тільки "Ганнібал біля воріт"	true
encyclopedia_template_strings_text_tutorials	Навчання	true
encyclopedia_template_strings_text_satrapy_client_state_of	Маріонеткова/Данницька держава	true
encyclopedia_template_strings_text_select_a_culture	Виберіть культуру	true
encyclopedia_template_strings_text_enables	Дає змогу	true
encyclopedia_template_strings_text_regions	Регіони	true
encyclopedia_template_strings_text_actions	Дії	true
encyclopedia_template_strings_text_resources	Ресурси	true
encyclopedia_template_strings_text_buildings	Споруди	true
encyclopedia_template_strings_text_view_by_culture	Перегляд за культурою	true
encyclopedia_template_strings_text_select_a_faction	Вибрати державу	true
encyclopedia_template_strings_text_featured_videos	Рекомендовані відео:	true
encyclopedia_template_strings_text_abilities	Здібності	true
encyclopedia_template_strings_text_historical_info	Історична довідка	true
encyclopedia_template_strings_text_read_more	Детальніше	true
encyclopedia_template_strings_text_specialist_units	Фахівці	true
encyclopedia_template_strings_text_an_error_occurred	Сталася помилка	true
encyclopedia_template_strings_text_settlement_name	Назва поселення	true
encyclopedia_template_strings_text_compare	Порівняти	true
encyclopedia_template_strings_text_comparison_tool	Інструмент порівняння	true
encyclopedia_template_strings_text_unit_name	Назва загону	true
encyclopedia_template_strings_text_recruitment_cost	Вартість вербування	true
encyclopedia_template_strings_text_traditions	Звичаї	true
encyclopedia_template_strings_text_requires	Необхідно	true
encyclopedia_template_strings_text_eastern_buildings	Східні будівлі	true
encyclopedia_template_strings_text_characters	Персонажі	true
encyclopedia_template_strings_text_search_results_found_for	%d результатів пошуку знайдено для "%s".	true
encyclopedia_template_strings_text_settlement	Поселення	true
encyclopedia_template_strings_text_region_information	Інформація про регіон	true
encyclopedia_template_strings_text_prologue	(вступ)	true
encyclopedia_template_strings_text_strengths_and_weaknesses	Сильні та слабкі сторони	true
encyclopedia_template_strings_text_military	Військо	true
encyclopedia_template_strings_text_provincial_capital	Столиця провінції	true
encyclopedia_template_strings_text_glossary	Глосарій	true
encyclopedia_template_strings_text_search_the_encyclopaedia	Пошук у посібнику	true
encyclopedia_template_strings_text_compare_selected	Порівняти вибране	true
encyclopedia_template_strings_text_total_war_rome_2_only	Тільки Total War: ATTILA	true
encyclopedia_template_strings_text_character_skills	Навички персонажу	true
encyclopedia_template_strings_text_clear_selection	Очистити вибір	true
encyclopedia_template_strings_text_speciality	Фах	true
encyclopedia_template_strings_text_view_by_character	Перегляд за особою	true
encyclopedia_template_strings_text_roman_buildings	Римські будівлі	true
encyclopedia_template_strings_text_view_all	Переглянути всі	true
encyclopedia_template_strings_text_read_the	Прочитати	true
encyclopedia_template_strings_text_specialty_units	Спеціальні загони	true
encyclopedia_template_strings_text_local_resources	Місцеві ресурси	true
encyclopedia_template_strings_text_level_4	4-й рівень	true
encyclopedia_template_strings_text_level_5	5-й рівень	true
encyclopedia_template_strings_text_level_1	1-й рівень	true
encyclopedia_template_strings_text_level_2	2-й рівень	true
encyclopedia_template_strings_text_level_3	3-й рівень	true
encyclopedia_template_strings_text_politics	Політика	true
encyclopedia_template_strings_text_province	Провінція	true
encyclopedia_template_strings_text_province_capital	Столиця провінції	true
encyclopedia_template_strings_text_factions	Держави	true
encyclopedia_template_strings_text_ruined	(Зруйновано)	true
encyclopedia_template_strings_text_cost	Вартість	true
encyclopedia_template_strings_text_specialty_buildings	Спеціальні будівлі	true
encyclopedia_template_strings_text_search	Пошук	true
encyclopedia_template_strings_text_barbarian_buildings	Варварські будівлі	true
encyclopedia_template_strings_text_available_local_mercenaries	Доступні місцеві найманці	true
encyclopedia_template_strings_text_choose_faction	Вибрати державу	true
encyclopedia_template_strings_text_faction_availability	Наявність держав	true
encyclopedia_template_strings_text_skills	Вміння	true
encyclopedia_template_strings_text_save_changes	Зберегти зміни	true
encyclopedia_template_strings_text_local_garrison	Місцева залога	true
encyclopedia_template_strings_text_repair_cost_if_ruined	Вартість ремонту зруйнованої будівлі	true
encyclopedia_template_strings_text_hellenistic_buildings	Елліністичні споруди	true
encyclopedia_template_strings_text_caesar_in_gaul_only	Цезар тільки в Галлії	true
encyclopedia_template_strings_text_repair_cost_lc	Вартість ремонту	true
encyclopedia_template_strings_text_caesar_in_gaul	Цезар в Галлії	true
encyclopedia_template_strings_text_all_you_need_to_know_to_get_started.	Все, що Вам потрібно знати, щоб розпочати.	true
encyclopedia_template_strings_text_tech	Технології	true
encyclopedia_template_strings_text_random_article	Випадкова стаття	true
encyclopedia_template_strings_text_view_more_tutorials	Переглянути більше посібників	true
encyclopedia_template_strings_text_manual	Інструкція	true
encyclopedia_template_strings_text_view_by_class	Перегляд за класами	true
encyclopedia_template_strings_text_description_	Опис	true
encyclopedia_template_strings_text_home	HOME	true
encyclopedia_template_strings_text_belongs_to_province	Належить до провінції	true
encyclopedia_template_strings_text_controlling_faction	Керування державою	true
encyclopedia_template_strings_text_multiplayer	Гра в мережі	true
encyclopedia_template_strings_text_hannibal_at_the_gates	Ганнібал біля воріт	true
encyclopedia_template_strings_text_development	Розвиток	true
encyclopedia_template_strings_text_repair_cost	Вартість ремонту	true
encyclopedia_template_strings_text_building_chain	Будівельний ланцюг	true
encyclopedia_template_strings_text_encyclopaedia	Енциклопедія	true
encyclopedia_template_strings_text_manual_index	Вказівник	true
encyclopedia_template_strings_text_allies_with	Союзники:	true
encyclopedia_template_strings_text_civil	Громада	true
encyclopedia_template_strings_text_units	Загони	true
encyclopedia_template_strings_text_at_war_with	На війні з	true
encyclopedia_template_strings_text_single_player	Гра наодинці	true
encyclopedia_template_strings_text_close	Зачинити	true
encyclopedia_template_strings_text_rank_2	Ранг 2	true
encyclopedia_template_strings_text_rank_3	Ранг 3	true
encyclopedia_template_strings_text_rank_4	Ранг 4	true
encyclopedia_template_strings_text_rank_5	Ранг 5	true
encyclopedia_template_strings_text_region_availability	Наявність регіону	true
