key	text	tooltip
#Loc;1;text/db/event_feed_events.loc		
event_feed_events_event_title_diplomacy_war_declared	Війна оголошена	true
event_feed_events_event_title_diplomacy_war_coordination_target_not_available	Військова ціль, для координації, втрачена	true
event_feed_events_event_title_faction_succession_heir_comes_of_age	Сходження на престол	true
event_feed_events_event_title_faction_famine	Голод	true
event_feed_events_event_title_provinces_plague_spreads_force_to_force	Чума поширюється між військами	true
event_feed_events_event_title_diplomacy_treaty_broken_trade_dissolved	Розірвана торгівельна угода	true
event_feed_events_event_title_faction_religion_change	Зміна релігії	true
event_feed_events_event_title_provinces_edict_issued	Виданий едикт	true
event_feed_events_event_title_military_army_founded	Військо створене	true
event_feed_events_event_title_horde_unrest_imminent_rebellion	Заколот неминучий	true
event_feed_events_event_title_character_rank_gained	Здобуто ранг	true
event_feed_events_event_title_conquest_blockade_established	Встановлено блокаду	true
event_feed_events_event_title_faction_civil_war_force	Вибухає громадянська війна	true
event_feed_events_event_title_conquest_battle	Битва	true
event_feed_events_event_title_diplomacy_trespassing	Порушення кордонів!	true
event_feed_events_event_title_conquest_sea_region_controlled	Морський регіон під контролем	true
event_feed_events_event_title_character_dies_battle	Загинув у битві	true
event_feed_events_event_title_faction_civil_war_ends	Громадянська війна завершена	true
event_feed_events_event_title_character_dies_hostile	Убитий ворогом	true
event_feed_events_event_title_character_dies_infant_mortality	Дитяча смертність	true
event_feed_events_event_title_military_navy_founded	Фльота створена	true
event_feed_events_event_title_provinces_food_shortage_ends	Питання з харчами вирішено	true
event_feed_events_event_title_provinces_building_constructed	Споруда збудована	true
event_feed_events_event_title_character_dies_natural	Природні причини	true
event_feed_events_event_title_military_path_blocked	Шлях заблоковано	true
event_feed_events_event_title_faction_imperium_level_increase	Імперіум	true
event_feed_events_event_title_faction_event_incident	Халепа	true
event_feed_events_event_title_character_trait_gained	Здобута риса	true
event_feed_events_event_title_faction_resource_gained	Ресурси отримано	true
event_feed_events_event_title_conquest_siege_lifted	Облогу знято	true
event_feed_events_event_title_diplomacy_faction_encountered	Зустріч з державою	true
event_feed_events_event_title_diplomacy_treaty_broken_client_state	Данницька держава відокремлюється	true
event_feed_events_event_title_diplomacy_war_coordination_ally_mobilisation_vs_force	Союзник рухається проти ворожих сил	true
event_feed_events_event_title_provinces_building_demolished	Будівля знесена	true
event_feed_events_event_title_character_loyalty_low	Знижується вірність	true
event_feed_events_event_title_world_climate_change	Зміна клімату	true
event_feed_events_event_title_provinces_slums	Нетрі	true
event_feed_events_event_title_military_ambusher_discovered	Засідка виявлена	true
event_feed_events_event_title_agent_action_vs_army	Агент проти війська	true
event_feed_events_event_title_provinces_settlement_abandoned	Поселення залишено	true
event_feed_events_event_title_agent_recruited	Агент завербований	true
event_feed_events_event_title_provinces_food_shortage	Брак їжі	true
event_feed_events_event_title_provinces_unseasonal_conditions	Несезонні умови	true
event_feed_events_event_title_diplomacy_treaty_broken_military_alliance_manipulated	Військовий союз підірвано	true
event_feed_events_event_title_faction_technology_researched	Розвиток	true
event_feed_events_event_title_diplomacy_treaty_broken_soft_military_access	Угода про військовий доступ розірвана	true
event_feed_events_event_title_conquest_settlement_surrender_warning	Капітуляція неминуча	true
event_feed_events_event_title_military_navy_destroyed	Фльота знищена	true
event_feed_events_event_title_faction_horde_begins	Орда	true
event_feed_events_event_title_military_army_withdraws	Військо відступає	true
event_feed_events_event_title_agent_discovered_yours	Агента виявлено	true
event_feed_events_event_title_conquest_settlement_captured	Поселення захоплено	true
event_feed_events_event_title_military_navy_withdraws	Фльота відступає	true
event_feed_events_event_title_conquest_enemy_raid_trade_route	Напад на торгівельний шлях!	true
event_feed_events_event_title_military_army_destroyed	Військо знищене	true
event_feed_events_event_title_character_dies_executed	Політичне вбивство	true
event_feed_events_event_title_faction_political_party_power_change	Баланс сил	true
event_feed_events_event_title_faction_resource_lost	Ресурс втрачено	true
event_feed_events_event_title_provinces_development_points_available	Надлишок населення	true
event_feed_events_event_title_provinces_plague_starts	Чума починається	true
event_feed_events_event_title_diplomacy_treaty_broken_trade	Розірвана торгівельна угода	true
event_feed_events_event_title_military_army_raised	Військо зібране	true
event_feed_events_event_title_military_navy_disbanded	Фльота розформована	true
event_feed_events_event_title_faction_heir_nominated	Призначений спадкоємець	true
event_feed_events_event_title_conquest_enemy_raid_settlement	Напад на поселення!	true
event_feed_events_event_title_diplomacy_treaty_broken_vassal	Маріонеткова держава відокремлюється	true
event_feed_events_event_title_character_trait_lost	Втрачена риса	true
event_feed_events_event_title_conquest_sea_region_contested	Боротьба за морський регіон	true
event_feed_events_event_title_diplomacy_war_coordination_ally_mobilisation_vs_region	Союзник рухається на ворожу територію	true
event_feed_events_event_title_conquest_settlement_capital_captured	Захоплена столиця	true
event_feed_events_event_title_diplomacy_treaty_broken_defensive_alliance_manipulated	Оборонний союз підірвано	true
event_feed_events_event_title_faction_event_mission_issued	Доручення видано	true
event_feed_events_event_title_diplomacy_treaty_broken_non_aggression_pact_manipulated	Пакт про ненапад підривається	true
event_feed_events_event_title_diplomacy_treaty_negotiated_defensive_alliance	Створено оборонний союз	true
event_feed_events_event_title_faction_campaign_lost	Кампанія зазнала поразки	true
event_feed_events_event_title_faction_event_mission_aborted	Завдання скасовано	true
event_feed_events_event_title_faction_event_mission_success	Завдання виконано	true
event_feed_events_event_title_faction_event_mission_failed	Місія провалена	true
event_feed_events_event_title_military_unit_recruited	Загін завербовано	true
event_feed_events_event_title_military_navy_raised	Фльота зібрана	true
event_feed_events_event_title_diplomacy_treaty_negotiated_military_alliance	Створено військовий союз	true
event_feed_events_event_title_diplomacy_treaty_negotiated_non_aggression_pact	Укладено пакт про ненапад	true
event_feed_events_event_title_faction_event_dilemma	Дилема	true
event_feed_events_event_title_military_army_disbanded	Військо розформоване	true
event_feed_events_event_title_diplomacy_treaty_negotiated_peace	Укладено мир	true
event_feed_events_event_title_provinces_plague_spreads_region_to_region	Чума шириться регіонами	true
event_feed_events_event_title_diplomacy_treaty_negotiated_vassal	Створення васальної держави	true
event_feed_events_event_title_diplomacy_treaty_broken_vassal_manipulated	Маніпулювання маріонетковою державою	true
event_feed_events_event_title_scripted_persistent_event	Особливі події	true
event_feed_events_event_title_diplomacy_treaty_broken_non_aggression_pact	Розривання пакту про ненапад	true
event_feed_events_event_title_diplomacy_treaty_broken_defensive_alliance	Оборонний союз розірвано	true
event_feed_events_event_title_character_ancillary_lost	Втрата в господі	true
event_feed_events_event_title_diplomacy_treaty_negotiated_trade	Укладено торгівельну угоду	true
event_feed_events_event_title_agent_action_vs_settlement	Агент проти поселення	true
event_feed_events_event_title_provinces_settlement_sacked	Поселення спустошено	true
event_feed_events_event_title_horde_development_points_available	Надлишок населення	true
event_feed_events_event_title_provinces_unrest_rebellion	Повстання	true
event_feed_events_event_title_faction_political_subject	Справа держави	true
event_feed_events_event_title_character_ready_for_duty	Готовий служити	true
event_feed_events_event_title_conquest_blockade_lifted	Блокаду знято	true
event_feed_events_event_title_provinces_settlement_razed	Поселення зруйновано	true
event_feed_events_event_title_provinces_edict_cancelled	Едикт скасовано	true
event_feed_events_event_title_diplomacy_treaty_negotiated_soft_military_access	Укладено угоду про військовий доступ територією	true
event_feed_events_event_title_horde_food_shortage	Брак їжі	true
event_feed_events_event_title_conquest_siege_established	Облога встановлена	true
event_feed_events_event_title_conquest_province_contested	Боротьба за провінцію	true
event_feed_events_event_title_diplomacy_treaty_broken_soft_military_access_manipulated	Угода про військовий доступ зірвана	true
event_feed_events_event_title_provinces_settlement_looted	Поселення розграбовано	true
event_feed_events_event_title_agent_action_vs_character	Агент проти персонажа	true
event_feed_events_event_title_diplomacy_treaty_broken_military_alliance	Військовий союз розірвано	true
event_feed_events_event_title_provinces_cannot_abandon_settlement	Неможливо залишити поселення	true
event_feed_events_event_title_scripted_transient_located_event	Особливі події	true
event_feed_events_event_title_character_born_illegitimate	Позашлюбне народження	true
event_feed_events_event_title_faction_political_dilemma	Політична дилема	true
event_feed_events_event_title_military_attrition	Виснаження!	true
event_feed_events_event_title_diplomacy_war_coordination_target_available	Доступна ціль для військової координації	true
event_feed_events_event_title_diplomacy_treaty_broken_trade_manipulated	Торгівельна угода підірвана	true
event_feed_events_event_title_agent_discovered	Прихованого агента виявлено	true
event_feed_events_event_title_military_army_rank_gained	Військо отримує звання	true
event_feed_events_event_title_faction_horde_ends	Орда поселяється	true
event_feed_events_event_title_faction_campaign_victory_objective_complete	Мета перемоги виконана	true
event_feed_events_event_title_character_wounded	Поранення	true
event_feed_events_event_title_provinces_plague_spreads_force_to_region	Війська принесли чуму в регіон	true
event_feed_events_event_title_scripted_transient_event	Особливі події	true
event_feed_events_event_title_diplomacy_treaty_broken_client_state_manipulated	Маніпулювання данницькою державою	true
event_feed_events_event_title_character_born_legitimate	Народження аристократа	true
event_feed_events_event_title_horde_building_demolished	Будівля знесена	true
event_feed_events_event_title_horde_food_shortage_ends	Питання з харчами вирішено	true
event_feed_events_event_title_faction_campaign_chapter_objective_complete	Мета виконана	true
event_feed_events_event_title_diplomacy_faction_destroyed	Держава знищена	true
event_feed_events_event_title_diplomacy_treaty_negotiated_client_state	Створена данницька держава	true
