key	text	tooltip
#Loc;1;text/db/event_feed_strings.loc		
event_feed_strings_text_att_event_feed_string_faction_succession_description_king_of_kings	Цар царів помер. Влада тепер у спадкоємця.\\n\\nНехай живе Цар царів!	true
event_feed_strings_text_att_event_feed_string_faction_technology_researched_secondary_detail	#(technology.description)\\n	true
event_feed_strings_text_att_event_feed_string_character_born_legitimate_description_female	Що за радість! В  цієї сім’ї народилася донька.	true
event_feed_strings_text_att_event_feed_string_scripted_event_independence_secondary_detail	Історія сповнена історій великих людей, знищених владою слабких володарів. Юстиніан, на жаль, зарекомендував себе саме таким володарем – його ревнощі на кожному кроці перешкоджали Велізарію, зрештою стаючи загрозою його життю та становищу. Можливо, імператор був народжений, щоб правити, але Велізарій зродився боротьбою. Він відновить згаслу славу Західної імперії, і будь-які перешкоди не стануть на заваді. Юстиніан розлючений цією зрадою, і подолання його буде таким же випробуванням, як і завоювання Італії. Тим не менш, Велізарій приймає цей виклик. Він поставить світ на коліна!	true
event_feed_strings_text_att_event_feed_string_scripted_bel_olives_buildings_secondary_detail	Практика - шлях досконалості. Досвід Ваших людей у вирощуванні оливок не має собі рівних ніде у світі.	true
event_feed_strings_text_att_event_feed_string_character_ancillary_all_primary_detail	#(ancillary)	true
event_feed_strings_text_att_event_feed_string_scripted_event_military_building_title	Залю бардів розблоковано	true
event_feed_strings_text_att_event_feed_string_diplomacy_treaty_broken_trade_agreement_dissolved_description	Зміна обставин призвела до того, що нам необхідно розірвати торгівельні відносини з цією державою.	true
event_feed_strings_text_att_event_feed_string_diplomacy_faction_destroyed_description_theirs	Цю державу знищили вороги.	true
event_feed_strings_text_att_event_feed_string_diplomacy_trespassing_secondary_detail	Місце порушення: #(force.region)\\n\\nДержава: #(faction)\\n	true
event_feed_strings_text_att_event_feed_string_scripted_bel_hilderic_imprisoned_primary_detail		true
event_feed_strings_text_att_event_feed_string_provinces_settlement_sacked_description	Ворожи спустошили наше поселення, залишивши, за собою, руїни!	true
event_feed_strings_text_att_event_feed_string_character_dies_suspicious_description	Один з наших помер за підозрілих обставин. Остерігайтеся ворожих агентів.	true
event_feed_strings_text_att_event_feed_string_diplomacy_war_coordination_target_unavailable_primary_details	Цілі втрачені	true
event_feed_strings_text_att_event_feed_string_plague_starts_secondary_detail	Місце: #(region)	true
event_feed_strings_text_att_event_feed_string_provinces_building_all_primary_detail	#(building)	true
event_feed_strings_text_att_event_feed_string_agent_action_success_description_male	Наш агент виконав свою місію з належною старанністю та відданістю!	true
event_feed_strings_text_att_event_feed_string_plague_force_from_region_description	Наші вояки заразилися чумою під час проходження через заражену територію!	true
event_feed_strings_text_att_event_feed_string_provinces_building_demolished_secondary_detail	#(building.region_and_province)	true
event_feed_strings_text_att_event_feed_string_faction_succession_regency_description_roman	Імператор помер, але призначений ним спадкоємець занадто молодий, щоб прийняти мантію лідера. Таким чином, регент призначається до тих пір, поки він не досягне достатнього віку для правління.	true
event_feed_strings_text_att_event_feed_string_provinces_settlement_region_and_province_primary_detail	#(settlement.region_and_province)	true
event_feed_strings_text_att_event_feed_string_scripted_event_religious_info_primary_detail	Нові релігії	true
event_feed_strings_text_att_event_feed_string_diplomacy_war_coordination_target_all_primary_detail	#(faction.known_to)	true
event_feed_strings_text_att_event_feed_string_scripted_event_avar_khaganate_primary_detail	[ph] Основна деталь формування Аварського каганату	true
event_feed_strings_text_att_event_feed_string_scripted_event_primary_detail	#(primary_detail)	true
event_feed_strings_text_att_event_feed_string_military_ambusher_description	Ми виявили іноземні війська, які намагалися влаштувати засідку!	true
event_feed_strings_text_att_event_feed_string_character_loyalty_low_secondary_detail	Ранг: #(character.rank)\\n\\nМісце: #(character.region_and_province)\\n	true
event_feed_strings_text_att_event_feed_string_plague_region_from_region_description	Чума поширилася на наше поселення з довколишніх земель і населення заразилося страшною хворобою!	true
event_feed_strings_text_att_event_feed_string_horde_building_demolished_description	Ця будівля знесена. Надлишок населення із споруди можна буде використати деінде.	true
event_feed_strings_text_att_event_feed_string_conquest_siege_established_description_theirs	Вороги взяли в облогу одне з наших поселень! Ми оточені!	true
event_feed_strings_text_att_event_feed_string_diplomacy_treaty_broken_client_state_manipulated_description	Наша данницька держава проголосила незалежність, підбурювана та маніпульована третьою стороною.	true
event_feed_strings_text_att_event_feed_string_faction_event_mission_aborted_secondary_detail	#(mission.description)	true
