key	text	tooltip
#Loc;1;text/db/event_feed_subcategories.loc		
event_feed_subcategories_subcategory_title_att_event_subcategory_faction_missions_objectives	Місії та завдання	true
event_feed_subcategories_subcategory_title_att_event_subcategory_diplomacy_war_peace	Війна і мир	true
event_feed_subcategories_subcategory_title_att_event_subcategory_conquest_occupation	Окупація	true
event_feed_subcategories_subcategory_title_att_event_subcategory_conquest_enemy_raids	Рейди	true
event_feed_subcategories_subcategory_title_att_event_subcategory_faction_civil_war	Громадянська війна	true
event_feed_subcategories_subcategory_title_att_event_subcategory_diplomacy_war_coordination	Військова координація	true
event_feed_subcategories_subcategory_title_att_event_subcategory_provinces_buildings	Споруди	true
event_feed_subcategories_subcategory_title_att_event_subcategory_diplomacy_treaty_broken_manipulated	Маніпулювання угодами	true
event_feed_subcategories_subcategory_title_att_event_subcategory_military_attrition	Виснаження	true
event_feed_subcategories_subcategory_title_att_event_subcategory_diplomacy_treaty_negotiated	Укладені угоди	true
event_feed_subcategories_subcategory_title_att_event_subcategory_military_ambushes	Засідки	true
event_feed_subcategories_subcategory_title_att_event_subcategory_faction_developments	Розвиток держав	true
event_feed_subcategories_subcategory_title_att_event_subcategory_agent_action	Дії агента	true
event_feed_subcategories_subcategory_title_att_event_subcategory_military_navy_developments	Звіти фльоти	true
event_feed_subcategories_subcategory_title_att_event_subcategory_military_army_developments	Військові звіти	true
event_feed_subcategories_subcategory_title_att_event_subcategory_agent_recruited	Вербування агента	true
event_feed_subcategories_subcategory_title_att_event_subcategory_character_traits	Риси	true
event_feed_subcategories_subcategory_title_att_event_subcategory_character_ancillaries	Господа	true
event_feed_subcategories_subcategory_title_att_event_subcategory_character_deaths	Смерті та поранення	true
event_feed_subcategories_subcategory_title_att_event_subcategory_character_development	Розвиток персонажів	true
event_feed_subcategories_subcategory_title_att_event_subcategory_world_climate	Зміна клімату	true
event_feed_subcategories_subcategory_title_att_event_subcategory_character_births	Народження	true
event_feed_subcategories_subcategory_title_att_event_subcategory_provinces_settlement_abandoned	Залишені поселення	true
event_feed_subcategories_subcategory_title_att_event_subcategory_diplomacy_treaty_broken	Розірвані угоди	true
event_feed_subcategories_subcategory_title_att_event_subcategory_diplomacy_state_matters	Дипломатичні звіти	true
event_feed_subcategories_subcategory_title_att_event_subcategory_provinces_plague	Чума	true
event_feed_subcategories_subcategory_title_att_event_subcategory_provinces_crises	Скрута в провінціях	true
event_feed_subcategories_subcategory_title_att_event_subcategory_conquest_territorial_disputes	Територіальні суперечки	true
event_feed_subcategories_subcategory_title_att_event_subcategory_agent_discovered	Викриття агента	true
event_feed_subcategories_subcategory_title_att_event_subcategory_military_unit_recruited	Вербування	true
event_feed_subcategories_subcategory_title_att_event_subcategory_provinces_developments	Розвиток провінцій	true
event_feed_subcategories_subcategory_title_att_event_subcategory_faction_event_dilemma_incident	Дилеми та оказії	true
event_feed_subcategories_subcategory_title_att_event_subcategory_conquest_battle	Битви	true
event_feed_subcategories_subcategory_title_att_event_subcategory_military_force_decimated	Децимація	true
event_feed_subcategories_subcategory_title_att_event_subcategory_provinces_governor_edict	Губернатори та едикти	true
event_feed_subcategories_subcategory_title_att_event_subcategory_faction_crises	Кризи держав	true
event_feed_subcategories_subcategory_title_att_event_subcategory_conquest_siege_blockade	Облоги та блокади	true
