key	text	tooltip
#Loc;1;text/db/event_feed_summary_events.loc		
event_feed_summary_events_title_horde_food_shortage	Брак їжі	true
event_feed_summary_events_title_conquest_province_contested	Спірні провінції	true
event_feed_summary_events_title_provinces_settlement_looted	Розграбовані поселення	true
event_feed_summary_events_title_provinces_food_shortage_ends	Питання про харчі вирішено	true
event_feed_summary_events_title_military_attrition	Втрати від виснаження	true
event_feed_summary_events_title_diplomacy_faction_encountered	Зустріч з державами	true
event_feed_summary_events_title_provinces_settlement_razed	Знищені поселення	true
event_feed_summary_events_title_provinces_settlement_sacked	Спустошені поселення	true
event_feed_summary_events_title_character_rank_gained	Здобуто ранг	true
event_feed_summary_events_title_agent_action_vs_settlement	Діяльність агентів проти поселення	true
event_feed_summary_events_title_diplomacy_trespassing	Порушення кордонів	true
event_feed_summary_events_title_provinces_unrest_rebellion	Повстання	true
event_feed_summary_events_title_horde_development_points_available	Надлишок населення	true
event_feed_summary_events_title_character_dies_battle	Смерті: битва	true
event_feed_summary_events_title_conquest_sea_region_contested	Спірні морські регіони	true
event_feed_summary_events_title_character_ancillary_gained	Здобуток в господі	true
event_feed_summary_events_title_character_trait_lost	Втрачені риси	true
event_feed_summary_events_title_provinces_unrest_imminent_rebellion	Повстання неминуче	true
event_feed_summary_events_title_faction_civil_war_province	Громадянська війна: повстання	true
event_feed_summary_events_title_faction_civil_war_character	Громадянська війна: дезертирство	true
event_feed_summary_events_title_agent_action_vs_army	Діяльність агентів проти війська	true
event_feed_summary_events_title_conquest_settlement_captured	Територіальні суперечки	true
event_feed_summary_events_title_faction_resource_lost	Втрачені ресурси	true
event_feed_summary_events_title_diplomacy_faction_destroyed	Знищені держави	true
event_feed_summary_events_title_character_trait_gained	Здобуті риси	true
event_feed_summary_events_title_agent_action_vs_character	Діяльність проти агентів	true
event_feed_summary_events_title_faction_resource_gained	Отримані ресурси	true
event_feed_summary_events_title_character_dies_hostile	Смерті: ворожа діяльність	true
event_feed_summary_events_title_provinces_building_constructed	Зведені споруди	true
event_feed_summary_events_title_character_dies_natural	Смерті: природні причини	true
event_feed_summary_events_title_character_ancillary_lost	Втрата в господі	true
event_feed_summary_events_title_conquest_sea_region_controlled	Контрольовані морські регіони	true
event_feed_summary_events_title_character_ready_for_duty	Готовий служити	true
event_feed_summary_events_title_horde_unrest_imminent_rebellion	Заколот неминучий	true
event_feed_summary_events_title_conquest_battle	Звіт про битви	true
event_feed_summary_events_title_faction_civil_war_force	Громадянська війна: заколот	true
event_feed_summary_events_title_conquest_province_secured	Здобуті провінції	true
event_feed_summary_events_title_diplomacy_faction_emerges	Виникли держави	true
event_feed_summary_events_title_conquest_enemy_raid_settlement	Розбійництво в регіоні	true
event_feed_summary_events_title_military_navy_rank_gained	Морські звичаї	true
event_feed_summary_events_title_military_unit_recruited	Набрані загони	true
event_feed_summary_events_title_military_army_rank_gained	Військові звичаї	true
event_feed_summary_events_title_provinces_food_shortage	Брак їжі	true
event_feed_summary_events_title_provinces_unseasonal_conditions	Несезонні умови	true
event_feed_summary_events_title_provinces_development_points_available	Надлишок населення	true
event_feed_summary_events_title_horde_food_shortage_ends	Питання про харчі вирішено	true
event_feed_summary_events_title_conquest_enemy_raid_trade_route	Розбійництво на торгівельному шляху	true
event_feed_summary_events_title_character_dies_suspicious	Смерті: підозрілі	true
