key	text	tooltip
#Loc;1;text/db/faction_groups.loc		
faction_groups_name_localised_att_fact_group_slavs	Слов'яни	true
faction_groups_name_localised_att_fact_group_celts	Кельти	true
faction_groups_name_localised_att_fact_group_norse	Нормани	true
faction_groups_description_localised_att_fact_group_nomadic	Кочовики з Центральної Азії почали великі вторгнення в південно-східну Європу. Не маючи постійних домів чи королів, які б їх вели, вони є майстрами верхової їзди та виживання в дорозі, навчаючись цим навичкам із раннього дитинства. Коли чутки про незрівнянну точність їхніх кінних лучників та шалену швидкість  і їхніх стратегічні вміння поширюються по всій землі, страх зростає у очах ще до їхнього приходу. Для багатьох осілих народів ці кочові вершники несуть лише смерть і кінець днів.	true
faction_groups_name_localised_att_fact_group_roman	Римська імперія	true
faction_groups_description_localised_att_fact_group_eastern	Побудована з попелу Парфянської імперії її завойовником Ардаширом I, імперія Сасанідів відродила іранську культуру в Персії після тривалого періоду еллінізації. Однак, оскільки його експансія тисне на східні околиці римської території, то підкорення Риму чи війна з ним здаються неминучими. Однак сасанідські війська чудово справляються  під час облоги ворожих міст, або під час захисту власних, і з важкою кіннотою - катафрактіями, як опорою - Сасаніди є грізним супротивником на бойовищі.	true
faction_groups_name_localised_att_fact_group_eastern	Держави Сходу	true
faction_groups_description_localised_att_fact_group_barbarian	Германські племена були першими з багатьох людей з-за кордону, які оселилися на римській території. Хоча багато хто став федератом Римської імперії в обмін на свою землю, вони залишаються запеклими воїнами, які високо цінують свою незалежність. Коли римський контроль на північному заході Імперії починає слабшати, ці великі племінні конфедерації готові та прагнуть використати будь-яку можливість для розширення своїх володінь.	true
faction_groups_name_localised_att_fact_group_nomadic	Кочові племена	true
faction_groups_description_localised_att_fact_group_barbarian_m	Хоча багато факторів впливають на велике переселення народів, яке зараз відбувається в Європі, головним серед них є гунські вторгнення зі степів. Незалежно від того, шукали багатств усталених імперій чи тікали від кочових загарбників, сотні тисяч людей були вигнані зі своїх домівок і тепер шукають нових земель і нового життя подалі від кордонів Римської імперії. Слабші племена будуть розтоптані і зникнуть, але сильні процвітатимуть на чужих землях, закладаючи основи королівств і культур, які триватимуть тисячоліття.	true
faction_groups_description_localised_att_fact_group_sand	Далеко від цивілізованого суспільства Константинополя і просто на периферії перських царів знаходяться горді та рішучі пустельні королівства Аравії та Африки. Захищені в самих куточках відомого світу, Аксум і Хим'яр постійно ворогують, але стають приголомшливо багатими завдяки торгівлі Шовковим шляхом, який проходить через їхні землі. Далі на північ, на краю Сасанідської імперії, Лахміди живуть зухвало арабським життям в Аль-Хірі, лише за два кроки від Ктезифона. Танухіди - кочовий народ - кочують Левантом і, як і їхні двоюрідні брати Лахміди, надзвичайно незалежні та пишаються своїм способом життя. Дві світові супердержави - Рим і Персія - з цікавістю спостерігають і втручаються, коли необхідно, але пустельні королівства нікому не відповідають. Змінні та спокусливі, як самий пісок пустелі, вони зроблять усе, що від них залежить, щоб забезпечити майбутнє свого народу.	true
faction_groups_description_localised_att_fact_group_roman	У своєму найбільшому масштабі Римська імперія простягалася від Месопотамії до узбережжя Атлантики. Однак тепер вона розділена, і Східна та Західна Римські імперії залишаються лише тінями своєї колишньої — об’єднаної — слави, оскільки внутрішні суперечки, узурпатори та потенційні загарбники з усіх боків загрожують повністю розірвати їх. Однак ніколи не слід недооцінювати римські амбіції. Ті самі амбіції, які сформували народження Вічного міста та підйом до панування, тепер єдине, що стоїть між ним і знищенням.	true
faction_groups_name_localised_att_fact_group_sand	Пустельні царства	true
faction_groups_description_localised_att_fact_group_slavs	PLACEHOLDER	true
faction_groups_description_localised_att_fact_group_celts	На узбіччі цивілізації, на самому краю римської Британії, кельтські народи живуть і борються, захищаючи свій давній спосіб життя. Пікти та каледонці, які проживали на північних околицях Британії, зіткнулися з Римською імперією, зірвавши їхні спроби анексувати весь острів. Ебдани, тим часом, відокремлені від імперських амбіцій Ірландським морем, створили міцні племінні зв’язки та унікальну варіацію кельтської культури. Тепер, коли Західна Римська імперія хворіє, у кельтських племен є можливість об’єднатися, випробувати свою силу та рішучість і захопити Британські острови. Кельти існували задовго до приходу римлян і будуть існувати ще довго після того, як вони підуть!	true
faction_groups_description_localised_att_fact_group_norse	Нордичні племена, що походять із далекої півночі, є сміливими людьми, які захоплюються битвами, грабунками та руйнуваннями. Їхні батьківщини родючі, але невблаганно суворі. Сорок днів взимку по землі не ходить сонце, а сорок днів літа воно обертається навколо горизонту, не заходячи. Скандинавські чоловіки вважаються одними з найвищих у світі, як тілом, так і духом, і борються з жорстокістю та лютістю диких звірів.	true
faction_groups_name_localised_att_fact_group_barbarian	Варварські королівства	true
faction_groups_name_localised_att_fact_group_barbarian_m	Велике переселення	true
