key	text	tooltip
#Loc;1;text/db/fertility_levels.loc		
fertility_levels_localised_name_main_attila4	Добра	true
fertility_levels_localised_name_main_attila5	Багата	true
fertility_levels_localised_name_main_attila0	Безплідна	true
fertility_levels_localised_name_main_attila1	Мізерна	true
fertility_levels_localised_name_main_attila2	Бідна	true
fertility_levels_localised_name_main_attila3	Середня	true
fertility_levels_localised_name_pro_attila5	Багата	true
fertility_levels_localised_name_pro_attila4	Добра	true
fertility_levels_localised_name_pro_attila1	Мізерна	true
fertility_levels_localised_name_pro_attila0	Безплідна	true
fertility_levels_localised_name_pro_attila3	Середня	true
fertility_levels_localised_name_pro_attila2	Бідна	true
fertility_levels_localised_name_cha_attila9	Рясні	true
fertility_levels_localised_name_cha_attila8	Щедрі	true
fertility_levels_localised_name_cha_attila3	Дуже бідні	true
fertility_levels_localised_name_cha_attila2	Мізерні	true
fertility_levels_localised_name_cha_attila1	Безплідні	true
fertility_levels_localised_name_cha_attila0	Пустки	true
fertility_levels_localised_name_cha_attila7	Дуже добрі	true
fertility_levels_localised_name_cha_attila6	Добрі	true
fertility_levels_localised_name_cha_attila5	Середні	true
fertility_levels_localised_name_cha_attila4	Бідні	true
fertility_levels_localised_name_bel_attila6	Добра	true
fertility_levels_localised_name_bel_attila7	Дуже добра	true
fertility_levels_localised_name_bel_attila4	Бідна	true
fertility_levels_localised_name_bel_attila5	Середня	true
fertility_levels_localised_name_bel_attila2	Мізерна	true
fertility_levels_localised_name_bel_attila3	Дуже бідна	true
fertility_levels_localised_name_bel_attila0	Пустка	true
fertility_levels_localised_name_bel_attila1	Безплідна	true
fertility_levels_localised_name_bel_attila8	Щедра	true
fertility_levels_localised_name_bel_attila9	Рясна	true
fertility_levels_localised_name_cha_attila10	Багаті	true
fertility_levels_localised_name_bel_attila10	Багата	true
